SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2132.0,4.0,2128.0,-14.0,7.0,4.0,2021-04-09
Benner,1954.0,3.0,1951.0,0.0,-1.0,-2.0,2021-04-09
Camp Hill,2063.0,7.0,2056.0,17.0,28.0,48.0,2021-04-09
Cambridge Springs,888.0,15.0,873.0,-3.0,8.0,3.0,2021-04-09
Chester,1001.0,1.0,1000.0,-6.0,-11.0,-14.0,2021-04-09
Coal Township,2011.0,4.0,2007.0,-3.0,-38.0,-40.0,2021-04-09
Dallas,1527.0,2.0,1525.0,-6.0,-16.0,-20.0,2021-04-09
Frackville,1095.0,3.0,1092.0,-4.0,-2.0,-3.0,2021-04-09
Forest,2254.0,3.0,2251.0,-3.0,-2.0,-8.0,2021-04-09
Fayette,1952.0,2.0,1950.0,-6.0,4.0,8.0,2021-04-09
Greene,1679.0,2.0,1677.0,-4.0,-2.0,-8.0,2021-04-09
Houtzdale,2358.0,2.0,2356.0,-2.0,7.0,-1.0,2021-04-09
Huntingdon,1738.0,1.0,1737.0,-3.0,-7.0,-13.0,2021-04-09
Laurel Highlands,764.0,12.0,752.0,-1.0,-1.0,-3.0,2021-04-09
Mahanoy,2214.0,4.0,2210.0,-6.0,6.0,8.0,2021-04-09
Mercer,1042.0,3.0,1039.0,-1.0,-4.0,-8.0,2021-04-09
Muncy,1060.0,8.0,1052.0,-1.0,-3.0,-5.0,2021-04-09
Phoenix,3036.0,8.0,3028.0,-5.0,23.0,17.0,2021-04-09
Pine Grove,932.0,3.0,929.0,-3.0,2.0,7.0,2021-04-09
Quehanna,210.0,0.0,210.0,-40.0,-50.0,-68.0,2021-04-09
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-09
Rockview,1465.0,3.0,1462.0,-7.0,-17.0,-22.0,2021-04-09
Smithfield,1049.0,3.0,1046.0,1.0,-25.0,-3.0,2021-04-09
Somerset,2170.0,0.0,2170.0,-2.0,2.0,1.0,2021-04-09
Waymart,834.0,7.0,827.0,-1.0,-6.0,-7.0,2021-04-09
SCI TOTAL,37428.0,100.0,37328.0,-103.0,-98.0,-129.0,2021-04-09
CCC/F East,530.0,0.0,530.0,-5.0,-12.0,10.0,2021-04-09
CCC/F Central,645.0,0.0,645.0,9.0,3.0,23.0,2021-04-09
CCC/F West,544.0,0.0,544.0,8.0,7.0,17.0,2021-04-09
CCC/F TOTAL,1719.0,0.0,1719.0,12.0,-2.0,50.0,2021-04-09
