date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-11-19,Albion,2197.0,4.0,2193.0,-7.0,-7.0,26.0
2020-11-19,Benner,1957.0,3.0,1954.0,-1.0,3.0,3.0
2020-11-19,Camp Hill,2130.0,7.0,2123.0,39.0,121.0,75.0
2020-11-19,Cambridge Springs,943.0,18.0,925.0,-1.0,-5.0,-27.0
2020-11-19,Chester,1000.0,2.0,998.0,-5.0,-12.0,-29.0
2020-11-19,Coal Township,2277.0,4.0,2273.0,19.0,9.0,-11.0
2020-11-19,Dallas,1949.0,2.0,1947.0,-3.0,-31.0,-48.0
2020-11-19,Frackville,1130.0,3.0,1127.0,-2.0,-11.0,84.0
2020-11-19,Forest,2321.0,3.0,2318.0,-2.0,-9.0,7.0
2020-11-19,Fayette,1970.0,3.0,1967.0,-5.0,5.0,24.0
2020-11-19,Greene,1724.0,2.0,1722.0,4.0,9.0,7.0
2020-11-19,Houtzdale,2409.0,2.0,2407.0,-8.0,-16.0,-8.0
2020-11-19,Huntingdon,1690.0,1.0,1689.0,1.0,-5.0,-16.0
2020-11-19,Laurel Highlands,826.0,13.0,813.0,-2.0,-12.0,-33.0
2020-11-19,Mahanoy,2260.0,5.0,2255.0,-3.0,-13.0,-10.0
2020-11-19,Mercer,1178.0,3.0,1175.0,-4.0,-8.0,-33.0
2020-11-19,Muncy,1061.0,10.0,1051.0,-5.0,-2.0,-6.0
2020-11-19,Phoenix,2961.0,9.0,2952.0,-27.0,-5.0,-10.0
2020-11-19,Pine Grove,943.0,3.0,940.0,-2.0,-7.0,-47.0
2020-11-19,Quehanna,339.0,0.0,339.0,-47.0,-23.0,22.0
2020-11-19,Retreat,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-19,Rockview,1550.0,4.0,1546.0,-3.0,-14.0,-31.0
2020-11-19,Smithfield,1314.0,4.0,1310.0,-2.0,-4.0,-21.0
2020-11-19,Somerset,2186.0,0.0,2186.0,-2.0,-13.0,-36.0
2020-11-19,Waymart,984.0,7.0,977.0,0.0,-1.0,-21.0
2020-11-19,SCI TOTAL,39299.0,112.0,39187.0,-68.0,-51.0,-139.0
2020-11-19,CCC/F East,630.0,0.0,630.0,0.0,-25.0,-7.0
2020-11-19,CCC/F Central,796.0,0.0,796.0,0.0,-8.0,-32.0
2020-11-19,CCC/F West,773.0,0.0,773.0,0.0,-33.0,-50.0
2020-11-19,CCC/F TOTAL,2199.0,0.0,2199.0,0.0,-66.0,-89.0
