INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-12
Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-12
Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-12
Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-12
Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-12
Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-12
Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-12
Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-12
Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-12
Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-12
Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-12
Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-12
Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-12
Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-12
Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-12
Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-12
Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-12
Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-12
Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-12
Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-12
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-12
Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-12
Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-12
Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-12
Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-12
SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-12
CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-12
CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-12
CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-12
CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-12
