SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2120.0,4.0,2116.0,0.0,-3.0,-37.0,2021-03-23
Benner,1954.0,3.0,1951.0,-2.0,-2.0,8.0,2021-03-23
Camp Hill,2029.0,7.0,2022.0,34.0,59.0,-48.0,2021-03-23
Cambridge Springs,880.0,15.0,865.0,1.0,-3.0,-9.0,2021-03-23
Chester,1009.0,1.0,1008.0,-6.0,-5.0,17.0,2021-03-23
Coal Township,2103.0,4.0,2099.0,-3.0,3.0,11.0,2021-03-23
Dallas,1563.0,2.0,1561.0,-2.0,-2.0,-39.0,2021-03-23
Frackville,1099.0,3.0,1096.0,-1.0,-5.0,-9.0,2021-03-23
Forest,2263.0,3.0,2260.0,0.0,-6.0,25.0,2021-03-23
Fayette,1949.0,3.0,1946.0,-3.0,-5.0,-12.0,2021-03-23
Greene,1711.0,2.0,1709.0,4.0,0.0,-57.0,2021-03-23
Houtzdale,2368.0,2.0,2366.0,-1.0,-3.0,-10.0,2021-03-23
Huntingdon,1765.0,1.0,1764.0,0.0,0.0,-41.0,2021-03-23
Laurel Highlands,772.0,12.0,760.0,-2.0,-2.0,-18.0,2021-03-23
Mahanoy,2213.0,4.0,2209.0,1.0,7.0,28.0,2021-03-23
Mercer,1041.0,3.0,1038.0,-2.0,-6.0,-19.0,2021-03-23
Muncy,1074.0,8.0,1066.0,-1.0,0.0,8.0,2021-03-23
Phoenix,3028.0,8.0,3020.0,-6.0,-10.0,54.0,2021-03-23
Pine Grove,922.0,3.0,919.0,-1.0,-4.0,-14.0,2021-03-23
Quehanna,276.0,0.0,276.0,0.0,-1.0,6.0,2021-03-23
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-23
Rockview,1494.0,3.0,1491.0,0.0,-2.0,-26.0,2021-03-23
Smithfield,1015.0,3.0,1012.0,-15.0,-42.0,-17.0,2021-03-23
Somerset,2148.0,0.0,2148.0,-1.0,-3.0,0.0,2021-03-23
Waymart,848.0,7.0,841.0,-3.0,-5.0,-24.0,2021-03-23
SCI TOTAL,37644.0,101.0,37543.0,-9.0,-40.0,-223.0,2021-03-23
CCC/F East,516.0,0.0,516.0,-4.0,12.0,21.0,2021-03-23
CCC/F Central,634.0,0.0,634.0,-1.0,-2.0,16.0,2021-03-23
CCC/F West,528.0,0.0,528.0,0.0,-5.0,41.0,2021-03-23
CCC/F TOTAL,1678.0,0.0,1678.0,-5.0,5.0,78.0,2021-03-23
