SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2122.0,4.0,2118.0,-2.0,-3.0,-6.0,2021-04-06
Benner,1951.0,3.0,1948.0,-2.0,-4.0,-5.0,2021-04-06
Camp Hill,2074.0,7.0,2067.0,43.0,39.0,59.0,2021-04-06
Cambridge Springs,893.0,15.0,878.0,5.0,13.0,8.0,2021-04-06
Chester,1016.0,1.0,1015.0,0.0,4.0,1.0,2021-04-06
Coal Township,2036.0,4.0,2032.0,-6.0,-13.0,-15.0,2021-04-06
Dallas,1540.0,2.0,1538.0,-2.0,-3.0,-7.0,2021-04-06
Frackville,1095.0,3.0,1092.0,-2.0,-2.0,-3.0,2021-04-06
Forest,2259.0,3.0,2256.0,-1.0,3.0,-3.0,2021-04-06
Fayette,1946.0,2.0,1944.0,0.0,-2.0,2.0,2021-04-06
Greene,1686.0,2.0,1684.0,0.0,5.0,-1.0,2021-04-06
Houtzdale,2362.0,2.0,2360.0,0.0,11.0,3.0,2021-04-06
Huntingdon,1741.0,1.0,1740.0,0.0,-4.0,-10.0,2021-04-06
Laurel Highlands,765.0,12.0,753.0,0.0,0.0,-2.0,2021-04-06
Mahanoy,2208.0,4.0,2204.0,4.0,0.0,2.0,2021-04-06
Mercer,1044.0,3.0,1041.0,-2.0,-2.0,-6.0,2021-04-06
Muncy,1055.0,8.0,1047.0,-1.0,-8.0,-10.0,2021-04-06
Phoenix,3022.0,8.0,3014.0,15.0,9.0,3.0,2021-04-06
Pine Grove,927.0,3.0,924.0,-4.0,-3.0,2.0,2021-04-06
Quehanna,254.0,0.0,254.0,-1.0,-6.0,-24.0,2021-04-06
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-06
Rockview,1476.0,3.0,1473.0,-4.0,-6.0,-11.0,2021-04-06
Smithfield,1035.0,3.0,1032.0,-3.0,-39.0,-17.0,2021-04-06
Somerset,2166.0,0.0,2166.0,2.0,-2.0,-3.0,2021-04-06
Waymart,837.0,7.0,830.0,-3.0,-3.0,-4.0,2021-04-06
SCI TOTAL,37510.0,100.0,37410.0,36.0,-16.0,-47.0,2021-04-06
CCC/F East,532.0,0.0,532.0,-1.0,-10.0,12.0,2021-04-06
CCC/F Central,640.0,0.0,640.0,3.0,-2.0,18.0,2021-04-06
CCC/F West,535.0,0.0,535.0,2.0,-2.0,8.0,2021-04-06
CCC/F TOTAL,1707.0,0.0,1707.0,4.0,-14.0,38.0,2021-04-06
