SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2160.0,4.0,2156.0,-1.0,-1.0,-15.0,2021-01-20
Benner,1949.0,3.0,1946.0,-2.0,-2.0,-1.0,2021-01-20
Camp Hill,2254.0,7.0,2247.0,0.0,0.0,-159.0,2021-01-20
Cambridge Springs,883.0,16.0,867.0,-7.0,-7.0,-16.0,2021-01-20
Chester,1010.0,1.0,1009.0,-2.0,-2.0,-48.0,2021-01-20
Coal Township,2309.0,4.0,2305.0,-12.0,-12.0,17.0,2021-01-20
Dallas,1679.0,2.0,1677.0,-4.0,-4.0,-24.0,2021-01-20
Frackville,1133.0,3.0,1130.0,-2.0,-2.0,-8.0,2021-01-20
Forest,2276.0,3.0,2273.0,-5.0,-5.0,-21.0,2021-01-20
Fayette,2003.0,3.0,2000.0,-2.0,-2.0,31.0,2021-01-20
Greene,1802.0,2.0,1800.0,-8.0,-8.0,33.0,2021-01-20
Houtzdale,2410.0,2.0,2408.0,-3.0,-3.0,-11.0,2021-01-20
Huntingdon,1833.0,1.0,1832.0,-2.0,-2.0,25.0,2021-01-20
Laurel Highlands,774.0,13.0,761.0,-1.0,-1.0,16.0,2021-01-20
Mahanoy,2204.0,4.0,2200.0,-1.0,-1.0,9.0,2021-01-20
Mercer,1093.0,3.0,1090.0,1.0,1.0,8.0,2021-01-20
Muncy,1103.0,8.0,1095.0,1.0,1.0,5.0,2021-01-20
Phoenix,2991.0,8.0,2983.0,-5.0,-5.0,112.0,2021-01-20
Pine Grove,933.0,3.0,930.0,0.0,0.0,18.0,2021-01-20
Quehanna,255.0,0.0,255.0,0.0,0.0,-28.0,2021-01-20
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-20
Rockview,1574.0,4.0,1570.0,-1.0,-1.0,-17.0,2021-01-20
Smithfield,644.0,3.0,641.0,18.0,18.0,-310.0,2021-01-20
Somerset,2151.0,0.0,2151.0,-4.0,-4.0,11.0,2021-01-20
Waymart,931.0,7.0,924.0,-2.0,-2.0,-19.0,2021-01-20
SCI TOTAL,38354.0,104.0,38250.0,-44.0,-44.0,-392.0,2021-01-20
CCC/F East,439.0,0.0,439.0,-5.0,-5.0,27.0,2021-01-20
CCC/F Central,518.0,0.0,518.0,8.0,8.0,34.0,2021-01-20
CCC/F West,419.0,0.0,419.0,-14.0,-14.0,-5.0,2021-01-20
CCC/F TOTAL,1376.0,0.0,1376.0,-11.0,-11.0,56.0,2021-01-20
