SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2127.0,4.0,2123.0,-3.0,-3.0,-30.0,2021-03-15
Benner,1960.0,3.0,1957.0,-3.0,-3.0,14.0,2021-03-15
Camp Hill,1983.0,7.0,1976.0,-32.0,-32.0,-94.0,2021-03-15
Cambridge Springs,887.0,15.0,872.0,9.0,9.0,-2.0,2021-03-15
Chester,1020.0,1.0,1019.0,2.0,2.0,28.0,2021-03-15
Coal Township,2092.0,4.0,2088.0,4.0,4.0,0.0,2021-03-15
Dallas,1574.0,2.0,1572.0,-1.0,-1.0,-28.0,2021-03-15
Frackville,1106.0,3.0,1103.0,0.0,0.0,-2.0,2021-03-15
Forest,2255.0,3.0,2252.0,0.0,0.0,17.0,2021-03-15
Fayette,1959.0,3.0,1956.0,0.0,0.0,-2.0,2021-03-15
Greene,1736.0,2.0,1734.0,-5.0,-5.0,-32.0,2021-03-15
Houtzdale,2381.0,2.0,2379.0,-4.0,-4.0,3.0,2021-03-15
Huntingdon,1776.0,1.0,1775.0,0.0,0.0,-30.0,2021-03-15
Laurel Highlands,778.0,12.0,766.0,0.0,0.0,-12.0,2021-03-15
Mahanoy,2201.0,4.0,2197.0,-3.0,-3.0,16.0,2021-03-15
Mercer,1059.0,3.0,1056.0,-3.0,-3.0,-1.0,2021-03-15
Muncy,1063.0,8.0,1055.0,-14.0,-14.0,-3.0,2021-03-15
Phoenix,3029.0,8.0,3021.0,30.0,30.0,55.0,2021-03-15
Pine Grove,935.0,3.0,932.0,-7.0,-7.0,-1.0,2021-03-15
Quehanna,271.0,0.0,271.0,-1.0,-1.0,1.0,2021-03-15
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-15
Rockview,1506.0,4.0,1502.0,-2.0,-2.0,-15.0,2021-03-15
Smithfield,1013.0,3.0,1010.0,-12.0,-12.0,-19.0,2021-03-15
Somerset,2148.0,0.0,2148.0,-1.0,-1.0,0.0,2021-03-15
Waymart,855.0,7.0,848.0,-4.0,-4.0,-17.0,2021-03-15
SCI TOTAL,37714.0,102.0,37612.0,-50.0,-50.0,-154.0,2021-03-15
CCC/F East,497.0,0.0,497.0,-1.0,-1.0,2.0,2021-03-15
CCC/F Central,630.0,0.0,630.0,-6.0,-6.0,12.0,2021-03-15
CCC/F West,524.0,0.0,524.0,-4.0,-4.0,37.0,2021-03-15
CCC/F TOTAL,1651.0,0.0,1651.0,-11.0,-11.0,51.0,2021-03-15
