date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-10-29,Albion,2180.0,4.0,2176.0,-4.0,-11.0,-27.0
2020-10-29,Benner,1955.0,3.0,1952.0,-3.0,-11.0,-36.0
2020-10-29,Camp Hill,2156.0,7.0,2149.0,-6.0,24.0,-82.0
2020-10-29,Cambridge Springs,966.0,18.0,948.0,-1.0,1.0,-16.0
2020-10-29,Chester,1035.0,2.0,1033.0,-3.0,-5.0,65.0
2020-10-29,Coal Township,2330.0,4.0,2326.0,1.0,40.0,143.0
2020-10-29,Dallas,2029.0,2.0,2027.0,-8.0,-51.0,-81.0
2020-10-29,Frackville,1019.0,3.0,1016.0,8.0,4.0,-19.0
2020-10-29,Forest,2316.0,4.0,2312.0,-2.0,-3.0,-30.0
2020-10-29,Fayette,1927.0,3.0,1924.0,-3.0,-11.0,-50.0
2020-10-29,Greene,1713.0,3.0,1710.0,6.0,9.0,42.0
2020-10-29,Houtzdale,2421.0,2.0,2419.0,-3.0,-6.0,-18.0
2020-10-29,Huntingdon,1740.0,1.0,1739.0,-2.0,-3.0,1.0
2020-10-29,Laurel Highlands,863.0,13.0,850.0,-2.0,-4.0,-35.0
2020-10-29,Mahanoy,2271.0,5.0,2266.0,-3.0,-5.0,-40.0
2020-10-29,Mercer,1218.0,3.0,1215.0,-5.0,-7.0,-54.0
2020-10-29,Muncy,1070.0,10.0,1060.0,-3.0,-9.0,3.0
2020-10-29,Phoenix,2878.0,9.0,2869.0,-3.0,-20.0,57.0
2020-10-29,Pine Grove,993.0,3.0,990.0,-3.0,-7.0,-31.0
2020-10-29,Quehanna,318.0,0.0,318.0,-19.0,-21.0,-98.0
2020-10-29,Retreat,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,Rockview,1581.0,5.0,1576.0,-5.0,-13.0,-58.0
2020-10-29,Smithfield,1338.0,4.0,1334.0,-4.0,-12.0,-39.0
2020-10-29,Somerset,2222.0,0.0,2222.0,-3.0,-6.0,-37.0
2020-10-29,Waymart,1008.0,7.0,1001.0,1.0,-4.0,-36.0
2020-10-29,SCI TOTAL,39547.0,115.0,39432.0,-69.0,-131.0,-476.0
2020-10-29,CCC/F East,629.0,0.0,629.0,0.0,-16.0,17.0
2020-10-29,CCC/F Central,813.0,0.0,813.0,0.0,-5.0,-67.0
2020-10-29,CCC/F West,811.0,0.0,811.0,0.0,-3.0,73.0
2020-10-29,CCC/F TOTAL,2253.0,0.0,2253.0,0.0,-24.0,23.0
