INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2172.0,4.0,2168.0,0.0,-7.0,1.0,2020-11-04
Benner,1941.0,3.0,1938.0,-12.0,-13.0,-13.0,2020-11-04
Camp Hill,2000.0,7.0,1993.0,-65.0,-154.0,-55.0,2020-11-04
Cambridge Springs,967.0,18.0,949.0,-3.0,1.0,-3.0,2020-11-04
Chester,1024.0,2.0,1022.0,-2.0,-6.0,-5.0,2020-11-04
Coal Township,2303.0,4.0,2299.0,13.0,18.0,15.0,2020-11-04
Dallas,1991.0,2.0,1989.0,-1.0,-37.0,-6.0,2020-11-04
Frackville,1142.0,3.0,1139.0,98.0,123.0,96.0,2020-11-04
Forest,2322.0,4.0,2318.0,11.0,6.0,7.0,2020-11-04
Fayette,1947.0,3.0,1944.0,3.0,-1.0,1.0,2020-11-04
Greene,1718.0,3.0,1715.0,-1.0,4.0,0.0,2020-11-04
Houtzdale,2407.0,2.0,2405.0,-10.0,-12.0,-10.0,2020-11-04
Huntingdon,1704.0,1.0,1703.0,0.0,-3.0,-2.0,2020-11-04
Laurel Highlands,855.0,13.0,842.0,-1.0,-5.0,-4.0,2020-11-04
Mahanoy,2265.0,5.0,2260.0,-1.0,-5.0,-5.0,2020-11-04
Mercer,1206.0,3.0,1203.0,-1.0,-6.0,-5.0,2020-11-04
Muncy,1064.0,10.0,1054.0,-2.0,-14.0,-3.0,2020-11-04
Phoenix,2986.0,9.0,2977.0,25.0,111.0,15.0,2020-11-04
Pine Grove,978.0,3.0,975.0,-5.0,-13.0,-12.0,2020-11-04
Quehanna,356.0,0.0,356.0,8.0,39.0,39.0,2020-11-04
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-04
Rockview,1577.0,5.0,1572.0,0.0,-5.0,-5.0,2020-11-04
Smithfield,1333.0,4.0,1329.0,0.0,-4.0,-2.0,2020-11-04
Somerset,2212.0,0.0,2212.0,-6.0,-10.0,-10.0,2020-11-04
Waymart,999.0,7.0,992.0,-2.0,-6.0,-6.0,2020-11-04
SCI TOTAL,39469.0,115.0,39354.0,46.0,1.0,28.0,2020-11-04
CCC/F East,625.0,0.0,625.0,-12.0,-12.0,-12.0,2020-11-04
CCC/F Central,814.0,0.0,814.0,-14.0,-14.0,-14.0,2020-11-04
CCC/F West,791.0,0.0,791.0,-32.0,-32.0,-32.0,2020-11-04
CCC/F TOTAL,2230.0,0.0,2230.0,-58.0,-58.0,-58.0,2020-11-04
