SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2153.0,4.0,2149.0,-2.0,0.0,-22.0,2021-01-28
Benner,1957.0,3.0,1954.0,-3.0,-5.0,7.0,2021-01-28
Camp Hill,2199.0,7.0,2192.0,-2.0,-7.0,-214.0,2021-01-28
Cambridge Springs,880.0,16.0,864.0,1.0,1.0,-19.0,2021-01-28
Chester,974.0,1.0,973.0,6.0,-3.0,-84.0,2021-01-28
Coal Township,2238.0,4.0,2234.0,-11.0,-34.0,-54.0,2021-01-28
Dallas,1667.0,2.0,1665.0,-1.0,-6.0,-36.0,2021-01-28
Frackville,1116.0,3.0,1113.0,1.0,1.0,-25.0,2021-01-28
Forest,2260.0,3.0,2257.0,1.0,-5.0,-37.0,2021-01-28
Fayette,1988.0,3.0,1985.0,-8.0,-10.0,16.0,2021-01-28
Greene,1769.0,2.0,1767.0,2.0,-18.0,0.0,2021-01-28
Houtzdale,2404.0,2.0,2402.0,3.0,1.0,-17.0,2021-01-28
Huntingdon,1840.0,1.0,1839.0,-2.0,0.0,32.0,2021-01-28
Laurel Highlands,808.0,13.0,795.0,0.0,-1.0,50.0,2021-01-28
Mahanoy,2183.0,4.0,2179.0,3.0,-2.0,-12.0,2021-01-28
Mercer,1081.0,3.0,1078.0,-2.0,-8.0,-4.0,2021-01-28
Muncy,1105.0,8.0,1097.0,12.0,11.0,7.0,2021-01-28
Phoenix,2978.0,8.0,2970.0,10.0,4.0,99.0,2021-01-28
Pine Grove,924.0,3.0,921.0,-1.0,-2.0,9.0,2021-01-28
Quehanna,284.0,0.0,284.0,0.0,-3.0,1.0,2021-01-28
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-28
Rockview,1556.0,4.0,1552.0,-3.0,-6.0,-35.0,2021-01-28
Smithfield,932.0,3.0,929.0,8.0,115.0,-22.0,2021-01-28
Somerset,2148.0,0.0,2148.0,6.0,-2.0,8.0,2021-01-28
Waymart,915.0,7.0,908.0,-3.0,-8.0,-35.0,2021-01-28
SCI TOTAL,38359.0,104.0,38255.0,15.0,13.0,-387.0,2021-01-28
CCC/F East,460.0,0.0,460.0,0.0,45.0,48.0,2021-01-28
CCC/F Central,523.0,0.0,523.0,11.0,5.0,39.0,2021-01-28
CCC/F West,441.0,0.0,441.0,-8.0,0.0,17.0,2021-01-28
CCC/F TOTAL,1424.0,0.0,1424.0,3.0,50.0,104.0,2021-01-28
