SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2139.0,4.0,2135.0,-1.0,-2.0,-18.0,2021-03-10
Benner,1954.0,3.0,1951.0,-3.0,-5.0,8.0,2021-03-10
Camp Hill,2049.0,7.0,2042.0,29.0,28.0,-28.0,2021-03-10
Cambridge Springs,883.0,15.0,868.0,-2.0,-4.0,-6.0,2021-03-10
Chester,1002.0,1.0,1001.0,-9.0,-9.0,10.0,2021-03-10
Coal Township,2088.0,4.0,2084.0,17.0,38.0,-4.0,2021-03-10
Dallas,1581.0,2.0,1579.0,-1.0,-10.0,-21.0,2021-03-10
Frackville,1112.0,3.0,1109.0,1.0,7.0,4.0,2021-03-10
Forest,2246.0,3.0,2243.0,-1.0,-2.0,8.0,2021-03-10
Fayette,1965.0,3.0,1962.0,-2.0,-1.0,4.0,2021-03-10
Greene,1755.0,2.0,1753.0,0.0,5.0,-13.0,2021-03-10
Houtzdale,2378.0,2.0,2376.0,0.0,1.0,0.0,2021-03-10
Huntingdon,1784.0,1.0,1783.0,-3.0,-4.0,-22.0,2021-03-10
Laurel Highlands,786.0,12.0,774.0,-1.0,-3.0,-4.0,2021-03-10
Mahanoy,2199.0,4.0,2195.0,8.0,7.0,14.0,2021-03-10
Mercer,1051.0,3.0,1048.0,1.0,-5.0,-9.0,2021-03-10
Muncy,1069.0,8.0,1061.0,0.0,1.0,3.0,2021-03-10
Phoenix,3002.0,8.0,2994.0,-1.0,-5.0,28.0,2021-03-10
Pine Grove,937.0,3.0,934.0,-2.0,0.0,1.0,2021-03-10
Quehanna,274.0,0.0,274.0,0.0,0.0,4.0,2021-03-10
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-10
Rockview,1511.0,4.0,1507.0,-2.0,-3.0,-10.0,2021-03-10
Smithfield,1005.0,3.0,1002.0,-35.0,-90.0,-27.0,2021-03-10
Somerset,2145.0,0.0,2145.0,0.0,-11.0,-3.0,2021-03-10
Waymart,863.0,7.0,856.0,-2.0,-3.0,-9.0,2021-03-10
SCI TOTAL,37778.0,102.0,37676.0,-9.0,-70.0,-90.0,2021-03-10
CCC/F East,487.0,0.0,487.0,-13.0,-12.0,-8.0,2021-03-10
CCC/F Central,616.0,0.0,616.0,-3.0,-19.0,-2.0,2021-03-10
CCC/F West,523.0,0.0,523.0,8.0,9.0,36.0,2021-03-10
CCC/F TOTAL,1626.0,0.0,1626.0,-8.0,-22.0,26.0,2021-03-10
