INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2217.0,4.0,2213.0,-2.0,-2.0,33.0,2020-06-09
Benner,1992.0,4.0,1988.0,0.0,-2.0,-20.0,2020-06-09
Camp Hill,2477.0,10.0,2467.0,-9.0,-9.0,-250.0,2020-06-09
Cambridge Springs,1045.0,18.0,1027.0,-9.0,-9.0,-14.0,2020-06-09
Chester,906.0,3.0,903.0,-9.0,-9.0,-26.0,2020-06-09
Coal Township,2068.0,4.0,2064.0,-2.0,-2.0,29.0,2020-06-09
Dallas,2156.0,3.0,2153.0,-4.0,-5.0,28.0,2020-06-09
Frackville,1191.0,4.0,1187.0,-3.0,-3.0,13.0,2020-06-09
Forest,2355.0,7.0,2348.0,-1.0,6.0,31.0,2020-06-09
Fayette,1903.0,4.0,1899.0,-5.0,-5.0,21.0,2020-06-09
Greene,1751.0,4.0,1747.0,0.0,-3.0,20.0,2020-06-09
Houtzdale,2409.0,4.0,2405.0,3.0,1.0,-15.0,2020-06-09
Huntingdon,1883.0,1.0,1882.0,-1.0,-1.0,-4.0,2020-06-09
Laurel Highlands,1277.0,18.0,1259.0,-4.0,-7.0,-24.0,2020-06-09
Mahanoy,2301.0,7.0,2294.0,-2.0,-3.0,42.0,2020-06-09
Mercer,1294.0,3.0,1291.0,0.0,0.0,-12.0,2020-06-09
Muncy,1194.0,11.0,1183.0,-8.0,-8.0,-44.0,2020-06-09
Phoenix,2898.0,9.0,2889.0,-3.0,-8.0,-41.0,2020-06-09
Pine Grove,1020.0,4.0,1016.0,1.0,1.0,14.0,2020-06-09
Quehanna,389.0,0.0,389.0,-3.0,-3.0,-13.0,2020-06-09
Retreat,522.0,0.0,522.0,8.0,8.0,-64.0,2020-06-09
Rockview,2019.0,8.0,2011.0,0.0,-2.0,-14.0,2020-06-09
Smithfield,1270.0,5.0,1265.0,-2.0,-3.0,10.0,2020-06-09
Somerset,2282.0,0.0,2282.0,0.0,-2.0,-1.0,2020-06-09
Waymart,1214.0,11.0,1203.0,0.0,-2.0,-20.0,2020-06-09
SCI TOTAL,42033.0,146.0,41887.0,-55.0,-72.0,-321.0,2020-06-09
CCC/F East,962.0,0.0,962.0,-13.0,-13.0,-33.0,2020-06-09
CCC/F Central,1144.0,0.0,1144.0,30.0,30.0,19.0,2020-06-09
CCC/F West,679.0,0.0,679.0,-15.0,-15.0,-44.0,2020-06-09
CCC/F TOTAL,2785.0,0.0,2785.0,2.0,2.0,-58.0,2020-06-09
