INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2208.0,2.0,2206.0,0.0,0.0,-31.0,2020-05-11
Benner,2031.0,4.0,2027.0,0.0,0.0,-13.0,2020-05-11
Camp Hill,2949.0,9.0,2940.0,-1.0,-1.0,-45.0,2020-05-11
Cambridge Springs,1095.0,16.0,1079.0,0.0,-2.0,-35.0,2020-05-11
Chester,988.0,3.0,985.0,0.0,0.0,-21.0,2020-05-11
Coal Township,2064.0,5.0,2059.0,0.0,-1.0,-22.0,2020-05-11
Dallas,2133.0,3.0,2130.0,0.0,0.0,-20.0,2020-05-11
Frackville,1183.0,4.0,1179.0,-1.0,-1.0,12.0,2020-05-11
Forest,2323.0,7.0,2316.0,0.0,0.0,-7.0,2020-05-11
Fayette,1909.0,4.0,1905.0,-1.0,-6.0,-33.0,2020-05-11
Greene,1747.0,4.0,1743.0,0.0,0.0,-14.0,2020-05-11
Houtzdale,2431.0,4.0,2427.0,0.0,0.0,-27.0,2020-05-11
Huntingdon,1946.0,1.0,1945.0,-2.0,-5.0,-37.0,2020-05-11
Laurel Highlands,1340.0,12.0,1328.0,-1.0,-4.0,-25.0,2020-05-11
Mahanoy,2272.0,5.0,2267.0,-1.0,-2.0,-27.0,2020-05-11
Mercer,1317.0,3.0,1314.0,0.0,-1.0,-9.0,2020-05-11
Muncy,1279.0,10.0,1269.0,0.0,0.0,-27.0,2020-05-11
Phoenix,2974.0,8.0,2966.0,-2.0,-3.0,-57.0,2020-05-11
Pine Grove,1021.0,2.0,1019.0,0.0,0.0,-5.0,2020-05-11
Quehanna,327.0,0.0,327.0,0.0,0.0,24.0,2020-05-11
Retreat,493.0,0.0,493.0,0.0,0.0,135.0,2020-05-11
Rockview,2053.0,4.0,2049.0,-2.0,-3.0,-87.0,2020-05-11
Smithfield,1259.0,4.0,1255.0,0.0,-1.0,-10.0,2020-05-11
Somerset,2294.0,0.0,2294.0,0.0,-1.0,-11.0,2020-05-11
Waymart,1279.0,10.0,1269.0,-1.0,-1.0,-37.0,2020-05-11
SCI TOTAL,42915.0,124.0,42791.0,-12.0,-32.0,-429.0,2020-05-11
CCC/F East,1057.0,0.0,1057.0,0.0,0.0,32.0,2020-05-11
CCC/F Central,1167.0,0.0,1167.0,0.0,0.0,-26.0,2020-05-11
CCC/F West,758.0,0.0,758.0,0.0,0.0,24.0,2020-05-11
CCC/F TOTAL,2982.0,0.0,2982.0,0.0,0.0,30.0,2020-05-11
