INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2186.0,4.0,2182.0,0.0,-5.0,-21.0,2020-10-27
Benner,1958.0,3.0,1955.0,-1.0,-8.0,-33.0,2020-10-27
Camp Hill,2164.0,7.0,2157.0,-4.0,32.0,-74.0,2020-10-27
Cambridge Springs,967.0,18.0,949.0,3.0,2.0,-15.0,2020-10-27
Chester,1038.0,2.0,1036.0,-2.0,-2.0,68.0,2020-10-27
Coal Township,2309.0,4.0,2305.0,16.0,19.0,122.0,2020-10-27
Dallas,2039.0,2.0,2037.0,-2.0,-41.0,-71.0,2020-10-27
Frackville,1011.0,3.0,1008.0,-2.0,-4.0,-27.0,2020-10-27
Forest,2316.0,4.0,2312.0,-1.0,-3.0,-30.0,2020-10-27
Fayette,1933.0,3.0,1930.0,-3.0,-5.0,-44.0,2020-10-27
Greene,1702.0,3.0,1699.0,0.0,-2.0,31.0,2020-10-27
Houtzdale,2426.0,2.0,2424.0,1.0,-1.0,-13.0,2020-10-27
Huntingdon,1743.0,1.0,1742.0,0.0,0.0,4.0,2020-10-27
Laurel Highlands,868.0,13.0,855.0,1.0,1.0,-30.0,2020-10-27
Mahanoy,2273.0,5.0,2268.0,-1.0,-3.0,-38.0,2020-10-27
Mercer,1223.0,3.0,1220.0,-2.0,-2.0,-49.0,2020-10-27
Muncy,1070.0,10.0,1060.0,-2.0,-9.0,3.0,2020-10-27
Phoenix,2886.0,9.0,2877.0,-3.0,-12.0,65.0,2020-10-27
Pine Grove,997.0,3.0,994.0,-1.0,-3.0,-27.0,2020-10-27
Quehanna,337.0,0.0,337.0,-1.0,-2.0,-79.0,2020-10-27
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-27
Rockview,1588.0,5.0,1583.0,-1.0,-6.0,-51.0,2020-10-27
Smithfield,1344.0,4.0,1340.0,-3.0,-6.0,-33.0,2020-10-27
Somerset,2225.0,0.0,2225.0,0.0,-3.0,-34.0,2020-10-27
Waymart,1010.0,8.0,1002.0,-2.0,-3.0,-35.0,2020-10-27
SCI TOTAL,39613.0,116.0,39497.0,-10.0,-66.0,-411.0,2020-10-27
CCC/F East,645.0,0.0,645.0,0.0,0.0,33.0,2020-10-27
CCC/F Central,818.0,0.0,818.0,0.0,0.0,-62.0,2020-10-27
CCC/F West,814.0,0.0,814.0,0.0,0.0,76.0,2020-10-27
CCC/F TOTAL,2277.0,0.0,2277.0,0.0,0.0,47.0,2020-10-27
