INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2237.0,2.0,2235.0,-2.0,-8.0,-2.0,2020-05-01
Benner,2042.0,3.0,2039.0,-1.0,-8.0,-1.0,2020-05-01
Camp Hill,2988.0,8.0,2980.0,-5.0,9.0,-5.0,2020-05-01
Cambridge Springs,1127.0,16.0,1111.0,-3.0,-7.0,-3.0,2020-05-01
Chester,1006.0,2.0,1004.0,-2.0,-23.0,-2.0,2020-05-01
Coal Township,2083.0,5.0,2078.0,-3.0,-11.0,-3.0,2020-05-01
Dallas,2150.0,3.0,2147.0,-3.0,17.0,-3.0,2020-05-01
Frackville,1170.0,3.0,1167.0,0.0,-3.0,0.0,2020-05-01
Forest,2328.0,5.0,2323.0,0.0,43.0,0.0,2020-05-01
Fayette,1938.0,3.0,1935.0,-3.0,-18.0,-3.0,2020-05-01
Greene,1757.0,3.0,1754.0,-3.0,-3.0,-3.0,2020-05-01
Houtzdale,2457.0,3.0,2454.0,0.0,-13.0,0.0,2020-05-01
Huntingdon,1983.0,1.0,1982.0,0.0,-10.0,0.0,2020-05-01
Laurel Highlands,1363.0,12.0,1351.0,-2.0,-10.0,-2.0,2020-05-01
Mahanoy,2294.0,3.0,2291.0,-3.0,-15.0,-3.0,2020-05-01
Mercer,1326.0,3.0,1323.0,0.0,25.0,0.0,2020-05-01
Muncy,1306.0,9.0,1297.0,1.0,-12.0,1.0,2020-05-01
Phoenix,2998.0,8.0,2990.0,-33.0,-56.0,-33.0,2020-05-01
Pine Grove,1024.0,2.0,1022.0,-2.0,13.0,-2.0,2020-05-01
Quehanna,303.0,0.0,303.0,0.0,-15.0,0.0,2020-05-01
Retreat,391.0,0.0,391.0,33.0,67.0,33.0,2020-05-01
Rockview,2099.0,4.0,2095.0,-41.0,-209.0,-41.0,2020-05-01
Smithfield,1265.0,3.0,1262.0,-3.0,-12.0,-3.0,2020-05-01
Somerset,2303.0,0.0,2303.0,-2.0,-10.0,-2.0,2020-05-01
Waymart,1311.0,10.0,1301.0,-5.0,-14.0,-5.0,2020-05-01
SCI TOTAL,43249.0,111.0,43138.0,-82.0,-283.0,-82.0,2020-05-01
CCC/F East,1025.0,0.0,1025.0,0.0,-3.0,0.0,2020-05-01
CCC/F Central,1218.0,0.0,1218.0,25.0,-2.0,25.0,2020-05-01
CCC/F West,744.0,0.0,744.0,10.0,-100.0,10.0,2020-05-01
CCC/F TOTAL,2987.0,0.0,2987.0,35.0,-105.0,35.0,2020-05-01
