date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-10-16,Albion,2203.0,4.0,2199.0,0.0,-6.0,-4.0
2020-10-16,Benner,1974.0,3.0,1971.0,-1.0,-9.0,-17.0
2020-10-16,Camp Hill,1939.0,7.0,1932.0,-147.0,-268.0,-299.0
2020-10-16,Cambridge Springs,966.0,18.0,948.0,0.0,2.0,-16.0
2020-10-16,Chester,1056.0,2.0,1054.0,-2.0,96.0,86.0
2020-10-16,Coal Township,2234.0,4.0,2230.0,13.0,37.0,47.0
2020-10-16,Dallas,2101.0,2.0,2099.0,-1.0,0.0,-9.0
2020-10-16,Frackville,1026.0,3.0,1023.0,-2.0,-7.0,-12.0
2020-10-16,Forest,2325.0,4.0,2321.0,-2.0,-12.0,-21.0
2020-10-16,Fayette,1942.0,3.0,1939.0,1.0,-10.0,-35.0
2020-10-16,Greene,1694.0,3.0,1691.0,10.0,4.0,23.0
2020-10-16,Houtzdale,2434.0,2.0,2432.0,0.0,1.0,-5.0
2020-10-16,Huntingdon,1788.0,1.0,1787.0,-3.0,-25.0,49.0
2020-10-16,Laurel Highlands,876.0,13.0,863.0,-1.0,-3.0,-22.0
2020-10-16,Mahanoy,2287.0,5.0,2282.0,0.0,-14.0,-24.0
2020-10-16,Mercer,1243.0,3.0,1240.0,-3.0,-7.0,-29.0
2020-10-16,Muncy,1091.0,10.0,1081.0,12.0,3.0,24.0
2020-10-16,Phoenix,2943.0,9.0,2934.0,140.0,156.0,122.0
2020-10-16,Pine Grove,1005.0,3.0,1002.0,-3.0,-7.0,-19.0
2020-10-16,Quehanna,348.0,0.0,348.0,0.0,-5.0,-68.0
2020-10-16,Retreat,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,Rockview,1602.0,5.0,1597.0,-1.0,-9.0,-37.0
2020-10-16,Smithfield,1356.0,4.0,1352.0,-1.0,-8.0,-21.0
2020-10-16,Somerset,2238.0,0.0,2238.0,0.0,-10.0,-21.0
2020-10-16,Waymart,1022.0,8.0,1014.0,-2.0,-13.0,-23.0
2020-10-16,SCI TOTAL,39693.0,116.0,39577.0,7.0,-114.0,-331.0
2020-10-16,CCC/F East,635.0,0.0,635.0,19.0,15.0,23.0
2020-10-16,CCC/F Central,843.0,0.0,843.0,5.0,-18.0,-37.0
2020-10-16,CCC/F West,812.0,0.0,812.0,11.0,2.0,74.0
2020-10-16,CCC/F TOTAL,2290.0,0.0,2290.0,35.0,-1.0,60.0
