INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2203.0,4.0,2199.0,-1.0,-3.0,-4.0,2020-10-06
Benner,1986.0,3.0,1983.0,0.0,-4.0,-5.0,2020-10-06
Camp Hill,2220.0,7.0,2213.0,-6.0,-7.0,-18.0,2020-10-06
Cambridge Springs,981.0,19.0,962.0,2.0,6.0,-2.0,2020-10-06
Chester,956.0,2.0,954.0,-5.0,-4.0,-14.0,2020-10-06
Coal Township,2191.0,4.0,2187.0,2.0,-8.0,4.0,2020-10-06
Dallas,2116.0,2.0,2114.0,3.0,2.0,6.0,2020-10-06
Frackville,1036.0,3.0,1033.0,-1.0,-1.0,-2.0,2020-10-06
Forest,2343.0,5.0,2338.0,-1.0,-2.0,-4.0,2020-10-06
Fayette,1955.0,3.0,1952.0,0.0,-6.0,-22.0,2020-10-06
Greene,1675.0,3.0,1672.0,5.0,8.0,4.0,2020-10-06
Houtzdale,2431.0,2.0,2429.0,-1.0,-3.0,-8.0,2020-10-06
Huntingdon,1819.0,1.0,1818.0,-6.0,54.0,80.0,2020-10-06
Laurel Highlands,884.0,13.0,871.0,0.0,-7.0,-14.0,2020-10-06
Mahanoy,2307.0,5.0,2302.0,-3.0,-4.0,-4.0,2020-10-06
Mercer,1259.0,3.0,1256.0,-3.0,-4.0,-13.0,2020-10-06
Muncy,1072.0,11.0,1061.0,-1.0,-5.0,4.0,2020-10-06
Phoenix,2790.0,9.0,2781.0,-2.0,12.0,-31.0,2020-10-06
Pine Grove,1013.0,3.0,1010.0,0.0,-5.0,-11.0,2020-10-06
Quehanna,395.0,0.0,395.0,0.0,-24.0,-21.0,2020-10-06
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-06
Rockview,1621.0,5.0,1616.0,-5.0,-5.0,-18.0,2020-10-06
Smithfield,1374.0,4.0,1370.0,-2.0,0.0,-3.0,2020-10-06
Somerset,2259.0,0.0,2259.0,-1.0,-5.0,0.0,2020-10-06
Waymart,1039.0,8.0,1031.0,-3.0,-5.0,-6.0,2020-10-06
SCI TOTAL,39925.0,119.0,39806.0,-29.0,-20.0,-102.0,2020-10-06
CCC/F East,607.0,0.0,607.0,0.0,-5.0,-5.0,2020-10-06
CCC/F Central,884.0,0.0,884.0,0.0,4.0,4.0,2020-10-06
CCC/F West,762.0,0.0,762.0,0.0,24.0,24.0,2020-10-06
CCC/F TOTAL,2253.0,0.0,2253.0,0.0,23.0,23.0,2020-10-06
