date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-26,Albion,2243.0,2.0,2241.0,-2.0,-2.0,-50.0
2020-04-26,Benner,2048.0,3.0,2045.0,-2.0,-2.0,-29.0
2020-04-26,Camp Hill,2979.0,8.0,2971.0,0.0,0.0,44.0
2020-04-26,Cambridge Springs,1132.0,16.0,1116.0,-2.0,-2.0,-42.0
2020-04-26,Chester,1028.0,1.0,1027.0,0.0,0.0,-94.0
2020-04-26,Coal Township,2094.0,5.0,2089.0,0.0,0.0,-56.0
2020-04-26,Dallas,2133.0,3.0,2130.0,0.0,0.0,-56.0
2020-04-26,Frackville,1173.0,3.0,1170.0,0.0,0.0,-33.0
2020-04-26,Forest,2285.0,5.0,2280.0,0.0,0.0,-19.0
2020-04-26,Fayette,1954.0,2.0,1952.0,-1.0,-1.0,-78.0
2020-04-26,Greene,1758.0,1.0,1757.0,0.0,0.0,-34.0
2020-04-26,Houtzdale,2469.0,3.0,2466.0,-1.0,-1.0,-54.0
2020-04-26,Huntingdon,1993.0,1.0,1992.0,0.0,0.0,-42.0
2020-04-26,Laurel Highlands,1374.0,13.0,1361.0,0.0,0.0,-93.0
2020-04-26,Mahanoy,2309.0,3.0,2306.0,0.0,0.0,-62.0
2020-04-26,Mercer,1301.0,3.0,1298.0,0.0,0.0,-63.0
2020-04-26,Muncy,1318.0,9.0,1309.0,0.0,0.0,-67.0
2020-04-26,Phoenix,3054.0,8.0,3046.0,0.0,0.0,-152.0
2020-04-26,Pine Grove,1011.0,2.0,1009.0,0.0,0.0,-28.0
2020-04-26,Quehanna,318.0,0.0,318.0,0.0,0.0,-94.0
2020-04-26,Retreat,324.0,0.0,324.0,0.0,0.0,133.0
2020-04-26,Rockview,2305.0,2.0,2303.0,-1.0,-1.0,-38.0
2020-04-26,Smithfield,1274.0,3.0,1271.0,-3.0,-3.0,-32.0
2020-04-26,Somerset,2313.0,0.0,2313.0,0.0,0.0,-53.0
2020-04-26,Waymart,1322.0,10.0,1312.0,-3.0,-3.0,-74.0
2020-04-26,SCI TOTAL,43512.0,106.0,43406.0,-15.0,-15.0,-1166.0
2020-04-26,CCC/F East,1028.0,0.0,1028.0,0.0,0.0,53.0
2020-04-26,CCC/F Central,1220.0,0.0,1220.0,0.0,0.0,88.0
2020-04-26,CCC/F West,844.0,0.0,844.0,0.0,0.0,156.0
2020-04-26,CCC/F TOTAL,3092.0,0.0,3092.0,0.0,0.0,297.0
