SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2183.0,4.0,2179.0,-1.0,-11.0,-25.0,2020-12-04
Benner,1950.0,3.0,1947.0,-1.0,-15.0,-9.0,2020-12-04
Camp Hill,2217.0,7.0,2210.0,29.0,127.0,134.0,2020-12-04
Cambridge Springs,941.0,18.0,923.0,1.0,-3.0,-3.0,2020-12-04
Chester,976.0,1.0,975.0,-1.0,-20.0,-12.0,2020-12-04
Coal Township,2300.0,4.0,2296.0,28.0,29.0,34.0,2020-12-04
Dallas,1924.0,2.0,1922.0,-2.0,-15.0,-12.0,2020-12-04
Frackville,1145.0,3.0,1142.0,-1.0,-1.0,0.0,2020-12-04
Forest,2313.0,3.0,2310.0,0.0,3.0,4.0,2020-12-04
Fayette,1970.0,3.0,1967.0,-1.0,-1.0,1.0,2020-12-04
Greene,1748.0,2.0,1746.0,5.0,0.0,1.0,2020-12-04
Houtzdale,2424.0,2.0,2422.0,-1.0,-11.0,-4.0,2020-12-04
Huntingdon,1712.0,1.0,1711.0,0.0,27.0,30.0,2020-12-04
Laurel Highlands,798.0,13.0,785.0,-2.0,-19.0,-7.0,2020-12-04
Mahanoy,2233.0,5.0,2228.0,-2.0,-20.0,-15.0,2020-12-04
Mercer,1139.0,3.0,1136.0,-1.0,-28.0,-16.0,2020-12-04
Muncy,1063.0,10.0,1053.0,5.0,-7.0,-3.0,2020-12-04
Phoenix,2982.0,8.0,2974.0,-3.0,-23.0,-13.0,2020-12-04
Pine Grove,912.0,3.0,909.0,-2.0,-22.0,-19.0,2020-12-04
Quehanna,356.0,0.0,356.0,0.0,16.0,16.0,2020-12-04
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-04
Rockview,1526.0,4.0,1522.0,0.0,-8.0,-8.0,2020-12-04
Smithfield,1295.0,4.0,1291.0,-3.0,-12.0,-10.0,2020-12-04
Somerset,2169.0,0.0,2169.0,-2.0,-9.0,-6.0,2020-12-04
Waymart,970.0,7.0,963.0,-1.0,-6.0,-4.0,2020-12-04
SCI TOTAL,39246.0,110.0,39136.0,44.0,-29.0,54.0,2020-12-04
CCC/F East,547.0,0.0,547.0,0.0,-21.0,-21.0,2020-12-04
CCC/F Central,743.0,0.0,743.0,0.0,-9.0,-9.0,2020-12-04
CCC/F West,704.0,0.0,704.0,0.0,-24.0,-24.0,2020-12-04
CCC/F TOTAL,1994.0,0.0,1994.0,0.0,-54.0,-54.0,2020-12-04
