SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2156.0,4.0,2152.0,-1.0,-5.0,-19.0,2021-01-22
Benner,1948.0,3.0,1945.0,-4.0,-3.0,-2.0,2021-01-22
Camp Hill,2212.0,7.0,2205.0,-6.0,-42.0,-201.0,2021-01-22
Cambridge Springs,880.0,16.0,864.0,-4.0,-10.0,-19.0,2021-01-22
Chester,982.0,1.0,981.0,-20.0,-30.0,-76.0,2021-01-22
Coal Township,2282.0,4.0,2278.0,-8.0,-39.0,-10.0,2021-01-22
Dallas,1673.0,2.0,1671.0,-2.0,-10.0,-30.0,2021-01-22
Frackville,1120.0,3.0,1117.0,-5.0,-15.0,-21.0,2021-01-22
Forest,2267.0,3.0,2264.0,-3.0,-14.0,-30.0,2021-01-22
Fayette,1999.0,3.0,1996.0,-1.0,-6.0,27.0,2021-01-22
Greene,1790.0,2.0,1788.0,-5.0,-20.0,21.0,2021-01-22
Houtzdale,2404.0,2.0,2402.0,-6.0,-9.0,-17.0,2021-01-22
Huntingdon,1840.0,1.0,1839.0,0.0,5.0,32.0,2021-01-22
Laurel Highlands,806.0,13.0,793.0,-4.0,31.0,48.0,2021-01-22
Mahanoy,2185.0,4.0,2181.0,-6.0,-20.0,-10.0,2021-01-22
Mercer,1086.0,3.0,1083.0,-7.0,-6.0,1.0,2021-01-22
Muncy,1103.0,8.0,1095.0,-5.0,1.0,5.0,2021-01-22
Phoenix,2974.0,8.0,2966.0,-26.0,-22.0,95.0,2021-01-22
Pine Grove,927.0,3.0,924.0,-1.0,-6.0,12.0,2021-01-22
Quehanna,276.0,0.0,276.0,-6.0,21.0,-7.0,2021-01-22
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-22
Rockview,1564.0,4.0,1560.0,-3.0,-11.0,-27.0,2021-01-22
Smithfield,770.0,3.0,767.0,91.0,144.0,-184.0,2021-01-22
Somerset,2145.0,0.0,2145.0,-1.0,-10.0,5.0,2021-01-22
Waymart,924.0,7.0,917.0,-4.0,-9.0,-26.0,2021-01-22
SCI TOTAL,38313.0,104.0,38209.0,-37.0,-85.0,-433.0,2021-01-22
CCC/F East,449.0,0.0,449.0,8.0,5.0,37.0,2021-01-22
CCC/F Central,510.0,0.0,510.0,12.0,0.0,26.0,2021-01-22
CCC/F West,438.0,0.0,438.0,19.0,5.0,14.0,2021-01-22
CCC/F TOTAL,1397.0,0.0,1397.0,39.0,10.0,77.0,2021-01-22
