SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2192.0,4.0,2188.0,-2.0,9.0,-16.0,2020-12-14
Benner,1954.0,3.0,1951.0,7.0,4.0,-5.0,2020-12-14
Camp Hill,2166.0,7.0,2159.0,-3.0,-51.0,83.0,2020-12-14
Cambridge Springs,938.0,17.0,921.0,-1.0,-2.0,-5.0,2020-12-14
Chester,959.0,1.0,958.0,-2.0,-17.0,-29.0,2020-12-14
Coal Township,2318.0,4.0,2314.0,-3.0,18.0,52.0,2020-12-14
Dallas,1920.0,2.0,1918.0,-1.0,-4.0,-16.0,2020-12-14
Frackville,1137.0,3.0,1134.0,-2.0,-8.0,-8.0,2020-12-14
Forest,2306.0,3.0,2303.0,0.0,-7.0,-3.0,2020-12-14
Fayette,1980.0,3.0,1977.0,-1.0,10.0,11.0,2020-12-14
Greene,1753.0,2.0,1751.0,2.0,5.0,6.0,2020-12-14
Houtzdale,2443.0,2.0,2441.0,-1.0,19.0,15.0,2020-12-14
Huntingdon,1699.0,1.0,1698.0,-1.0,-13.0,17.0,2020-12-14
Laurel Highlands,783.0,13.0,770.0,-3.0,-15.0,-22.0,2020-12-14
Mahanoy,2224.0,4.0,2220.0,-3.0,-8.0,-23.0,2020-12-14
Mercer,1124.0,3.0,1121.0,-1.0,-15.0,-31.0,2020-12-14
Muncy,1082.0,10.0,1072.0,1.0,19.0,16.0,2020-12-14
Phoenix,2957.0,8.0,2949.0,0.0,-25.0,-38.0,2020-12-14
Pine Grove,902.0,3.0,899.0,-2.0,-10.0,-29.0,2020-12-14
Quehanna,341.0,0.0,341.0,-1.0,-15.0,1.0,2020-12-14
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-14
Rockview,1521.0,4.0,1517.0,-1.0,-5.0,-13.0,2020-12-14
Smithfield,1291.0,4.0,1287.0,-3.0,-4.0,-14.0,2020-12-14
Somerset,2160.0,0.0,2160.0,-3.0,-9.0,-15.0,2020-12-14
Waymart,964.0,7.0,957.0,1.0,-6.0,-10.0,2020-12-14
SCI TOTAL,39114.0,108.0,39006.0,-23.0,-130.0,-76.0,2020-12-14
CCC/F East,433.0,0.0,433.0,8.0,-114.0,-135.0,2020-12-14
CCC/F Central,464.0,0.0,464.0,-8.0,-279.0,-288.0,2020-12-14
CCC/F West,437.0,0.0,437.0,-8.0,-267.0,-291.0,2020-12-14
CCC/F TOTAL,1334.0,0.0,1334.0,-8.0,-660.0,-714.0,2020-12-14
