date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-28,Albion,2187.0,4.0,2183.0,-5.0,0.0,-54.0
2020-05-28,Benner,2013.0,4.0,2009.0,-3.0,-5.0,-31.0
2020-05-28,Camp Hill,2823.0,10.0,2813.0,-78.0,-125.0,-172.0
2020-05-28,Cambridge Springs,1059.0,18.0,1041.0,-3.0,-10.0,-73.0
2020-05-28,Chester,932.0,3.0,929.0,-4.0,-14.0,-77.0
2020-05-28,Coal Township,2047.0,4.0,2043.0,14.0,7.0,-38.0
2020-05-28,Dallas,2101.0,3.0,2098.0,-4.0,-7.0,-52.0
2020-05-28,Frackville,1180.0,4.0,1176.0,-6.0,17.0,9.0
2020-05-28,Forest,2323.0,7.0,2316.0,-3.0,16.0,-7.0
2020-05-28,Fayette,1866.0,4.0,1862.0,-9.0,-19.0,-76.0
2020-05-28,Greene,1736.0,4.0,1732.0,-1.0,-3.0,-25.0
2020-05-28,Houtzdale,2404.0,4.0,2400.0,-3.0,-6.0,-54.0
2020-05-28,Huntingdon,1891.0,1.0,1890.0,-1.0,-5.0,-92.0
2020-05-28,Laurel Highlands,1305.0,15.0,1290.0,-6.0,-9.0,-63.0
2020-05-28,Mahanoy,2260.0,5.0,2255.0,11.0,7.0,-39.0
2020-05-28,Mercer,1284.0,3.0,1281.0,-5.0,-6.0,-42.0
2020-05-28,Muncy,1242.0,11.0,1231.0,-13.0,-20.0,-65.0
2020-05-28,Phoenix,2952.0,9.0,2943.0,-9.0,-12.0,-80.0
2020-05-28,Pine Grove,1009.0,4.0,1005.0,10.0,8.0,-19.0
2020-05-28,Quehanna,402.0,0.0,402.0,-8.0,-11.0,99.0
2020-05-28,Retreat,570.0,0.0,570.0,40.0,39.0,212.0
2020-05-28,Rockview,2034.0,7.0,2027.0,-6.0,-5.0,-109.0
2020-05-28,Smithfield,1262.0,5.0,1257.0,15.0,14.0,-8.0
2020-05-28,Somerset,2264.0,0.0,2264.0,-1.0,-5.0,-41.0
2020-05-28,Waymart,1239.0,11.0,1228.0,-3.0,-9.0,-78.0
2020-05-28,SCI TOTAL,42385.0,140.0,42245.0,-81.0,-163.0,-975.0
2020-05-28,CCC/F East,1004.0,0.0,1004.0,-27.0,-27.0,-21.0
2020-05-28,CCC/F Central,1108.0,0.0,1108.0,-56.0,-56.0,-85.0
2020-05-28,CCC/F West,722.0,0.0,722.0,-14.0,-14.0,-12.0
2020-05-28,CCC/F TOTAL,2834.0,0.0,2834.0,-97.0,-97.0,-118.0
