SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2179.0,4.0,2175.0,-3.0,-4.0,-29.0,2020-12-08
Benner,1950.0,3.0,1947.0,0.0,0.0,-9.0,2020-12-08
Camp Hill,2246.0,7.0,2239.0,-2.0,29.0,163.0,2020-12-08
Cambridge Springs,940.0,18.0,922.0,4.0,-1.0,-4.0,2020-12-08
Chester,971.0,1.0,970.0,-5.0,-5.0,-17.0,2020-12-08
Coal Township,2313.0,4.0,2309.0,18.0,13.0,47.0,2020-12-08
Dallas,1922.0,2.0,1920.0,-2.0,-2.0,-14.0,2020-12-08
Frackville,1142.0,3.0,1139.0,-1.0,-3.0,-3.0,2020-12-08
Forest,2310.0,3.0,2307.0,1.0,-3.0,1.0,2020-12-08
Fayette,1962.0,3.0,1959.0,-2.0,-8.0,-7.0,2020-12-08
Greene,1749.0,2.0,1747.0,0.0,1.0,2.0,2020-12-08
Houtzdale,2420.0,2.0,2418.0,-1.0,-4.0,-8.0,2020-12-08
Huntingdon,1707.0,1.0,1706.0,0.0,-5.0,25.0,2020-12-08
Laurel Highlands,790.0,13.0,777.0,-1.0,-8.0,-15.0,2020-12-08
Mahanoy,2228.0,4.0,2224.0,-3.0,-4.0,-19.0,2020-12-08
Mercer,1127.0,3.0,1124.0,-3.0,-12.0,-28.0,2020-12-08
Muncy,1059.0,10.0,1049.0,-3.0,-4.0,-7.0,2020-12-08
Phoenix,2961.0,8.0,2953.0,-16.0,-21.0,-34.0,2020-12-08
Pine Grove,906.0,3.0,903.0,-1.0,-6.0,-25.0,2020-12-08
Quehanna,352.0,0.0,352.0,-6.0,-4.0,12.0,2020-12-08
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-08
Rockview,1524.0,4.0,1520.0,0.0,-2.0,-10.0,2020-12-08
Smithfield,1293.0,4.0,1289.0,-1.0,-2.0,-12.0,2020-12-08
Somerset,2164.0,0.0,2164.0,-2.0,-5.0,-11.0,2020-12-08
Waymart,968.0,7.0,961.0,-1.0,-2.0,-6.0,2020-12-08
SCI TOTAL,39183.0,109.0,39074.0,-30.0,-62.0,-8.0,2020-12-08
CCC/F East,547.0,0.0,547.0,0.0,0.0,-21.0,2020-12-08
CCC/F Central,743.0,0.0,743.0,0.0,0.0,-9.0,2020-12-08
CCC/F West,704.0,0.0,704.0,0.0,0.0,-24.0,2020-12-08
CCC/F TOTAL,1994.0,0.0,1994.0,0.0,0.0,-54.0,2020-12-08
