SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2182.0,4.0,2178.0,-1.0,-1.0,-26.0,2020-12-07
Benner,1950.0,3.0,1947.0,0.0,0.0,-9.0,2020-12-07
Camp Hill,2248.0,7.0,2241.0,31.0,31.0,165.0,2020-12-07
Cambridge Springs,936.0,18.0,918.0,-5.0,-5.0,-8.0,2020-12-07
Chester,976.0,1.0,975.0,0.0,0.0,-12.0,2020-12-07
Coal Township,2295.0,4.0,2291.0,-5.0,-5.0,29.0,2020-12-07
Dallas,1924.0,2.0,1922.0,0.0,0.0,-12.0,2020-12-07
Frackville,1143.0,3.0,1140.0,-2.0,-2.0,-2.0,2020-12-07
Forest,2309.0,3.0,2306.0,-4.0,-4.0,0.0,2020-12-07
Fayette,1964.0,3.0,1961.0,-6.0,-6.0,-5.0,2020-12-07
Greene,1749.0,2.0,1747.0,1.0,1.0,2.0,2020-12-07
Houtzdale,2421.0,2.0,2419.0,-3.0,-3.0,-7.0,2020-12-07
Huntingdon,1707.0,1.0,1706.0,-5.0,-5.0,25.0,2020-12-07
Laurel Highlands,791.0,13.0,778.0,-7.0,-7.0,-14.0,2020-12-07
Mahanoy,2232.0,5.0,2227.0,-1.0,-1.0,-16.0,2020-12-07
Mercer,1130.0,3.0,1127.0,-9.0,-9.0,-25.0,2020-12-07
Muncy,1062.0,10.0,1052.0,-1.0,-1.0,-4.0,2020-12-07
Phoenix,2977.0,8.0,2969.0,-5.0,-5.0,-18.0,2020-12-07
Pine Grove,907.0,3.0,904.0,-5.0,-5.0,-24.0,2020-12-07
Quehanna,358.0,0.0,358.0,2.0,2.0,18.0,2020-12-07
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-07
Rockview,1524.0,4.0,1520.0,-2.0,-2.0,-10.0,2020-12-07
Smithfield,1294.0,4.0,1290.0,-1.0,-1.0,-11.0,2020-12-07
Somerset,2166.0,0.0,2166.0,-3.0,-3.0,-9.0,2020-12-07
Waymart,969.0,7.0,962.0,-1.0,-1.0,-5.0,2020-12-07
SCI TOTAL,39214.0,110.0,39104.0,-32.0,-32.0,22.0,2020-12-07
CCC/F East,547.0,0.0,547.0,0.0,0.0,-21.0,2020-12-07
CCC/F Central,743.0,0.0,743.0,0.0,0.0,-9.0,2020-12-07
CCC/F West,704.0,0.0,704.0,0.0,0.0,-24.0,2020-12-07
CCC/F TOTAL,1994.0,0.0,1994.0,0.0,0.0,-54.0,2020-12-07
