SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2154.0,4.0,2150.0,1.0,1.0,-21.0,2021-01-25
Benner,1961.0,3.0,1958.0,-1.0,-1.0,11.0,2021-01-25
Camp Hill,2205.0,7.0,2198.0,-1.0,-1.0,-208.0,2021-01-25
Cambridge Springs,876.0,16.0,860.0,-3.0,-3.0,-23.0,2021-01-25
Chester,977.0,1.0,976.0,0.0,0.0,-81.0,2021-01-25
Coal Township,2256.0,4.0,2252.0,-16.0,-16.0,-36.0,2021-01-25
Dallas,1672.0,2.0,1670.0,-1.0,-1.0,-31.0,2021-01-25
Frackville,1115.0,3.0,1112.0,0.0,0.0,-26.0,2021-01-25
Forest,2261.0,3.0,2258.0,-4.0,-4.0,-36.0,2021-01-25
Fayette,1995.0,3.0,1992.0,-3.0,-3.0,23.0,2021-01-25
Greene,1770.0,2.0,1768.0,-17.0,-17.0,1.0,2021-01-25
Houtzdale,2398.0,2.0,2396.0,-5.0,-5.0,-23.0,2021-01-25
Huntingdon,1842.0,1.0,1841.0,2.0,2.0,34.0,2021-01-25
Laurel Highlands,808.0,13.0,795.0,-1.0,-1.0,50.0,2021-01-25
Mahanoy,2185.0,4.0,2181.0,0.0,0.0,-10.0,2021-01-25
Mercer,1085.0,3.0,1082.0,-4.0,-4.0,0.0,2021-01-25
Muncy,1096.0,8.0,1088.0,2.0,2.0,-2.0,2021-01-25
Phoenix,2967.0,8.0,2959.0,-7.0,-7.0,88.0,2021-01-25
Pine Grove,926.0,3.0,923.0,0.0,0.0,11.0,2021-01-25
Quehanna,287.0,0.0,287.0,0.0,0.0,4.0,2021-01-25
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-25
Rockview,1559.0,4.0,1555.0,-3.0,-3.0,-32.0,2021-01-25
Smithfield,882.0,3.0,879.0,65.0,65.0,-72.0,2021-01-25
Somerset,2146.0,0.0,2146.0,-4.0,-4.0,6.0,2021-01-25
Waymart,921.0,7.0,914.0,-2.0,-2.0,-29.0,2021-01-25
SCI TOTAL,38344.0,104.0,38240.0,-2.0,-2.0,-402.0,2021-01-25
CCC/F East,462.0,0.0,462.0,47.0,47.0,50.0,2021-01-25
CCC/F Central,518.0,0.0,518.0,0.0,0.0,34.0,2021-01-25
CCC/F West,442.0,0.0,442.0,1.0,1.0,18.0,2021-01-25
CCC/F TOTAL,1422.0,0.0,1422.0,48.0,48.0,102.0,2021-01-25
