INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2259.0,0.0,2259.0,-1.0,-1.0,-32.0,2020-04-19
Benner,2055.0,0.0,2055.0,0.0,0.0,-19.0,2020-04-19
Camp Hill,2845.0,0.0,2845.0,-2.0,-2.0,-82.0,2020-04-19
Cambridge Springs,1152.0,0.0,1152.0,-1.0,-1.0,-6.0,2020-04-19
Chester,1048.0,0.0,1048.0,0.0,0.0,-73.0,2020-04-19
Coal Township,2114.0,2.0,2112.0,0.0,0.0,-33.0,2020-04-19
Dallas,2141.0,0.0,2141.0,0.0,0.0,-45.0,2020-04-19
Frackville,1179.0,0.0,1179.0,0.0,0.0,-24.0,2020-04-19
Forest,2290.0,0.0,2290.0,0.0,0.0,-9.0,2020-04-19
Fayette,1976.0,3.0,1973.0,-1.0,-1.0,-57.0,2020-04-19
Greene,1767.0,1.0,1766.0,-1.0,-1.0,-25.0,2020-04-19
Houtzdale,2479.0,0.0,2479.0,-1.0,-1.0,-41.0,2020-04-19
Huntingdon,1997.0,0.0,1997.0,-3.0,-3.0,-37.0,2020-04-19
Laurel Highlands,1389.0,0.0,1389.0,-5.0,-5.0,-65.0,2020-04-19
Mahanoy,2323.0,0.0,2323.0,0.0,0.0,-45.0,2020-04-19
Mercer,1317.0,0.0,1317.0,-1.0,-1.0,-44.0,2020-04-19
Muncy,1335.0,0.0,1335.0,0.0,0.0,-41.0,2020-04-19
Phoenix,3085.0,9.0,3076.0,-5.0,-5.0,-122.0,2020-04-19
Pine Grove,1014.0,0.0,1014.0,0.0,0.0,-23.0,2020-04-19
Quehanna,375.0,0.0,375.0,0.0,0.0,-37.0,2020-04-19
Retreat,484.0,0.0,484.0,0.0,0.0,293.0,2020-04-19
Rockview,2315.0,0.0,2315.0,-1.0,-1.0,-26.0,2020-04-19
Smithfield,1288.0,3.0,1285.0,0.0,0.0,-18.0,2020-04-19
Somerset,2321.0,0.0,2321.0,-1.0,-1.0,-45.0,2020-04-19
Waymart,1340.0,6.0,1334.0,0.0,0.0,-52.0,2020-04-19
SCI TOTAL,43888.0,24.0,43864.0,-23.0,-23.0,-708.0,2020-04-19
CCC/F East,1064.0,0.0,1064.0,0.0,0.0,89.0,2020-04-19
CCC/F Central,1209.0,0.0,1209.0,0.0,0.0,77.0,2020-04-19
CCC/F West,869.0,0.0,869.0,0.0,0.0,181.0,2020-04-19
CCC/F TOTAL,3142.0,0.0,3142.0,0.0,0.0,347.0,2020-04-19
