SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2170.0,4.0,2166.0,-2.0,-2.0,-5.0,2021-01-11
Benner,1948.0,3.0,1945.0,-1.0,-1.0,-2.0,2021-01-11
Camp Hill,2388.0,7.0,2381.0,-2.0,-2.0,-25.0,2021-01-11
Cambridge Springs,888.0,17.0,871.0,-7.0,-7.0,-12.0,2021-01-11
Chester,975.0,1.0,974.0,-59.0,-59.0,-83.0,2021-01-11
Coal Township,2307.0,4.0,2303.0,6.0,6.0,15.0,2021-01-11
Dallas,1693.0,2.0,1691.0,0.0,0.0,-10.0,2021-01-11
Frackville,1136.0,3.0,1133.0,0.0,0.0,-5.0,2021-01-11
Forest,2289.0,3.0,2286.0,-2.0,-2.0,-8.0,2021-01-11
Fayette,1984.0,3.0,1981.0,-1.0,-1.0,12.0,2021-01-11
Greene,1764.0,2.0,1762.0,-1.0,-1.0,-5.0,2021-01-11
Houtzdale,2412.0,2.0,2410.0,-2.0,-2.0,-9.0,2021-01-11
Huntingdon,1844.0,1.0,1843.0,-3.0,-3.0,36.0,2021-01-11
Laurel Highlands,781.0,13.0,768.0,-3.0,-3.0,23.0,2021-01-11
Mahanoy,2192.0,4.0,2188.0,10.0,10.0,-3.0,2021-01-11
Mercer,1085.0,3.0,1082.0,-3.0,-3.0,0.0,2021-01-11
Muncy,1095.0,8.0,1087.0,-1.0,-1.0,-3.0,2021-01-11
Phoenix,2953.0,8.0,2945.0,63.0,63.0,74.0,2021-01-11
Pine Grove,910.0,3.0,907.0,-2.0,-2.0,-5.0,2021-01-11
Quehanna,276.0,0.0,276.0,0.0,0.0,-7.0,2021-01-11
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-11
Rockview,1584.0,4.0,1580.0,-1.0,-1.0,-7.0,2021-01-11
Smithfield,766.0,3.0,763.0,1.0,1.0,-188.0,2021-01-11
Somerset,2147.0,0.0,2147.0,-2.0,-2.0,7.0,2021-01-11
Waymart,939.0,7.0,932.0,-2.0,-2.0,-11.0,2021-01-11
SCI TOTAL,38526.0,105.0,38421.0,-14.0,-14.0,-221.0,2021-01-11
CCC/F East,451.0,0.0,451.0,-1.0,-1.0,39.0,2021-01-11
CCC/F Central,480.0,0.0,480.0,-9.0,-9.0,-4.0,2021-01-11
CCC/F West,412.0,0.0,412.0,-4.0,-4.0,-12.0,2021-01-11
CCC/F TOTAL,1343.0,0.0,1343.0,-14.0,-14.0,23.0,2021-01-11
