SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2194.0,4.0,2190.0,-3.0,-5.0,23.0,2020-11-25
Benner,1965.0,3.0,1962.0,11.0,9.0,11.0,2020-11-25
Camp Hill,2090.0,7.0,2083.0,-58.0,-82.0,35.0,2020-11-25
Cambridge Springs,944.0,18.0,926.0,-1.0,3.0,-26.0,2020-11-25
Chester,997.0,2.0,995.0,0.0,-3.0,-32.0,2020-11-25
Coal Township,2271.0,4.0,2267.0,-43.0,-20.0,-17.0,2020-11-25
Dallas,1939.0,2.0,1937.0,-6.0,-8.0,-58.0,2020-11-25
Frackville,1146.0,3.0,1143.0,20.0,16.0,100.0,2020-11-25
Forest,2310.0,3.0,2307.0,-16.0,1.0,-4.0,2020-11-25
Fayette,1971.0,3.0,1968.0,1.0,-3.0,25.0,2020-11-25
Greene,1748.0,2.0,1746.0,7.0,9.0,31.0,2020-11-25
Houtzdale,2435.0,2.0,2433.0,24.0,23.0,18.0,2020-11-25
Huntingdon,1685.0,1.0,1684.0,-3.0,-3.0,-21.0,2020-11-25
Laurel Highlands,817.0,13.0,804.0,0.0,-7.0,-42.0,2020-11-25
Mahanoy,2253.0,5.0,2248.0,-2.0,-7.0,-17.0,2020-11-25
Mercer,1167.0,3.0,1164.0,-2.0,-9.0,-44.0,2020-11-25
Muncy,1070.0,10.0,1060.0,11.0,2.0,3.0,2020-11-25
Phoenix,3005.0,8.0,2997.0,55.0,48.0,35.0,2020-11-25
Pine Grove,934.0,3.0,931.0,-3.0,-9.0,-56.0,2020-11-25
Quehanna,340.0,0.0,340.0,3.0,1.0,23.0,2020-11-25
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-25
Rockview,1534.0,4.0,1530.0,0.0,-6.0,-47.0,2020-11-25
Smithfield,1307.0,4.0,1303.0,-4.0,-6.0,-28.0,2020-11-25
Somerset,2178.0,0.0,2178.0,0.0,-6.0,-44.0,2020-11-25
Waymart,976.0,7.0,969.0,-2.0,-7.0,-29.0,2020-11-25
SCI TOTAL,39276.0,111.0,39165.0,-11.0,-69.0,-161.0,2020-11-25
CCC/F East,568.0,0.0,568.0,-50.0,-50.0,-69.0,2020-11-25
CCC/F Central,752.0,0.0,752.0,-53.0,-53.0,-76.0,2020-11-25
CCC/F West,728.0,0.0,728.0,-48.0,-48.0,-95.0,2020-11-25
CCC/F TOTAL,2048.0,0.0,2048.0,-151.0,-151.0,-240.0,2020-11-25
