SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2120.0,4.0,2116.0,-3.0,-3.0,-37.0,2021-03-22
Benner,1956.0,3.0,1953.0,0.0,0.0,10.0,2021-03-22
Camp Hill,1995.0,7.0,1988.0,25.0,25.0,-82.0,2021-03-22
Cambridge Springs,879.0,15.0,864.0,-4.0,-4.0,-10.0,2021-03-22
Chester,1015.0,1.0,1014.0,1.0,1.0,23.0,2021-03-22
Coal Township,2106.0,4.0,2102.0,6.0,6.0,14.0,2021-03-22
Dallas,1565.0,2.0,1563.0,0.0,0.0,-37.0,2021-03-22
Frackville,1100.0,3.0,1097.0,-4.0,-4.0,-8.0,2021-03-22
Forest,2263.0,3.0,2260.0,-6.0,-6.0,25.0,2021-03-22
Fayette,1952.0,3.0,1949.0,-2.0,-2.0,-9.0,2021-03-22
Greene,1707.0,2.0,1705.0,-4.0,-4.0,-61.0,2021-03-22
Houtzdale,2369.0,2.0,2367.0,-2.0,-2.0,-9.0,2021-03-22
Huntingdon,1765.0,1.0,1764.0,0.0,0.0,-41.0,2021-03-22
Laurel Highlands,774.0,12.0,762.0,0.0,0.0,-16.0,2021-03-22
Mahanoy,2212.0,4.0,2208.0,6.0,6.0,27.0,2021-03-22
Mercer,1043.0,3.0,1040.0,-4.0,-4.0,-17.0,2021-03-22
Muncy,1075.0,8.0,1067.0,1.0,1.0,9.0,2021-03-22
Phoenix,3034.0,8.0,3026.0,-4.0,-4.0,60.0,2021-03-22
Pine Grove,923.0,3.0,920.0,-3.0,-3.0,-13.0,2021-03-22
Quehanna,276.0,0.0,276.0,-1.0,-1.0,6.0,2021-03-22
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-22
Rockview,1495.0,4.0,1491.0,-2.0,-2.0,-26.0,2021-03-22
Smithfield,1030.0,3.0,1027.0,-27.0,-27.0,-2.0,2021-03-22
Somerset,2149.0,0.0,2149.0,-2.0,-2.0,1.0,2021-03-22
Waymart,851.0,7.0,844.0,-2.0,-2.0,-21.0,2021-03-22
SCI TOTAL,37654.0,102.0,37552.0,-31.0,-31.0,-214.0,2021-03-22
CCC/F East,520.0,0.0,520.0,16.0,16.0,25.0,2021-03-22
CCC/F Central,635.0,0.0,635.0,-1.0,-1.0,17.0,2021-03-22
CCC/F West,528.0,0.0,528.0,-5.0,-5.0,41.0,2021-03-22
CCC/F TOTAL,1683.0,0.0,1683.0,10.0,10.0,83.0,2021-03-22
