SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2123.0,4.0,2119.0,-2.0,-7.0,-34.0,2021-03-19
Benner,1956.0,3.0,1953.0,-3.0,-7.0,10.0,2021-03-19
Camp Hill,1967.0,7.0,1960.0,-7.0,-48.0,-110.0,2021-03-19
Cambridge Springs,883.0,15.0,868.0,-2.0,5.0,-6.0,2021-03-19
Chester,1018.0,1.0,1017.0,-3.0,0.0,26.0,2021-03-19
Coal Township,2097.0,4.0,2093.0,-4.0,9.0,5.0,2021-03-19
Dallas,1568.0,2.0,1566.0,0.0,-7.0,-34.0,2021-03-19
Frackville,1105.0,3.0,1102.0,-3.0,-1.0,-3.0,2021-03-19
Forest,2269.0,3.0,2266.0,0.0,14.0,31.0,2021-03-19
Fayette,1956.0,3.0,1953.0,-4.0,-3.0,-5.0,2021-03-19
Greene,1715.0,2.0,1713.0,-10.0,-26.0,-53.0,2021-03-19
Houtzdale,2371.0,2.0,2369.0,-3.0,-14.0,-7.0,2021-03-19
Huntingdon,1766.0,1.0,1765.0,-9.0,-10.0,-40.0,2021-03-19
Laurel Highlands,773.0,12.0,761.0,-2.0,-5.0,-17.0,2021-03-19
Mahanoy,2204.0,4.0,2200.0,10.0,0.0,19.0,2021-03-19
Mercer,1047.0,3.0,1044.0,-4.0,-15.0,-13.0,2021-03-19
Muncy,1067.0,8.0,1059.0,0.0,-10.0,1.0,2021-03-19
Phoenix,3053.0,8.0,3045.0,15.0,54.0,79.0,2021-03-19
Pine Grove,926.0,3.0,923.0,-5.0,-16.0,-10.0,2021-03-19
Quehanna,277.0,0.0,277.0,-4.0,5.0,7.0,2021-03-19
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-19
Rockview,1499.0,4.0,1495.0,-6.0,-9.0,-22.0,2021-03-19
Smithfield,1023.0,3.0,1020.0,8.0,-2.0,-9.0,2021-03-19
Somerset,2152.0,0.0,2152.0,-1.0,3.0,4.0,2021-03-19
Waymart,854.0,7.0,847.0,-1.0,-5.0,-18.0,2021-03-19
SCI TOTAL,37669.0,102.0,37567.0,-40.0,-95.0,-199.0,2021-03-19
CCC/F East,493.0,0.0,493.0,6.0,-5.0,-2.0,2021-03-19
CCC/F Central,630.0,0.0,630.0,9.0,-6.0,12.0,2021-03-19
CCC/F West,534.0,0.0,534.0,20.0,6.0,47.0,2021-03-19
CCC/F TOTAL,1657.0,0.0,1657.0,35.0,-5.0,57.0,2021-03-19
