SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2145.0,4.0,2141.0,-10.0,-13.0,-12.0,2021-03-04
Benner,1960.0,3.0,1957.0,1.0,20.0,14.0,2021-03-04
Camp Hill,2025.0,7.0,2018.0,4.0,-49.0,-52.0,2021-03-04
Cambridge Springs,888.0,15.0,873.0,-3.0,8.0,-1.0,2021-03-04
Chester,1006.0,1.0,1005.0,13.0,24.0,14.0,2021-03-04
Coal Township,2060.0,4.0,2056.0,-13.0,-41.0,-32.0,2021-03-04
Dallas,1591.0,2.0,1589.0,-6.0,-11.0,-11.0,2021-03-04
Frackville,1106.0,3.0,1103.0,-3.0,-5.0,-2.0,2021-03-04
Forest,2249.0,3.0,2246.0,-4.0,10.0,11.0,2021-03-04
Fayette,1970.0,3.0,1967.0,-3.0,8.0,9.0,2021-03-04
Greene,1755.0,2.0,1753.0,-3.0,-16.0,-13.0,2021-03-04
Houtzdale,2377.0,2.0,2375.0,-1.0,1.0,-1.0,2021-03-04
Huntingdon,1791.0,1.0,1790.0,-4.0,-18.0,-15.0,2021-03-04
Laurel Highlands,791.0,13.0,778.0,-4.0,-1.0,0.0,2021-03-04
Mahanoy,2199.0,4.0,2195.0,0.0,13.0,14.0,2021-03-04
Mercer,1059.0,3.0,1056.0,0.0,-4.0,-1.0,2021-03-04
Muncy,1065.0,8.0,1057.0,0.0,-12.0,-1.0,2021-03-04
Phoenix,3010.0,8.0,3002.0,-2.0,29.0,36.0,2021-03-04
Pine Grove,938.0,3.0,935.0,-2.0,3.0,2.0,2021-03-04
Quehanna,274.0,0.0,274.0,-5.0,4.0,4.0,2021-03-04
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-04
Rockview,1514.0,4.0,1510.0,-2.0,-8.0,-7.0,2021-03-04
Smithfield,1052.0,3.0,1049.0,4.0,-22.0,20.0,2021-03-04
Somerset,2156.0,0.0,2156.0,-1.0,11.0,8.0,2021-03-04
Waymart,868.0,7.0,861.0,-3.0,-6.0,-4.0,2021-03-04
SCI TOTAL,37849.0,103.0,37746.0,-47.0,-75.0,-20.0,2021-03-04
CCC/F East,488.0,0.0,488.0,0.0,-7.0,-7.0,2021-03-04
CCC/F Central,631.0,0.0,631.0,13.0,13.0,13.0,2021-03-04
CCC/F West,503.0,0.0,503.0,12.0,16.0,16.0,2021-03-04
CCC/F TOTAL,1622.0,0.0,1622.0,25.0,22.0,22.0,2021-03-04
