SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2208.0,4.0,2204.0,14.0,14.0,37.0,2020-11-30
Benner,1959.0,3.0,1956.0,-6.0,-6.0,5.0,2020-11-30
Camp Hill,2083.0,7.0,2076.0,-7.0,-7.0,28.0,2020-11-30
Cambridge Springs,944.0,18.0,926.0,0.0,0.0,-26.0,2020-11-30
Chester,989.0,2.0,987.0,-8.0,-8.0,-40.0,2020-11-30
Coal Township,2266.0,4.0,2262.0,-5.0,-5.0,-22.0,2020-11-30
Dallas,1936.0,2.0,1934.0,-3.0,-3.0,-61.0,2020-11-30
Frackville,1145.0,3.0,1142.0,-1.0,-1.0,99.0,2020-11-30
Forest,2309.0,3.0,2306.0,-1.0,-1.0,-5.0,2020-11-30
Fayette,1969.0,3.0,1966.0,-2.0,-2.0,23.0,2020-11-30
Greene,1747.0,2.0,1745.0,-1.0,-1.0,30.0,2020-11-30
Houtzdale,2428.0,2.0,2426.0,-7.0,-7.0,11.0,2020-11-30
Huntingdon,1682.0,1.0,1681.0,-3.0,-3.0,-24.0,2020-11-30
Laurel Highlands,805.0,13.0,792.0,-12.0,-12.0,-54.0,2020-11-30
Mahanoy,2248.0,5.0,2243.0,-5.0,-5.0,-22.0,2020-11-30
Mercer,1155.0,3.0,1152.0,-12.0,-12.0,-56.0,2020-11-30
Muncy,1066.0,10.0,1056.0,-4.0,-4.0,-1.0,2020-11-30
Phoenix,2995.0,8.0,2987.0,-10.0,-10.0,25.0,2020-11-30
Pine Grove,931.0,3.0,928.0,-3.0,-3.0,-59.0,2020-11-30
Quehanna,340.0,0.0,340.0,0.0,0.0,23.0,2020-11-30
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-30
Rockview,1534.0,4.0,1530.0,0.0,0.0,-47.0,2020-11-30
Smithfield,1305.0,4.0,1301.0,-2.0,-2.0,-30.0,2020-11-30
Somerset,2175.0,0.0,2175.0,-3.0,-3.0,-47.0,2020-11-30
Waymart,974.0,7.0,967.0,-2.0,-2.0,-31.0,2020-11-30
SCI TOTAL,39193.0,111.0,39082.0,-83.0,-83.0,-244.0,2020-11-30
CCC/F East,568.0,0.0,568.0,0.0,0.0,-69.0,2020-11-30
CCC/F Central,752.0,0.0,752.0,0.0,0.0,-76.0,2020-11-30
CCC/F West,728.0,0.0,728.0,0.0,0.0,-95.0,2020-11-30
CCC/F TOTAL,2048.0,0.0,2048.0,0.0,0.0,-240.0,2020-11-30
