INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2190.0,4.0,2186.0,-3.0,-6.0,-51.0,2020-05-20
Benner,2023.0,4.0,2019.0,-2.0,-1.0,-21.0,2020-05-20
Camp Hill,2888.0,10.0,2878.0,-3.0,24.0,-107.0,2020-05-20
Cambridge Springs,1077.0,18.0,1059.0,2.0,-3.0,-55.0,2020-05-20
Chester,966.0,3.0,963.0,-2.0,-13.0,-43.0,2020-05-20
Coal Township,2048.0,4.0,2044.0,-4.0,-10.0,-37.0,2020-05-20
Dallas,2115.0,3.0,2112.0,-1.0,-2.0,-38.0,2020-05-20
Frackville,1169.0,4.0,1165.0,-1.0,-3.0,-2.0,2020-05-20
Forest,2313.0,7.0,2306.0,-3.0,-4.0,-17.0,2020-05-20
Fayette,1894.0,4.0,1890.0,-2.0,-6.0,-48.0,2020-05-20
Greene,1738.0,4.0,1734.0,-2.0,-4.0,-23.0,2020-05-20
Houtzdale,2418.0,4.0,2414.0,-2.0,-2.0,-40.0,2020-05-20
Huntingdon,1899.0,1.0,1898.0,-35.0,-39.0,-84.0,2020-05-20
Laurel Highlands,1318.0,15.0,1303.0,-1.0,-6.0,-50.0,2020-05-20
Mahanoy,2263.0,5.0,2258.0,0.0,-3.0,-36.0,2020-05-20
Mercer,1293.0,3.0,1290.0,-3.0,-9.0,-33.0,2020-05-20
Muncy,1263.0,11.0,1252.0,-12.0,-13.0,-44.0,2020-05-20
Phoenix,2980.0,9.0,2971.0,34.0,31.0,-52.0,2020-05-20
Pine Grove,1009.0,4.0,1005.0,0.0,-2.0,-19.0,2020-05-20
Quehanna,405.0,0.0,405.0,11.0,11.0,102.0,2020-05-20
Retreat,619.0,0.0,619.0,42.0,18.0,261.0,2020-05-20
Rockview,2041.0,4.0,2037.0,-1.0,-3.0,-99.0,2020-05-20
Smithfield,1252.0,4.0,1248.0,-1.0,-1.0,-17.0,2020-05-20
Somerset,2273.0,0.0,2273.0,-5.0,-9.0,-32.0,2020-05-20
Waymart,1252.0,11.0,1241.0,-5.0,-15.0,-65.0,2020-05-20
SCI TOTAL,42706.0,136.0,42570.0,1.0,-70.0,-650.0,2020-05-20
CCC/F East,1035.0,0.0,1035.0,-4.0,-1.0,10.0,2020-05-20
CCC/F Central,1147.0,0.0,1147.0,-12.0,-16.0,-46.0,2020-05-20
CCC/F West,732.0,0.0,732.0,-11.0,-11.0,-2.0,2020-05-20
CCC/F TOTAL,2914.0,0.0,2914.0,-27.0,-28.0,-38.0,2020-05-20
