SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2125.0,4.0,2121.0,0.0,4.0,-3.0,2021-04-05
Benner,1955.0,3.0,1952.0,-6.0,-7.0,-1.0,2021-04-05
Camp Hill,2035.0,7.0,2028.0,-3.0,-6.0,20.0,2021-04-05
Cambridge Springs,880.0,15.0,865.0,0.0,0.0,-5.0,2021-04-05
Chester,1012.0,1.0,1011.0,0.0,3.0,-3.0,2021-04-05
Coal Township,2049.0,4.0,2045.0,-9.0,-35.0,-2.0,2021-04-05
Dallas,1543.0,2.0,1541.0,-2.0,-14.0,-4.0,2021-04-05
Frackville,1097.0,3.0,1094.0,0.0,2.0,-1.0,2021-04-05
Forest,2256.0,3.0,2253.0,-4.0,-2.0,-6.0,2021-04-05
Fayette,1948.0,2.0,1946.0,0.0,10.0,4.0,2021-04-05
Greene,1681.0,2.0,1679.0,-3.0,-2.0,-6.0,2021-04-05
Houtzdale,2351.0,2.0,2349.0,-2.0,-10.0,-8.0,2021-04-05
Huntingdon,1745.0,1.0,1744.0,-2.0,-12.0,-6.0,2021-04-05
Laurel Highlands,765.0,12.0,753.0,1.0,-6.0,-2.0,2021-04-05
Mahanoy,2208.0,4.0,2204.0,6.0,-1.0,2.0,2021-04-05
Mercer,1046.0,3.0,1043.0,-1.0,2.0,-4.0,2021-04-05
Muncy,1063.0,8.0,1055.0,-2.0,-15.0,-2.0,2021-04-05
Phoenix,3013.0,8.0,3005.0,-2.0,-6.0,-6.0,2021-04-05
Pine Grove,930.0,3.0,927.0,-1.0,9.0,5.0,2021-04-05
Quehanna,260.0,0.0,260.0,0.0,-18.0,-18.0,2021-04-05
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-04-05
Rockview,1482.0,3.0,1479.0,-3.0,-7.0,-5.0,2021-04-05
Smithfield,1074.0,3.0,1071.0,46.0,0.0,22.0,2021-04-05
Somerset,2168.0,0.0,2168.0,1.0,10.0,-1.0,2021-04-05
Waymart,840.0,7.0,833.0,0.0,-3.0,-1.0,2021-04-05
SCI TOTAL,37526.0,100.0,37426.0,14.0,-104.0,-31.0,2021-04-05
CCC/F East,542.0,0.0,542.0,4.0,19.0,22.0,2021-04-05
CCC/F Central,642.0,0.0,642.0,-4.0,12.0,20.0,2021-04-05
CCC/F West,537.0,0.0,537.0,-4.0,3.0,10.0,2021-04-05
CCC/F TOTAL,1721.0,0.0,1721.0,-4.0,34.0,52.0,2021-04-05
