SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2197.0,4.0,2193.0,-1.0,-2.0,26.0,2020-11-24
Benner,1954.0,3.0,1951.0,-1.0,-2.0,0.0,2020-11-24
Camp Hill,2148.0,7.0,2141.0,-58.0,-24.0,93.0,2020-11-24
Cambridge Springs,945.0,18.0,927.0,0.0,4.0,-25.0,2020-11-24
Chester,997.0,2.0,995.0,-2.0,-3.0,-32.0,2020-11-24
Coal Township,2314.0,4.0,2310.0,15.0,23.0,26.0,2020-11-24
Dallas,1945.0,2.0,1943.0,-3.0,-2.0,-52.0,2020-11-24
Frackville,1126.0,3.0,1123.0,0.0,-4.0,80.0,2020-11-24
Forest,2326.0,3.0,2323.0,19.0,17.0,12.0,2020-11-24
Fayette,1970.0,3.0,1967.0,0.0,-4.0,24.0,2020-11-24
Greene,1741.0,2.0,1739.0,5.0,2.0,24.0,2020-11-24
Houtzdale,2411.0,2.0,2409.0,-1.0,-1.0,-6.0,2020-11-24
Huntingdon,1688.0,1.0,1687.0,0.0,0.0,-18.0,2020-11-24
Laurel Highlands,817.0,13.0,804.0,-2.0,-7.0,-42.0,2020-11-24
Mahanoy,2255.0,5.0,2250.0,-4.0,-5.0,-15.0,2020-11-24
Mercer,1169.0,3.0,1166.0,-3.0,-7.0,-42.0,2020-11-24
Muncy,1059.0,10.0,1049.0,-3.0,-9.0,-8.0,2020-11-24
Phoenix,2950.0,8.0,2942.0,-1.0,-7.0,-20.0,2020-11-24
Pine Grove,937.0,3.0,934.0,-5.0,-6.0,-53.0,2020-11-24
Quehanna,337.0,0.0,337.0,0.0,-2.0,20.0,2020-11-24
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-24
Rockview,1534.0,4.0,1530.0,-2.0,-6.0,-47.0,2020-11-24
Smithfield,1311.0,4.0,1307.0,0.0,-2.0,-24.0,2020-11-24
Somerset,2178.0,0.0,2178.0,-3.0,-6.0,-44.0,2020-11-24
Waymart,978.0,7.0,971.0,-5.0,-5.0,-27.0,2020-11-24
SCI TOTAL,39287.0,111.0,39176.0,-55.0,-58.0,-150.0,2020-11-24
CCC/F East,618.0,0.0,618.0,0.0,0.0,-19.0,2020-11-24
CCC/F Central,805.0,0.0,805.0,0.0,0.0,-23.0,2020-11-24
CCC/F West,776.0,0.0,776.0,0.0,0.0,-47.0,2020-11-24
CCC/F TOTAL,2199.0,0.0,2199.0,0.0,0.0,-89.0,2020-11-24
