date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-19,Albion,2193.0,4.0,2189.0,-2.0,-3.0,-48.0
2020-05-19,Benner,2025.0,4.0,2021.0,1.0,1.0,-19.0
2020-05-19,Camp Hill,2891.0,10.0,2881.0,29.0,27.0,-104.0
2020-05-19,Cambridge Springs,1075.0,18.0,1057.0,-4.0,-5.0,-57.0
2020-05-19,Chester,968.0,3.0,965.0,-11.0,-11.0,-41.0
2020-05-19,Coal Township,2052.0,4.0,2048.0,-5.0,-6.0,-33.0
2020-05-19,Dallas,2116.0,3.0,2113.0,-1.0,-1.0,-37.0
2020-05-19,Frackville,1170.0,4.0,1166.0,-2.0,-2.0,-1.0
2020-05-19,Forest,2316.0,7.0,2309.0,-1.0,-1.0,-14.0
2020-05-19,Fayette,1896.0,4.0,1892.0,-2.0,-4.0,-46.0
2020-05-19,Greene,1740.0,4.0,1736.0,-2.0,-2.0,-21.0
2020-05-19,Houtzdale,2420.0,4.0,2416.0,1.0,0.0,-38.0
2020-05-19,Huntingdon,1934.0,1.0,1933.0,-4.0,-4.0,-49.0
2020-05-19,Laurel Highlands,1319.0,15.0,1304.0,-2.0,-5.0,-49.0
2020-05-19,Mahanoy,2263.0,5.0,2258.0,-3.0,-3.0,-36.0
2020-05-19,Mercer,1296.0,3.0,1293.0,-2.0,-6.0,-30.0
2020-05-19,Muncy,1275.0,11.0,1264.0,-1.0,-1.0,-32.0
2020-05-19,Phoenix,2946.0,9.0,2937.0,-2.0,-3.0,-86.0
2020-05-19,Pine Grove,1009.0,4.0,1005.0,-1.0,-2.0,-19.0
2020-05-19,Quehanna,394.0,0.0,394.0,0.0,0.0,91.0
2020-05-19,Retreat,577.0,0.0,577.0,-24.0,-24.0,219.0
2020-05-19,Rockview,2042.0,4.0,2038.0,0.0,-2.0,-98.0
2020-05-19,Smithfield,1253.0,4.0,1249.0,0.0,0.0,-16.0
2020-05-19,Somerset,2278.0,0.0,2278.0,-2.0,-4.0,-27.0
2020-05-19,Waymart,1257.0,11.0,1246.0,-7.0,-10.0,-60.0
2020-05-19,SCI TOTAL,42705.0,136.0,42569.0,-47.0,-71.0,-651.0
2020-05-19,CCC/F East,1039.0,0.0,1039.0,3.0,3.0,14.0
2020-05-19,CCC/F Central,1159.0,0.0,1159.0,-4.0,-4.0,-34.0
2020-05-19,CCC/F West,743.0,0.0,743.0,0.0,0.0,9.0
2020-05-19,CCC/F TOTAL,2941.0,0.0,2941.0,-1.0,-1.0,-11.0
