INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2195.0,4.0,2191.0,0.0,-1.0,-46.0,2020-05-18
Benner,2024.0,4.0,2020.0,0.0,0.0,-20.0,2020-05-18
Camp Hill,2862.0,10.0,2852.0,0.0,-2.0,-133.0,2020-05-18
Cambridge Springs,1079.0,18.0,1061.0,0.0,-1.0,-53.0,2020-05-18
Chester,979.0,3.0,976.0,0.0,0.0,-30.0,2020-05-18
Coal Township,2057.0,4.0,2053.0,0.0,-1.0,-28.0,2020-05-18
Dallas,2117.0,3.0,2114.0,0.0,0.0,-36.0,2020-05-18
Frackville,1172.0,4.0,1168.0,0.0,0.0,1.0,2020-05-18
Forest,2317.0,7.0,2310.0,0.0,0.0,-13.0,2020-05-18
Fayette,1898.0,4.0,1894.0,-2.0,-2.0,-44.0,2020-05-18
Greene,1742.0,4.0,1738.0,0.0,0.0,-19.0,2020-05-18
Houtzdale,2419.0,4.0,2415.0,0.0,-1.0,-39.0,2020-05-18
Huntingdon,1938.0,1.0,1937.0,0.0,0.0,-45.0,2020-05-18
Laurel Highlands,1319.0,13.0,1306.0,-1.0,-3.0,-47.0,2020-05-18
Mahanoy,2266.0,5.0,2261.0,0.0,0.0,-33.0,2020-05-18
Mercer,1298.0,3.0,1295.0,-2.0,-4.0,-28.0,2020-05-18
Muncy,1276.0,11.0,1265.0,0.0,0.0,-31.0,2020-05-18
Phoenix,2948.0,9.0,2939.0,-1.0,-1.0,-84.0,2020-05-18
Pine Grove,1010.0,4.0,1006.0,0.0,-1.0,-18.0,2020-05-18
Quehanna,394.0,0.0,394.0,0.0,0.0,91.0,2020-05-18
Retreat,601.0,0.0,601.0,0.0,0.0,243.0,2020-05-18
Rockview,2042.0,4.0,2038.0,-1.0,-2.0,-98.0,2020-05-18
Smithfield,1253.0,4.0,1249.0,0.0,0.0,-16.0,2020-05-18
Somerset,2280.0,0.0,2280.0,-2.0,-2.0,-25.0,2020-05-18
Waymart,1264.0,11.0,1253.0,-3.0,-3.0,-53.0,2020-05-18
SCI TOTAL,42750.0,134.0,42616.0,-12.0,-24.0,-604.0,2020-05-18
CCC/F East,1036.0,0.0,1036.0,0.0,0.0,11.0,2020-05-18
CCC/F Central,1163.0,0.0,1163.0,0.0,0.0,-30.0,2020-05-18
CCC/F West,743.0,0.0,743.0,0.0,0.0,9.0,2020-05-18
CCC/F TOTAL,2942.0,0.0,2942.0,0.0,0.0,-10.0,2020-05-18
