date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-05-13,Albion,2204.0,4.0,2200.0,-6.0,-6.0,-37.0
2020-05-13,Benner,2028.0,4.0,2024.0,-3.0,-3.0,-16.0
2020-05-13,Camp Hill,2880.0,10.0,2870.0,-27.0,-71.0,-115.0
2020-05-13,Cambridge Springs,1095.0,18.0,1077.0,2.0,-4.0,-37.0
2020-05-13,Chester,982.0,3.0,979.0,-1.0,-6.0,-27.0
2020-05-13,Coal Township,2062.0,4.0,2058.0,0.0,-2.0,-23.0
2020-05-13,Dallas,2125.0,3.0,2122.0,0.0,-8.0,-28.0
2020-05-13,Frackville,1180.0,4.0,1176.0,-1.0,-4.0,9.0
2020-05-13,Forest,2321.0,7.0,2314.0,-1.0,-2.0,-9.0
2020-05-13,Fayette,1905.0,4.0,1901.0,-1.0,-10.0,-37.0
2020-05-13,Greene,1745.0,4.0,1741.0,0.0,-2.0,-16.0
2020-05-13,Houtzdale,2426.0,4.0,2422.0,-2.0,-5.0,-32.0
2020-05-13,Huntingdon,1942.0,1.0,1941.0,-1.0,-9.0,-41.0
2020-05-13,Laurel Highlands,1329.0,14.0,1315.0,-6.0,-17.0,-38.0
2020-05-13,Mahanoy,2269.0,5.0,2264.0,-1.0,-5.0,-30.0
2020-05-13,Mercer,1314.0,3.0,1311.0,-3.0,-4.0,-12.0
2020-05-13,Muncy,1277.0,10.0,1267.0,2.0,-2.0,-29.0
2020-05-13,Phoenix,2968.0,8.0,2960.0,-3.0,-9.0,-63.0
2020-05-13,Pine Grove,1020.0,2.0,1018.0,-1.0,-1.0,-6.0
2020-05-13,Quehanna,400.0,0.0,400.0,25.0,73.0,97.0
2020-05-13,Retreat,547.0,0.0,547.0,21.0,54.0,189.0
2020-05-13,Rockview,2049.0,4.0,2045.0,-1.0,-7.0,-91.0
2020-05-13,Smithfield,1258.0,4.0,1254.0,-1.0,-2.0,-11.0
2020-05-13,Somerset,2292.0,0.0,2292.0,-2.0,-3.0,-13.0
2020-05-13,Waymart,1275.0,10.0,1265.0,-1.0,-5.0,-41.0
2020-05-13,SCI TOTAL,42893.0,130.0,42763.0,-12.0,-60.0,-457.0
2020-05-13,CCC/F East,1038.0,0.0,1038.0,-10.0,-19.0,13.0
2020-05-13,CCC/F Central,1152.0,0.0,1152.0,-2.0,-15.0,-41.0
2020-05-13,CCC/F West,723.0,0.0,723.0,-16.0,-35.0,-11.0
2020-05-13,CCC/F TOTAL,2913.0,0.0,2913.0,-28.0,-69.0,-39.0
