INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2258.0,0.0,2258.0,-1.0,-2.0,-33.0,2020-04-20
Benner,2055.0,0.0,2055.0,0.0,0.0,-19.0,2020-04-20
Camp Hill,2845.0,0.0,2845.0,0.0,-2.0,-82.0,2020-04-20
Cambridge Springs,1150.0,0.0,1150.0,-2.0,-3.0,-8.0,2020-04-20
Chester,1048.0,0.0,1048.0,0.0,0.0,-73.0,2020-04-20
Coal Township,2113.0,2.0,2111.0,-1.0,-1.0,-34.0,2020-04-20
Dallas,2141.0,0.0,2141.0,0.0,0.0,-45.0,2020-04-20
Frackville,1179.0,0.0,1179.0,0.0,0.0,-24.0,2020-04-20
Forest,2290.0,0.0,2290.0,0.0,0.0,-9.0,2020-04-20
Fayette,1975.0,3.0,1972.0,-1.0,-2.0,-58.0,2020-04-20
Greene,1767.0,1.0,1766.0,0.0,-1.0,-25.0,2020-04-20
Houtzdale,2479.0,0.0,2479.0,0.0,-1.0,-41.0,2020-04-20
Huntingdon,1997.0,0.0,1997.0,0.0,-3.0,-37.0,2020-04-20
Laurel Highlands,1388.0,0.0,1388.0,-1.0,-6.0,-66.0,2020-04-20
Mahanoy,2322.0,0.0,2322.0,-1.0,-1.0,-46.0,2020-04-20
Mercer,1317.0,0.0,1317.0,0.0,-1.0,-44.0,2020-04-20
Muncy,1335.0,0.0,1335.0,0.0,0.0,-41.0,2020-04-20
Phoenix,3085.0,9.0,3076.0,0.0,-5.0,-122.0,2020-04-20
Pine Grove,1014.0,0.0,1014.0,0.0,0.0,-23.0,2020-04-20
Quehanna,375.0,0.0,375.0,0.0,0.0,-37.0,2020-04-20
Retreat,484.0,0.0,484.0,0.0,0.0,293.0,2020-04-20
Rockview,2315.0,0.0,2315.0,0.0,-1.0,-26.0,2020-04-20
Smithfield,1288.0,3.0,1285.0,0.0,0.0,-18.0,2020-04-20
Somerset,2319.0,0.0,2319.0,-2.0,-3.0,-47.0,2020-04-20
Waymart,1335.0,6.0,1329.0,-5.0,-5.0,-57.0,2020-04-20
SCI TOTAL,43874.0,24.0,43850.0,-14.0,-37.0,-722.0,2020-04-20
CCC/F East,1064.0,0.0,1064.0,0.0,0.0,89.0,2020-04-20
CCC/F Central,1209.0,0.0,1209.0,0.0,0.0,77.0,2020-04-20
CCC/F West,869.0,0.0,869.0,0.0,0.0,181.0,2020-04-20
CCC/F TOTAL,3142.0,0.0,3142.0,0.0,0.0,347.0,2020-04-20
