,content,sci,date
10,"['', '', '', '', '', '', '', '', 'NEGATIVE 444 (58.5%)NEGATIVE 444 (58.5%)POSITIVE 23 (3.03%)POSITIVE 23 (3.03%)PENDING 292 (38.47%)PENDING 292 (38.47%)', '', '', '', '', 'NEGATIVE 444 (58.5%)NEGATIVE 444 (58.5%)', 'NEGATIVE 444 (58.5%)', 'POSITIVE 23 (3.03%)POSITIVE 23 (3.03%)', 'POSITIVE 23 (3.03%)', 'PENDING 292 (38.47%)PENDING 292 (38.47%)', 'PENDING 292 (38.47%)']",FRACKVILLE,12/6/2020
11,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 887 (64.18%)NEGATIVE 887 (64.18%)48 (3.47%)POSITIVE 48 (3.47%)PENDING 439 (31.77%)PENDING 439 (31.77%)RECOVERED 7 (0.51%)RECOVERED 7 (0.51%)1 (0.07%)POSITIVEPOSITIVE 48 (3.47%)DEATH', '', '', '', '', '', '', 'NEGATIVE 887 (64.18%)NEGATIVE 887 (64.18%)', 'NEGATIVE 887 (64.18%)', '48 (3.47%)POSITIVE 48 (3.47%)', 'POSITIVE 48 (3.47%)', 'PENDING 439 (31.77%)PENDING 439 (31.77%)', 'PENDING 439 (31.77%)', 'RECOVERED 7 (0.51%)RECOVERED 7 (0.51%)', 'RECOVERED 7 (0.51%)', '1 (0.07%)', '', 'POSITIVEPOSITIVE 48 (3.47%)', 'POSITIVE 48 (3.47%)', 'DEATH', '']",GREENE,12/6/2020
12,"['', '', '', '', '', '', '', '', 'NEGATIVE 394 (69.24%)NEGATIVE 394 (69.24%)6 (1.05%)POSITIVE 6 (1.05%)PENDING 169 (29.7%)PENDING 169 (29.7%)POSITIVEPOSITIVE 6 (1.05%)', '', '', '', '', 'NEGATIVE 394 (69.24%)NEGATIVE 394 (69.24%)', 'NEGATIVE 394 (69.24%)', '6 (1.05%)POSITIVE 6 (1.05%)', 'POSITIVE 6 (1.05%)', 'PENDING 169 (29.7%)PENDING 169 (29.7%)', 'PENDING 169 (29.7%)', 'POSITIVEPOSITIVE 6 (1.05%)', 'POSITIVE 6 (1.05%)']",HOUTZDALE,12/6/2020
13,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 555 (53.57%)NEGATIVE 555 (53.57%)POSITIVE 201 (19.4%)POSITIVE 201 (19.4%)83 (8.01…)PENDING 83 (8.01%)RECOVERED 192 (18.53%)RECOVERED 192 (18.53%)5 (0.48%)DEATH 5 (0.48%)PENDINGPENDING 83 (8.01%)DEATHDEATH 5 (0.48%)', '', '', '', '', '', '', 'NEGATIVE 555 (53.57%)NEGATIVE 555 (53.57%)', 'NEGATIVE 555 (53.57%)', 'POSITIVE 201 (19.4%)POSITIVE 201 (19.4%)', 'POSITIVE 201 (19.4%)', '83 (8.01…)PENDING 83 (8.01%)', 'PENDING 83 (8.01%)', 'RECOVERED 192 (18.53%)RECOVERED 192 (18.53%)', 'RECOVERED 192 (18.53%)', '5 (0.48%)DEATH 5 (0.48%)', 'DEATH 5 (0.48%)', 'PENDINGPENDING 83 (8.01%)', 'PENDING 83 (8.01%)', 'DEATHDEATH 5 (0.48%)', 'DEATH 5 (0.48%)']",HUNTINGDON,12/6/2020
14,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 3,247 (73.93%)NEGATIVE 3,247 (73.93%)449 (10.2…)POSITIVE 449 (10.22%)PENDING 661 (15.05%)PENDING 661 (15.05%)RECOVERED 27 (0.61%)RECOVERED 27 (0.61%)8 (0.18%)POSITIVEPOSITIVE 449 (10.22%)DEATH', '', '', '', '', '', '', 'NEGATIVE 3,247 (73.93%)NEGATIVE 3,247 (73.93%)', 'NEGATIVE 3,247 (73.93%)', '449 (10.2…)POSITIVE 449 (10.22%)', 'POSITIVE 449 (10.22%)', 'PENDING 661 (15.05%)PENDING 661 (15.05%)', 'PENDING 661 (15.05%)', 'RECOVERED 27 (0.61%)RECOVERED 27 (0.61%)', 'RECOVERED 27 (0.61%)', '8 (0.18%)', '', 'POSITIVEPOSITIVE 449 (10.22%)', 'POSITIVE 449 (10.22%)', 'DEATH', '']",LAUREL HIGHLANDS,12/6/2020
15,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 434 (59.53%)NEGATIVE 434 (59.53%)198 (27.16%)POSITIVE 198 (27.16%)PENDING 95 (13.03%)PENDING 95 (13.03%)RECOVERED 1 (0.14%)RECOVERED 1 (0.14%)1 (0.14%)POSITIVEPOSITIVE 198 (27.16%)DEATH', '', '', '', '', '', '', 'NEGATIVE 434 (59.53%)NEGATIVE 434 (59.53%)', 'NEGATIVE 434 (59.53%)', '198 (27.16%)POSITIVE 198 (27.16%)', 'POSITIVE 198 (27.16%)', 'PENDING 95 (13.03%)PENDING 95 (13.03%)', 'PENDING 95 (13.03%)', 'RECOVERED 1 (0.14%)RECOVERED 1 (0.14%)', 'RECOVERED 1 (0.14%)', '1 (0.14%)', '', 'POSITIVEPOSITIVE 198 (27.16%)', 'POSITIVE 198 (27.16%)', 'DEATH', '']",MAHANOY,12/6/2020
16,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 487 (65.02%)NEGATIVE 487 (65.02%)88 (11.75…)POSITIVE 88 (11.75%)122 (16.29%)PENDING 122 (16.29%)RECOVERED 52 (6.94%)RECOVERED 52 (6.94%)POSITIVEPOSITIVE 88 (11.75%)PENDINGPENDING 122 (16.29%)', '', '', '', '', '', 'NEGATIVE 487 (65.02%)NEGATIVE 487 (65.02%)', 'NEGATIVE 487 (65.02%)', '88 (11.75…)POSITIVE 88 (11.75%)', 'POSITIVE 88 (11.75%)', '122 (16.29%)PENDING 122 (16.29%)', 'PENDING 122 (16.29%)', 'RECOVERED 52 (6.94%)RECOVERED 52 (6.94%)', 'RECOVERED 52 (6.94%)', 'POSITIVEPOSITIVE 88 (11.75%)', 'POSITIVE 88 (11.75%)', 'PENDINGPENDING 122 (16.29%)', 'PENDING 122 (16.29%)']",MERCER,12/6/2020
17,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 899 (61.03%)NEGATIVE 899 (61.03%)31 (2.1%)POSITIVE 31 (2.1%)PENDING 540 (36.66%)PENDING 540 (36.66%)RECOVERED 3 (0.2%)RECOVERED 3 (0.2%)POSITIVEPOSITIVE 31 (2.1%)', '', '', '', '', '', 'NEGATIVE 899 (61.03%)NEGATIVE 899 (61.03%)', 'NEGATIVE 899 (61.03%)', '31 (2.1%)POSITIVE 31 (2.1%)', 'POSITIVE 31 (2.1%)', 'PENDING 540 (36.66%)PENDING 540 (36.66%)', 'PENDING 540 (36.66%)', 'RECOVERED 3 (0.2%)RECOVERED 3 (0.2%)', 'RECOVERED 3 (0.2%)', 'POSITIVEPOSITIVE 31 (2.1%)', 'POSITIVE 31 (2.1%)']",MUNCY,12/6/2020
18,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 1,288 (63.64%)NEGATIVE 1,288 (63.64%)114 (5.63%)POSITIVE 114 (5.63%)PENDING 557 (27.52%)PENDING 557 (27.52%)RECOVERED 58 (2.87%)RECOVERED 58 (2.87%)POSITIVEPOSITIVE 114 (5.63%)7 (0.35%)DEATH', '', '', '', '', '', '', 'NEGATIVE 1,288 (63.64%)NEGATIVE 1,288 (63.64%)', 'NEGATIVE 1,288 (63.64%)', '114 (5.63%)POSITIVE 114 (5.63%)', 'POSITIVE 114 (5.63%)', 'PENDING 557 (27.52%)PENDING 557 (27.52%)', 'PENDING 557 (27.52%)', 'RECOVERED 58 (2.87%)RECOVERED 58 (2.87%)', 'RECOVERED 58 (2.87%)', 'POSITIVEPOSITIVE 114 (5.63%)', 'POSITIVE 114 (5.63%)', '7 (0.35%)', '', 'DEATH', '']",PHOENIX,12/6/2020
19,"['', '', '', '', '', '', '', '', 'NEGATIVE 321 (55.34%)NEGATIVE 321 (55.34%)142 (24.48%)POSITIVE 142 (24.48%)PENDING 117 (20.17%)PENDING 117 (20.17%)POSITIVEPOSITIVE 142 (24.48%)', '', '', '', '', 'NEGATIVE 321 (55.34%)NEGATIVE 321 (55.34%)', 'NEGATIVE 321 (55.34%)', '142 (24.48%)POSITIVE 142 (24.48%)', 'POSITIVE 142 (24.48%)', 'PENDING 117 (20.17%)PENDING 117 (20.17%)', 'PENDING 117 (20.17%)', 'POSITIVEPOSITIVE 142 (24.48%)', 'POSITIVE 142 (24.48%)']",PINE GROVE,12/6/2020
