,content,sci,date
716,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 603 (90.54%)NEGATIVE 603 (90.54%)POSITIVE 46 (6.91%)POSITIVE 46 (6.91%)15 (2.25%)PENDING 15 (2.25%)1 (0.15%)PENDINGPENDING 15 (2.25%)RECOVERED', '', '', '', '', '', 'NEGATIVE 603 (90.54%)NEGATIVE 603 (90.54%)', 'NEGATIVE 603 (90.54%)', 'POSITIVE 46 (6.91%)POSITIVE 46 (6.91%)', 'POSITIVE 46 (6.91%)', '15 (2.25%)PENDING 15 (2.25%)', 'PENDING 15 (2.25%)', '1 (0.15%)', '', 'PENDINGPENDING 15 (2.25%)', 'PENDING 15 (2.25%)', 'RECOVERED', '']",LAUREL HIGHLANDS,11/9/2020
717,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 388 (91.51%)NEGATIVE 388 (91.51%)POSITIVE 2 (0.47%)POSITIVE 2 (0.47%)PENDING 33 (7.78%)PENDING 33 (7.78%)1 (0.24%)RECOVERED', '', '', '', '', '', 'NEGATIVE 388 (91.51%)NEGATIVE 388 (91.51%)', 'NEGATIVE 388 (91.51%)', 'POSITIVE 2 (0.47%)POSITIVE 2 (0.47%)', 'POSITIVE 2 (0.47%)', 'PENDING 33 (7.78%)PENDING 33 (7.78%)', 'PENDING 33 (7.78%)', '1 (0.24%)', '', 'RECOVERED', '']",MAHANOY,11/9/2020
718,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 453 (76.01%)NEGATIVE 453 (76.01%)56 (9.4%)POSITIVE 56 (9.4%)PENDING 35 (5.87%)PENDING 35 (5.87%)RECOVERED 52 (8.72%)RECOVERED 52 (8.72%)POSITIVEPOSITIVE 56 (9.4%)', '', '', '', '', '', 'NEGATIVE 453 (76.01%)NEGATIVE 453 (76.01%)', 'NEGATIVE 453 (76.01%)', '56 (9.4%)POSITIVE 56 (9.4%)', 'POSITIVE 56 (9.4%)', 'PENDING 35 (5.87%)PENDING 35 (5.87%)', 'PENDING 35 (5.87%)', 'RECOVERED 52 (8.72%)RECOVERED 52 (8.72%)', 'RECOVERED 52 (8.72%)', 'POSITIVEPOSITIVE 56 (9.4%)', 'POSITIVE 56 (9.4%)']",MERCER,11/9/2020
719,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 770 (84.15%)NEGATIVE 770 (84.15%)4 (0.44%)POSITIVE 4 (0.44%)PENDING 138 (15.08%)PENDING 138 (15.08%)RECOVERED 3 (0.33%)RECOVERED 3 (0.33%)POSITIVEPOSITIVE 4 (0.44%)', '', '', '', '', '', 'NEGATIVE 770 (84.15%)NEGATIVE 770 (84.15%)', 'NEGATIVE 770 (84.15%)', '4 (0.44%)POSITIVE 4 (0.44%)', 'POSITIVE 4 (0.44%)', 'PENDING 138 (15.08%)PENDING 138 (15.08%)', 'PENDING 138 (15.08%)', 'RECOVERED 3 (0.33%)RECOVERED 3 (0.33%)', 'RECOVERED 3 (0.33%)', 'POSITIVEPOSITIVE 4 (0.44%)', 'POSITIVE 4 (0.44%)']",MUNCY,11/9/2020
720,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 990 (73.22%)NEGATIVE 990 (73.22%)57 (4.2…)POSITIVE 57 (4.22%)PENDING 248 (18.34%)PENDING 248 (18.34%)RECOVERED 52 (3.85%)RECOVERED 52 (3.85%)POSITIVEPOSITIVE 57 (4.22%)5 (0.37%)DEATH', '', '', '', '', '', '', 'NEGATIVE 990 (73.22%)NEGATIVE 990 (73.22%)', 'NEGATIVE 990 (73.22%)', '57 (4.2…)POSITIVE 57 (4.22%)', 'POSITIVE 57 (4.22%)', 'PENDING 248 (18.34%)PENDING 248 (18.34%)', 'PENDING 248 (18.34%)', 'RECOVERED 52 (3.85%)RECOVERED 52 (3.85%)', 'RECOVERED 52 (3.85%)', 'POSITIVEPOSITIVE 57 (4.22%)', 'POSITIVE 57 (4.22%)', '5 (0.37%)', '', 'DEATH', '']",PHOENIX,11/9/2020
721,"['', '', '', '', '', '', '', '', 'NEGATIVE 234 (72.45%)NEGATIVE 234 (72.45%)POSITIVE 71 (21.98%)POSITIVE 71 (21.98%)PENDING 18 (5.57%)PENDING 18 (5.57%)', '', '', '', '', 'NEGATIVE 234 (72.45%)NEGATIVE 234 (72.45%)', 'NEGATIVE 234 (72.45%)', 'POSITIVE 71 (21.98%)POSITIVE 71 (21.98%)', 'POSITIVE 71 (21.98%)', 'PENDING 18 (5.57%)PENDING 18 (5.57%)', 'PENDING 18 (5.57%)']",PINE GROVE,11/9/2020
722,"['', '', '', '', '', '', '', '', 'NEGATIVE 387 (76.63%)NEGATIVE 387 (76.63%)4 (0.7…)POSITIVE 4 (0.79%)PENDING 114 (22.57%)PENDING 114 (22.57%)POSITIVEPOSITIVE 4 (0.79%)', '', '', '', '', 'NEGATIVE 387 (76.63%)NEGATIVE 387 (76.63%)', 'NEGATIVE 387 (76.63%)', '4 (0.7…)POSITIVE 4 (0.79%)', 'POSITIVE 4 (0.79%)', 'PENDING 114 (22.57%)PENDING 114 (22.57%)', 'PENDING 114 (22.57%)', 'POSITIVEPOSITIVE 4 (0.79%)', 'POSITIVE 4 (0.79%)']",QUEHANNA BOOTCAMP,11/9/2020
723,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 1,048 (97.49%)NEGATIVE 1,048 (97.49%)POSITIVE 14 (1.3%)POSITIVE 14 (1.3%)13 (1.21%)RECOVERED', '', '', '', '', 'NEGATIVE 1,048 (97.49%)NEGATIVE 1,048 (97.49%)', 'NEGATIVE 1,048 (97.49%)', 'POSITIVE 14 (1.3%)POSITIVE 14 (1.3%)', 'POSITIVE 14 (1.3%)', '13 (1.21%)', '', 'RECOVERED', '']",RETREAT,11/9/2020
724,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 495 (94.65%)NEGATIVE 495 (94.65%)POSITIVE 11 (2.1%)POSITIVE 11 (2.1%)1 (0.19%)DEATH 1 (0.19%)16 (3.06%)DEATHDEATH 1 (0.19%)PENDING', '', '', '', '', '', 'NEGATIVE 495 (94.65%)NEGATIVE 495 (94.65%)', 'NEGATIVE 495 (94.65%)', 'POSITIVE 11 (2.1%)POSITIVE 11 (2.1%)', 'POSITIVE 11 (2.1%)', '1 (0.19%)DEATH 1 (0.19%)', 'DEATH 1 (0.19%)', '16 (3.06%)', '', 'DEATHDEATH 1 (0.19%)', 'DEATH 1 (0.19%)', 'PENDING', '']",ROCKVIEW,11/9/2020
725,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 482 (78.76%)NEGATIVE 482 (78.76%)36 (5.88%)POSITIVE 36 (5.88%)PENDING 73 (11.93%)PENDING 73 (11.93%)RECOVERED 21 (3.43%)RECOVERED 21 (3.43%)POSITIVEPOSITIVE 36 (5.88%)', '', '', '', '', '', 'NEGATIVE 482 (78.76%)NEGATIVE 482 (78.76%)', 'NEGATIVE 482 (78.76%)', '36 (5.88%)POSITIVE 36 (5.88%)', 'POSITIVE 36 (5.88%)', 'PENDING 73 (11.93%)PENDING 73 (11.93%)', 'PENDING 73 (11.93%)', 'RECOVERED 21 (3.43%)RECOVERED 21 (3.43%)', 'RECOVERED 21 (3.43%)', 'POSITIVEPOSITIVE 36 (5.88%)', 'POSITIVE 36 (5.88%)']",SMITHFIELD,11/9/2020
726,"['', '', '', '', '', '', '', '', 'NEGATIVE 559 (59.59%)NEGATIVE 559 (59.59%)POSITIVE 57 (6.08%)POSITIVE 57 (6.08%)PENDING 322 (34.33%)PENDING 322 (34.33%)', '', '', '', '', 'NEGATIVE 559 (59.59%)NEGATIVE 559 (59.59%)', 'NEGATIVE 559 (59.59%)', 'POSITIVE 57 (6.08%)POSITIVE 57 (6.08%)', 'POSITIVE 57 (6.08%)', 'PENDING 322 (34.33%)PENDING 322 (34.33%)', 'PENDING 322 (34.33%)']",SOMERSET,11/9/2020
727,"['', '', '', '', '', '', '', 'NEGATIVE 437 (95.62%)NEGATIVE 437 (95.62%)PENDING 20 (4.38%)PENDING 20 (4.38%)', '', '', '', 'NEGATIVE 437 (95.62%)NEGATIVE 437 (95.62%)', 'NEGATIVE 437 (95.62%)', 'PENDING 20 (4.38%)PENDING 20 (4.38%)', 'PENDING 20 (4.38%)']",WAYMART,11/9/2020
728,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 410 (92.13%)NEGATIVE 410 (92.13%)POSITIVE 7 (1.57%)POSITIVE 7 (1.57%)PENDING 22 (4.94%)PENDING 22 (4.94%)6 (1.35%)RECOVERED', '', '', '', '', '', 'NEGATIVE 410 (92.13%)NEGATIVE 410 (92.13%)', 'NEGATIVE 410 (92.13%)', 'POSITIVE 7 (1.57%)POSITIVE 7 (1.57%)', 'POSITIVE 7 (1.57%)', 'PENDING 22 (4.94%)PENDING 22 (4.94%)', 'PENDING 22 (4.94%)', '6 (1.35%)', '', 'RECOVERED', '']",ALBION,11/8/2020
729,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 350 (90.44%)NEGATIVE 350 (90.44%)POSITIVE 2 (0.52%)POSITIVE 2 (0.52%)PENDING 33 (8.53%)PENDING 33 (8.53%)1 (0.26%)DEATH 1 (0.26%)1 (0.26%)DEATHDEATH 1 (0.26%)RECOVERED', '', '', '', '', '', '', 'NEGATIVE 350 (90.44%)NEGATIVE 350 (90.44%)', 'NEGATIVE 350 (90.44%)', 'POSITIVE 2 (0.52%)POSITIVE 2 (0.52%)', 'POSITIVE 2 (0.52%)', 'PENDING 33 (8.53%)PENDING 33 (8.53%)', 'PENDING 33 (8.53%)', '1 (0.26%)DEATH 1 (0.26%)', 'DEATH 1 (0.26%)', '1 (0.26%)', '', 'DEATHDEATH 1 (0.26%)', 'DEATH 1 (0.26%)', 'RECOVERED', '']",BENNER TOWNSHIP,11/8/2020
730,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 469 (95.91%)NEGATIVE 469 (95.91%)POSITIVE 4 (0.82%)POSITIVE 4 (0.82%)12 (2.45%)PENDING', '', '', '', '', 'NEGATIVE 469 (95.91%)NEGATIVE 469 (95.91%)', 'NEGATIVE 469 (95.91%)', 'POSITIVE 4 (0.82%)POSITIVE 4 (0.82%)', 'POSITIVE 4 (0.82%)', '12 (2.45%)', '', 'PENDING', '']",CAMBRIDGE SPRINGS,11/8/2020
731,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 3,651 (87.2%)NEGATIVE 3,651 (87.2%)POSITIVE 79 (1.89%)POSITIVE 79 (1.89%)PENDING 393 (9.39%)PENDING 393 (9.39%)63 (1.5%)RECOVERED 63 (1.5%)1 (0.02%)RECOVEREDRECOVERED 63 (1.5%)DEATH', '', '', '', '', '', '', 'NEGATIVE 3,651 (87.2%)NEGATIVE 3,651 (87.2%)', 'NEGATIVE 3,651 (87.2%)', 'POSITIVE 79 (1.89%)POSITIVE 79 (1.89%)', 'POSITIVE 79 (1.89%)', 'PENDING 393 (9.39%)PENDING 393 (9.39%)', 'PENDING 393 (9.39%)', '63 (1.5%)RECOVERED 63 (1.5%)', 'RECOVERED 63 (1.5%)', '1 (0.02%)', '', 'RECOVEREDRECOVERED 63 (1.5%)', 'RECOVERED 63 (1.5%)', 'DEATH', '']",CAMP HILL,11/8/2020
732,"['', '', '', '', '', '', '']",CENTRAL OFFICE,11/8/2020
733,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 534 (68.46%)NEGATIVE 534 (68.46%)121 (15.5…)POSITIVE 121 (15.51%)PENDING 101 (12.95%)PENDING 101 (12.95%)RECOVERED 24 (3.08%)RECOVERED 24 (3.08%)POSITIVEPOSITIVE 121 (15.51%)', '', '', '', '', '', 'NEGATIVE 534 (68.46%)NEGATIVE 534 (68.46%)', 'NEGATIVE 534 (68.46%)', '121 (15.5…)POSITIVE 121 (15.51%)', 'POSITIVE 121 (15.51%)', 'PENDING 101 (12.95%)PENDING 101 (12.95%)', 'PENDING 101 (12.95%)', 'RECOVERED 24 (3.08%)RECOVERED 24 (3.08%)', 'RECOVERED 24 (3.08%)', 'POSITIVEPOSITIVE 121 (15.51%)', 'POSITIVE 121 (15.51%)']",CHESTER,11/8/2020
734,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 2,052 (76.85%)NEGATIVE 2,052 (76.85%)146 (5.47%)POSITIVE 146 (5.47%)PENDING 344 (12.88%)PENDING 344 (12.88%)RECOVERED 128 (4.79%)RECOVERED 128 (4.79%)POSITIVEPOSITIVE 146 (5.47%)', '', '', '', '', '', 'NEGATIVE 2,052 (76.85%)NEGATIVE 2,052 (76.85%)', 'NEGATIVE 2,052 (76.85%)', '146 (5.47%)POSITIVE 146 (5.47%)', 'POSITIVE 146 (5.47%)', 'PENDING 344 (12.88%)PENDING 344 (12.88%)', 'PENDING 344 (12.88%)', 'RECOVERED 128 (4.79%)RECOVERED 128 (4.79%)', 'RECOVERED 128 (4.79%)', 'POSITIVEPOSITIVE 146 (5.47%)', 'POSITIVE 146 (5.47%)']",COAL TOWNSHIP,11/8/2020
735,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 437 (80.78%)NEGATIVE 437 (80.78%)40 (7.39%)POSITIVE 40 (7.39%)PENDING 43 (7.95%)PENDING 43 (7.95%)RECOVERED 19 (3.51%)RECOVERED 19 (3.51%)POSITIVEPOSITIVE 40 (7.39%)2 (0.37%)DEATH', '', '', '', '', '', '', 'NEGATIVE 437 (80.78%)NEGATIVE 437 (80.78%)', 'NEGATIVE 437 (80.78%)', '40 (7.39%)POSITIVE 40 (7.39%)', 'POSITIVE 40 (7.39%)', 'PENDING 43 (7.95%)PENDING 43 (7.95%)', 'PENDING 43 (7.95%)', 'RECOVERED 19 (3.51%)RECOVERED 19 (3.51%)', 'RECOVERED 19 (3.51%)', 'POSITIVEPOSITIVE 40 (7.39%)', 'POSITIVE 40 (7.39%)', '2 (0.37%)', '', 'DEATH', '']",DALLAS,11/8/2020
736,"['', '', '', '', '', '', '', '', 'NEGATIVE 416 (89.66%)NEGATIVE 416 (89.66%)POSITIVE 1 (0.22%)POSITIVE 1 (0.22%)PENDING 47 (10.13%)PENDING 47 (10.13%)', '', '', '', '', 'NEGATIVE 416 (89.66%)NEGATIVE 416 (89.66%)', 'NEGATIVE 416 (89.66%)', 'POSITIVE 1 (0.22%)POSITIVE 1 (0.22%)', 'POSITIVE 1 (0.22%)', 'PENDING 47 (10.13%)PENDING 47 (10.13%)', 'PENDING 47 (10.13%)']",FAYETTE,11/8/2020
737,"['', '', '', '', '', '', '', 'NEGATIVE 341 (88.8%)NEGATIVE 341 (88.8%)PENDING 43 (11.2%)PENDING 43 (11.2%)', '', '', '', 'NEGATIVE 341 (88.8%)NEGATIVE 341 (88.8%)', 'NEGATIVE 341 (88.8%)', 'PENDING 43 (11.2%)PENDING 43 (11.2%)', 'PENDING 43 (11.2%)']",FOREST,11/8/2020
738,"['', '', '', '', '', '', '', 'NEGATIVE 418 (89.32%)NEGATIVE 418 (89.32%)PENDING 50 (10.68%)PENDING 50 (10.68%)', '', '', '', 'NEGATIVE 418 (89.32%)NEGATIVE 418 (89.32%)', 'NEGATIVE 418 (89.32%)', 'PENDING 50 (10.68%)PENDING 50 (10.68%)', 'PENDING 50 (10.68%)']",FRACKVILLE,11/8/2020
739,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 716 (84.73%)NEGATIVE 716 (84.73%)16 (1.89%)POSITIVE 16 (1.89%)PENDING 105 (12.43%)PENDING 105 (12.43%)RECOVERED 7 (0.83%)RECOVERED 7 (0.83%)1 (0.12%)POSITIVEPOSITIVE 16 (1.89%)DEATH', '', '', '', '', '', '', 'NEGATIVE 716 (84.73%)NEGATIVE 716 (84.73%)', 'NEGATIVE 716 (84.73%)', '16 (1.89%)POSITIVE 16 (1.89%)', 'POSITIVE 16 (1.89%)', 'PENDING 105 (12.43%)PENDING 105 (12.43%)', 'PENDING 105 (12.43%)', 'RECOVERED 7 (0.83%)RECOVERED 7 (0.83%)', 'RECOVERED 7 (0.83%)', '1 (0.12%)', '', 'POSITIVEPOSITIVE 16 (1.89%)', 'POSITIVE 16 (1.89%)', 'DEATH', '']",GREENE,11/8/2020
740,"['', '', '', '', '', '', '', '', 'NEGATIVE 342 (86.58%)NEGATIVE 342 (86.58%)1 (0.25%)POSITIVE 1 (0.25%)PENDING 52 (13.16%)PENDING 52 (13.16%)POSITIVEPOSITIVE 1 (0.25%)', '', '', '', '', 'NEGATIVE 342 (86.58%)NEGATIVE 342 (86.58%)', 'NEGATIVE 342 (86.58%)', '1 (0.25%)POSITIVE 1 (0.25%)', 'POSITIVE 1 (0.25%)', 'PENDING 52 (13.16%)PENDING 52 (13.16%)', 'PENDING 52 (13.16%)', 'POSITIVEPOSITIVE 1 (0.25%)', 'POSITIVE 1 (0.25%)']",HOUTZDALE,11/8/2020
741,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 526 (55.49%)NEGATIVE 526 (55.49%)POSITIVE 201 (21.2%)POSITIVE 201 (21.2%)24 (2.53…)PENDING 24 (2.53%)RECOVERED 192 (20.25%)RECOVERED 192 (20.25%)5 (0.53%)DEATH 5 (0.53%)PENDINGPENDING 24 (2.53%)DEATHDEATH 5 (0.53%)', '', '', '', '', '', '', 'NEGATIVE 526 (55.49%)NEGATIVE 526 (55.49%)', 'NEGATIVE 526 (55.49%)', 'POSITIVE 201 (21.2%)POSITIVE 201 (21.2%)', 'POSITIVE 201 (21.2%)', '24 (2.53…)PENDING 24 (2.53%)', 'PENDING 24 (2.53%)', 'RECOVERED 192 (20.25%)RECOVERED 192 (20.25%)', 'RECOVERED 192 (20.25%)', '5 (0.53%)DEATH 5 (0.53%)', 'DEATH 5 (0.53%)', 'PENDINGPENDING 24 (2.53%)', 'PENDING 24 (2.53%)', 'DEATHDEATH 5 (0.53%)', 'DEATH 5 (0.53%)']",HUNTINGDON,11/8/2020
742,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 603 (90.54%)NEGATIVE 603 (90.54%)POSITIVE 46 (6.91%)POSITIVE 46 (6.91%)15 (2.25%)PENDING 15 (2.25%)1 (0.15%)PENDINGPENDING 15 (2.25%)RECOVERED', '', '', '', '', '', 'NEGATIVE 603 (90.54%)NEGATIVE 603 (90.54%)', 'NEGATIVE 603 (90.54%)', 'POSITIVE 46 (6.91%)POSITIVE 46 (6.91%)', 'POSITIVE 46 (6.91%)', '15 (2.25%)PENDING 15 (2.25%)', 'PENDING 15 (2.25%)', '1 (0.15%)', '', 'PENDINGPENDING 15 (2.25%)', 'PENDING 15 (2.25%)', 'RECOVERED', '']",LAUREL HIGHLANDS,11/8/2020
743,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 388 (91.51%)NEGATIVE 388 (91.51%)POSITIVE 2 (0.47%)POSITIVE 2 (0.47%)PENDING 33 (7.78%)PENDING 33 (7.78%)1 (0.24%)RECOVERED', '', '', '', '', '', 'NEGATIVE 388 (91.51%)NEGATIVE 388 (91.51%)', 'NEGATIVE 388 (91.51%)', 'POSITIVE 2 (0.47%)POSITIVE 2 (0.47%)', 'POSITIVE 2 (0.47%)', 'PENDING 33 (7.78%)PENDING 33 (7.78%)', 'PENDING 33 (7.78%)', '1 (0.24%)', '', 'RECOVERED', '']",MAHANOY,11/8/2020
744,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 453 (76.01%)NEGATIVE 453 (76.01%)56 (9.4%)POSITIVE 56 (9.4%)PENDING 35 (5.87%)PENDING 35 (5.87%)RECOVERED 52 (8.72%)RECOVERED 52 (8.72%)POSITIVEPOSITIVE 56 (9.4%)', '', '', '', '', '', 'NEGATIVE 453 (76.01%)NEGATIVE 453 (76.01%)', 'NEGATIVE 453 (76.01%)', '56 (9.4%)POSITIVE 56 (9.4%)', 'POSITIVE 56 (9.4%)', 'PENDING 35 (5.87%)PENDING 35 (5.87%)', 'PENDING 35 (5.87%)', 'RECOVERED 52 (8.72%)RECOVERED 52 (8.72%)', 'RECOVERED 52 (8.72%)', 'POSITIVEPOSITIVE 56 (9.4%)', 'POSITIVE 56 (9.4%)']",MERCER,11/8/2020
745,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 770 (84.25%)NEGATIVE 770 (84.25%)3 (0.33%)POSITIVE 3 (0.33%)PENDING 138 (15.1%)PENDING 138 (15.1%)RECOVERED 3 (0.33%)RECOVERED 3 (0.33%)POSITIVEPOSITIVE 3 (0.33%)', '', '', '', '', '', 'NEGATIVE 770 (84.25%)NEGATIVE 770 (84.25%)', 'NEGATIVE 770 (84.25%)', '3 (0.33%)POSITIVE 3 (0.33%)', 'POSITIVE 3 (0.33%)', 'PENDING 138 (15.1%)PENDING 138 (15.1%)', 'PENDING 138 (15.1%)', 'RECOVERED 3 (0.33%)RECOVERED 3 (0.33%)', 'RECOVERED 3 (0.33%)', 'POSITIVEPOSITIVE 3 (0.33%)', 'POSITIVE 3 (0.33%)']",MUNCY,11/8/2020
746,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 990 (73.22%)NEGATIVE 990 (73.22%)57 (4.2…)POSITIVE 57 (4.22%)PENDING 248 (18.34%)PENDING 248 (18.34%)RECOVERED 52 (3.85%)RECOVERED 52 (3.85%)POSITIVEPOSITIVE 57 (4.22%)5 (0.37%)DEATH', '', '', '', '', '', '', 'NEGATIVE 990 (73.22%)NEGATIVE 990 (73.22%)', 'NEGATIVE 990 (73.22%)', '57 (4.2…)POSITIVE 57 (4.22%)', 'POSITIVE 57 (4.22%)', 'PENDING 248 (18.34%)PENDING 248 (18.34%)', 'PENDING 248 (18.34%)', 'RECOVERED 52 (3.85%)RECOVERED 52 (3.85%)', 'RECOVERED 52 (3.85%)', 'POSITIVEPOSITIVE 57 (4.22%)', 'POSITIVE 57 (4.22%)', '5 (0.37%)', '', 'DEATH', '']",PHOENIX,11/8/2020
747,"['', '', '', '', '', '', '', '', 'NEGATIVE 234 (72.9%)NEGATIVE 234 (72.9%)POSITIVE 69 (21.5%)POSITIVE 69 (21.5%)PENDING 18 (5.61%)PENDING 18 (5.61%)', '', '', '', '', 'NEGATIVE 234 (72.9%)NEGATIVE 234 (72.9%)', 'NEGATIVE 234 (72.9%)', 'POSITIVE 69 (21.5%)POSITIVE 69 (21.5%)', 'POSITIVE 69 (21.5%)', 'PENDING 18 (5.61%)PENDING 18 (5.61%)', 'PENDING 18 (5.61%)']",PINE GROVE,11/8/2020
748,"['', '', '', '', '', '', '', '', 'NEGATIVE 387 (76.63%)NEGATIVE 387 (76.63%)4 (0.7…)POSITIVE 4 (0.79%)PENDING 114 (22.57%)PENDING 114 (22.57%)POSITIVEPOSITIVE 4 (0.79%)', '', '', '', '', 'NEGATIVE 387 (76.63%)NEGATIVE 387 (76.63%)', 'NEGATIVE 387 (76.63%)', '4 (0.7…)POSITIVE 4 (0.79%)', 'POSITIVE 4 (0.79%)', 'PENDING 114 (22.57%)PENDING 114 (22.57%)', 'PENDING 114 (22.57%)', 'POSITIVEPOSITIVE 4 (0.79%)', 'POSITIVE 4 (0.79%)']",QUEHANNA BOOTCAMP,11/8/2020
749,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 1,048 (97.49%)NEGATIVE 1,048 (97.49%)POSITIVE 14 (1.3%)POSITIVE 14 (1.3%)13 (1.21%)RECOVERED', '', '', '', '', 'NEGATIVE 1,048 (97.49%)NEGATIVE 1,048 (97.49%)', 'NEGATIVE 1,048 (97.49%)', 'POSITIVE 14 (1.3%)POSITIVE 14 (1.3%)', 'POSITIVE 14 (1.3%)', '13 (1.21%)', '', 'RECOVERED', '']",RETREAT,11/8/2020
750,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 495 (94.83%)NEGATIVE 495 (94.83%)POSITIVE 10 (1.92%)POSITIVE 10 (1.92%)1 (0.19%)DEATH 1 (0.19%)16 (3.07%)DEATHDEATH 1 (0.19%)PENDING', '', '', '', '', '', 'NEGATIVE 495 (94.83%)NEGATIVE 495 (94.83%)', 'NEGATIVE 495 (94.83%)', 'POSITIVE 10 (1.92%)POSITIVE 10 (1.92%)', 'POSITIVE 10 (1.92%)', '1 (0.19%)DEATH 1 (0.19%)', 'DEATH 1 (0.19%)', '16 (3.07%)', '', 'DEATHDEATH 1 (0.19%)', 'DEATH 1 (0.19%)', 'PENDING', '']",ROCKVIEW,11/8/2020
751,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 482 (78.76%)NEGATIVE 482 (78.76%)36 (5.88%)POSITIVE 36 (5.88%)PENDING 73 (11.93%)PENDING 73 (11.93%)RECOVERED 21 (3.43%)RECOVERED 21 (3.43%)POSITIVEPOSITIVE 36 (5.88%)', '', '', '', '', '', 'NEGATIVE 482 (78.76%)NEGATIVE 482 (78.76%)', 'NEGATIVE 482 (78.76%)', '36 (5.88%)POSITIVE 36 (5.88%)', 'POSITIVE 36 (5.88%)', 'PENDING 73 (11.93%)PENDING 73 (11.93%)', 'PENDING 73 (11.93%)', 'RECOVERED 21 (3.43%)RECOVERED 21 (3.43%)', 'RECOVERED 21 (3.43%)', 'POSITIVEPOSITIVE 36 (5.88%)', 'POSITIVE 36 (5.88%)']",SMITHFIELD,11/8/2020
752,"['', '', '', '', '', '', '', '', 'NEGATIVE 559 (59.59%)NEGATIVE 559 (59.59%)POSITIVE 57 (6.08%)POSITIVE 57 (6.08%)PENDING 322 (34.33%)PENDING 322 (34.33%)', '', '', '', '', 'NEGATIVE 559 (59.59%)NEGATIVE 559 (59.59%)', 'NEGATIVE 559 (59.59%)', 'POSITIVE 57 (6.08%)POSITIVE 57 (6.08%)', 'POSITIVE 57 (6.08%)', 'PENDING 322 (34.33%)PENDING 322 (34.33%)', 'PENDING 322 (34.33%)']",SOMERSET,11/8/2020
753,"['', '', '', '', '', '', '', 'NEGATIVE 437 (95.62%)NEGATIVE 437 (95.62%)PENDING 20 (4.38%)PENDING 20 (4.38%)', '', '', '', 'NEGATIVE 437 (95.62%)NEGATIVE 437 (95.62%)', 'NEGATIVE 437 (95.62%)', 'PENDING 20 (4.38%)PENDING 20 (4.38%)', 'PENDING 20 (4.38%)']",WAYMART,11/8/2020
754,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 410 (92.13%)NEGATIVE 410 (92.13%)POSITIVE 7 (1.57%)POSITIVE 7 (1.57%)PENDING 22 (4.94%)PENDING 22 (4.94%)6 (1.35%)RECOVERED', '', '', '', '', '', 'NEGATIVE 410 (92.13%)NEGATIVE 410 (92.13%)', 'NEGATIVE 410 (92.13%)', 'POSITIVE 7 (1.57%)POSITIVE 7 (1.57%)', 'POSITIVE 7 (1.57%)', 'PENDING 22 (4.94%)PENDING 22 (4.94%)', 'PENDING 22 (4.94%)', '6 (1.35%)', '', 'RECOVERED', '']",ALBION,11/7/2020
755,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 350 (90.44%)NEGATIVE 350 (90.44%)POSITIVE 2 (0.52%)POSITIVE 2 (0.52%)PENDING 33 (8.53%)PENDING 33 (8.53%)1 (0.26%)DEATH 1 (0.26%)1 (0.26%)DEATHDEATH 1 (0.26%)RECOVERED', '', '', '', '', '', '', 'NEGATIVE 350 (90.44%)NEGATIVE 350 (90.44%)', 'NEGATIVE 350 (90.44%)', 'POSITIVE 2 (0.52%)POSITIVE 2 (0.52%)', 'POSITIVE 2 (0.52%)', 'PENDING 33 (8.53%)PENDING 33 (8.53%)', 'PENDING 33 (8.53%)', '1 (0.26%)DEATH 1 (0.26%)', 'DEATH 1 (0.26%)', '1 (0.26%)', '', 'DEATHDEATH 1 (0.26%)', 'DEATH 1 (0.26%)', 'RECOVERED', '']",BENNER TOWNSHIP,11/7/2020
