,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
21,Quehanna BC,1,0,0,1,0,2021-02-16
22,Rockview,1,0,1,2,0,2021-02-16
23,Smithfield,101,101,6,2,1,2021-02-16
24,Somerset,0,0,4,6,0,2021-02-16
25,Waymart,86,65,12,20,0,2021-02-16
2,Albion,153,82,2,31,0,2021-02-02
3,Benner Township,19,8,5,7,0,2021-02-02
4,Cambridge Springs,2,1,1,5,0,2021-02-02
5,Camp Hill,8,7,3,27,1,2021-02-02
6,Chester,3,2,10,8,0,2021-02-02
7,Coal Township,11,7,0,37,0,2021-02-02
8,Dallas,3,2,9,20,0,2021-02-02
9,Fayette,8,7,2,14,1,2021-02-02
10,Forest,28,16,4,11,0,2021-02-02
11,Frackville,3,2,0,5,0,2021-02-02
12,Greene,13,13,1,7,0,2021-02-02
13,Houtzdale,21,5,1,5,1,2021-02-02
14,Huntingdon,7,4,7,11,0,2021-02-02
15,Laurel Highlands,9,9,11,9,0,2021-02-02
16,Mahanoy,17,0,4,6,0,2021-02-02
17,Mercer,4,3,4,1,0,2021-02-02
18,Muncy,16,12,1,4,0,2021-02-02
19,Phoenix,21,12,12,35,0,2021-02-02
20,Pine Grove,0,0,1,5,0,2021-02-02
21,Quehanna BC,12,0,0,2,0,2021-02-02
22,Rockview,3,3,1,0,0,2021-02-02
23,Smithfield,86,84,6,6,1,2021-02-02
24,Somerset,0,0,4,7,0,2021-02-02
25,Waymart,176,153,7,21,0,2021-02-02
2,Albion,44,24,2,12,0,2021-02-17
3,Benner Township,8,6,6,5,0,2021-02-17
4,Cambridge Springs,0,0,1,2,0,2021-02-17
5,Camp Hill,18,12,3,28,1,2021-02-17
6,Chester,3,2,10,7,0,2021-02-17
7,Coal Township,163,156,0,24,0,2021-02-17
8,Dallas,0,0,9,9,0,2021-02-17
9,Fayette,16,14,2,12,1,2021-02-17
10,Forest,15,11,4,6,0,2021-02-17
11,Frackville,3,2,0,3,0,2021-02-17
12,Greene,1,1,1,2,0,2021-02-17
13,Houtzdale,4,3,2,6,1,2021-02-17
14,Huntingdon,3,2,7,4,0,2021-02-17
15,Laurel Highlands,0,0,11,3,0,2021-02-17
16,Mahanoy,10,2,4,7,0,2021-02-17
17,Mercer,1,1,4,2,0,2021-02-17
18,Muncy,9,7,1,3,0,2021-02-17
19,Phoenix,7,4,12,17,0,2021-02-17
20,Pine Grove,1,1,1,2,0,2021-02-17
21,Quehanna BC,0,0,0,1,0,2021-02-17
22,Rockview,2,1,1,3,0,2021-02-17
23,Smithfield,101,101,6,2,1,2021-02-17
24,Somerset,0,0,4,5,0,2021-02-17
25,Waymart,86,65,12,18,0,2021-02-17
2,Albion,41,21,2,12,0,2021-02-12
3,Benner Township,8,4,6,6,0,2021-02-12
4,Cambridge Springs,3,2,1,4,0,2021-02-12
5,Camp Hill,12,9,3,23,1,2021-02-12
6,Chester,2,1,10,8,0,2021-02-12
7,Coal Township,21,10,0,27,0,2021-02-12
8,Dallas,0,0,9,14,0,2021-02-12
9,Fayette,14,10,2,16,1,2021-02-12
10,Forest,21,11,4,7,0,2021-02-12
11,Frackville,6,5,0,4,0,2021-02-12
12,Greene,4,4,1,2,0,2021-02-12
13,Houtzdale,10,4,2,7,1,2021-02-12
14,Huntingdon,3,1,7,4,0,2021-02-12
15,Laurel Highlands,0,0,11,5,0,2021-02-12
16,Mahanoy,10,1,4,8,0,2021-02-12
17,Mercer,1,1,4,3,0,2021-02-12
18,Muncy,10,9,1,6,0,2021-02-12
19,Phoenix,10,7,12,20,0,2021-02-12
20,Pine Grove,2,2,1,3,0,2021-02-12
21,Quehanna BC,1,0,0,0,0,2021-02-12
22,Rockview,0,0,1,2,0,2021-02-12
23,Smithfield,98,96,6,3,1,2021-02-12
24,Somerset,0,0,4,6,0,2021-02-12
25,Waymart,87,69,11,22,0,2021-02-12
