,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
15,Laurel Highlands,0,0,11,9,0,2021-02-08
16,Mahanoy,17,1,4,8,0,2021-02-08
17,Mercer,3,2,4,3,0,2021-02-08
18,Muncy,11,10,1,4,0,2021-02-08
19,Phoenix,17,11,12,25,0,2021-02-08
20,Pine Grove,2,2,1,3,0,2021-02-08
21,Quehanna BC,3,0,0,0,0,2021-02-08
22,Rockview,1,1,1,1,0,2021-02-08
23,Smithfield,89,87,6,4,1,2021-02-08
24,Somerset,1,1,4,6,0,2021-02-08
25,Waymart,89,68,9,19,0,2021-02-08
2,Albion,84,37,2,12,0,2021-02-10
3,Benner Township,11,5,6,6,0,2021-02-10
4,Cambridge Springs,3,2,1,4,0,2021-02-10
5,Camp Hill,10,7,3,20,1,2021-02-10
6,Chester,2,1,10,6,0,2021-02-10
7,Coal Township,21,11,0,31,0,2021-02-10
8,Dallas,1,1,9,16,0,2021-02-10
9,Fayette,11,9,2,22,1,2021-02-10
10,Forest,15,7,4,3,0,2021-02-10
11,Frackville,5,4,0,4,0,2021-02-10
12,Greene,4,4,1,4,0,2021-02-10
13,Houtzdale,15,6,1,8,1,2021-02-10
14,Huntingdon,5,3,7,3,0,2021-02-10
15,Laurel Highlands,0,0,11,7,0,2021-02-10
16,Mahanoy,10,1,4,7,0,2021-02-10
17,Mercer,1,1,4,3,0,2021-02-10
18,Muncy,12,11,1,5,0,2021-02-10
19,Phoenix,10,7,12,20,0,2021-02-10
20,Pine Grove,2,2,1,3,0,2021-02-10
21,Quehanna BC,1,0,0,0,0,2021-02-10
22,Rockview,0,0,1,0,0,2021-02-10
23,Smithfield,93,91,6,4,1,2021-02-10
24,Somerset,0,0,4,7,0,2021-02-10
25,Waymart,87,68,11,20,0,2021-02-10
2,Albion,24,6,2,11,0,2021-03-04
3,Benner Township,6,3,6,2,0,2021-03-04
4,Cambridge Springs,0,0,1,5,0,2021-03-04
5,Camp Hill,352,345,3,37,1,2021-03-04
6,Chester,1,1,10,4,0,2021-03-04
7,Coal Township,5,5,0,13,0,2021-03-04
8,Dallas,0,0,9,8,0,2021-03-04
9,Fayette,16,15,3,4,1,2021-03-04
10,Forest,4,1,4,2,0,2021-03-04
11,Frackville,1,1,0,1,0,2021-03-04
12,Greene,2,2,1,1,0,2021-03-04
13,Houtzdale,3,2,2,6,1,2021-03-04
14,Huntingdon,49,49,8,6,0,2021-03-04
15,Laurel Highlands,1,1,11,2,0,2021-03-04
16,Mahanoy,8,1,4,4,0,2021-03-04
17,Mercer,86,79,4,0,0,2021-03-04
18,Muncy,4,4,1,1,0,2021-03-04
19,Phoenix,4,3,13,12,0,2021-03-04
20,Pine Grove,0,0,1,2,0,2021-03-04
21,Quehanna BC,0,0,0,0,0,2021-03-04
22,Rockview,4,3,1,2,0,2021-03-04
23,Smithfield,17,17,6,1,1,2021-03-04
24,Somerset,4,3,4,10,0,2021-03-04
25,Waymart,4,0,16,11,0,2021-03-04
2,Albion,32,18,2,16,0,2021-02-25
3,Benner Township,6,4,6,3,0,2021-02-25
4,Cambridge Springs,0,0,1,3,0,2021-02-25
5,Camp Hill,206,192,3,31,1,2021-02-25
6,Chester,1,0,10,6,0,2021-02-25
7,Coal Township,95,94,0,16,0,2021-02-25
8,Dallas,0,0,9,9,0,2021-02-25
9,Fayette,19,16,2,7,1,2021-02-25
10,Forest,11,8,4,4,0,2021-02-25
11,Frackville,4,3,0,3,0,2021-02-25
12,Greene,3,3,1,4,0,2021-02-25
13,Houtzdale,2,1,2,6,1,2021-02-25
14,Huntingdon,5,4,8,4,0,2021-02-25
15,Laurel Highlands,0,0,11,2,0,2021-02-25
16,Mahanoy,6,1,4,6,0,2021-02-25
17,Mercer,5,5,4,4,0,2021-02-25
18,Muncy,5,4,1,3,0,2021-02-25
19,Phoenix,3,2,13,13,0,2021-02-25
20,Pine Grove,0,0,1,2,0,2021-02-25
21,Quehanna BC,1,0,0,0,0,2021-02-25
22,Rockview,7,5,1,1,0,2021-02-25
23,Smithfield,36,36,6,0,1,2021-02-25
24,Somerset,0,0,4,5,0,2021-02-25
25,Waymart,39,21,14,13,0,2021-02-25
2,Albion,126,79,2,26,0,2021-02-04
3,Benner Township,17,7,5,5,0,2021-02-04
4,Cambridge Springs,2,1,1,5,0,2021-02-04
5,Camp Hill,5,4,3,25,1,2021-02-04
6,Chester,2,1,10,8,0,2021-02-04
7,Coal Township,12,5,0,37,0,2021-02-04
8,Dallas,1,1,9,19,0,2021-02-04
9,Fayette,8,7,2,19,1,2021-02-04
10,Forest,31,19,4,7,0,2021-02-04
11,Frackville,6,5,0,4,0,2021-02-04
12,Greene,10,10,1,7,0,2021-02-04
13,Houtzdale,20,6,1,5,1,2021-02-04
14,Huntingdon,5,3,7,7,0,2021-02-04
15,Laurel Highlands,3,3,11,10,0,2021-02-04
16,Mahanoy,14,0,4,6,0,2021-02-04
17,Mercer,4,3,4,2,0,2021-02-04
18,Muncy,13,11,1,4,0,2021-02-04
19,Phoenix,19,10,12,32,0,2021-02-04
20,Pine Grove,1,1,1,5,0,2021-02-04
21,Quehanna BC,12,0,0,2,0,2021-02-04
