,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
24717,CCC/F Central,1117.0,0.0,1117.0,7.0,-8.0,-8.0,2020-06-06
24718,CCC/F West,702.0,0.0,702.0,14.0,-21.0,-21.0,2020-06-06
24719,CCC/F TOTAL,2793.0,0.0,2793.0,5.0,-50.0,-50.0,2020-06-06
24720,Albion,2217.0,4.0,2213.0,0.0,-2.0,33.0,2020-06-12
24721,Benner,1986.0,4.0,1982.0,-1.0,-8.0,-26.0,2020-06-12
24722,Camp Hill,2461.0,10.0,2451.0,-3.0,-25.0,-266.0,2020-06-12
24723,Cambridge Springs,1035.0,19.0,1016.0,1.0,-20.0,-25.0,2020-06-12
24724,Chester,899.0,3.0,896.0,0.0,-16.0,-33.0,2020-06-12
24725,Coal Township,2062.0,4.0,2058.0,-1.0,-8.0,23.0,2020-06-12
24726,Dallas,2146.0,3.0,2143.0,-1.0,-15.0,18.0,2020-06-12
24727,Frackville,1186.0,4.0,1182.0,-1.0,-8.0,8.0,2020-06-12
24728,Forest,2352.0,8.0,2344.0,0.0,2.0,27.0,2020-06-12
24729,Fayette,1898.0,4.0,1894.0,-1.0,-10.0,16.0,2020-06-12
24730,Greene,1745.0,4.0,1741.0,-4.0,-9.0,14.0,2020-06-12
24731,Houtzdale,2406.0,4.0,2402.0,0.0,-2.0,-18.0,2020-06-12
24732,Huntingdon,1881.0,1.0,1880.0,-1.0,-3.0,-6.0,2020-06-12
24733,Laurel Highlands,1266.0,18.0,1248.0,-2.0,-18.0,-35.0,2020-06-12
24734,Mahanoy,2290.0,7.0,2283.0,-2.0,-14.0,31.0,2020-06-12
24735,Mercer,1289.0,3.0,1286.0,-1.0,-5.0,-17.0,2020-06-12
24736,Muncy,1190.0,11.0,1179.0,0.0,-12.0,-48.0,2020-06-12
24737,Phoenix,2886.0,8.0,2878.0,-1.0,-19.0,-52.0,2020-06-12
24738,Pine Grove,1017.0,4.0,1013.0,-1.0,-2.0,11.0,2020-06-12
24739,Quehanna,387.0,0.0,387.0,0.0,-5.0,-15.0,2020-06-12
24740,Retreat,599.0,0.0,599.0,13.0,85.0,13.0,2020-06-12
24741,Rockview,2013.0,8.0,2005.0,-1.0,-8.0,-20.0,2020-06-12
24742,Smithfield,1267.0,5.0,1262.0,0.0,-6.0,7.0,2020-06-12
24743,Somerset,2280.0,0.0,2280.0,-1.0,-4.0,-3.0,2020-06-12
24744,Waymart,1205.0,11.0,1194.0,-2.0,-11.0,-29.0,2020-06-12
24745,SCI TOTAL,41963.0,147.0,41816.0,-10.0,-143.0,-392.0,2020-06-12
24746,CCC/F East,986.0,0.0,986.0,13.0,11.0,-9.0,2020-06-12
24747,CCC/F Central,1021.0,0.0,1021.0,-5.0,-93.0,-104.0,2020-06-12
24748,CCC/F West,684.0,0.0,684.0,2.0,-10.0,-39.0,2020-06-12
24749,CCC/F TOTAL,2691.0,0.0,2691.0,10.0,-92.0,-152.0,2020-06-12
24750,Albion,2208.0,4.0,2204.0,-1.0,-1.0,16.0,2020-08-17
24751,Benner,2022.0,3.0,2019.0,-2.0,-2.0,-9.0,2020-08-17
24752,Camp Hill,1803.0,9.0,1794.0,35.0,35.0,-60.0,2020-08-17
24753,Cambridge Springs,999.0,19.0,980.0,-5.0,-5.0,-16.0,2020-08-17
24754,Chester,992.0,3.0,989.0,-4.0,-4.0,-7.0,2020-08-17
24755,Coal Township,2268.0,4.0,2264.0,-6.0,-6.0,81.0,2020-08-17
24756,Dallas,2132.0,2.0,2130.0,0.0,0.0,-5.0,2020-08-17
24757,Frackville,1188.0,4.0,1184.0,-6.0,-6.0,10.0,2020-08-17
24758,Forest,2385.0,7.0,2378.0,-1.0,-1.0,15.0,2020-08-17
24759,Fayette,2010.0,4.0,2006.0,-1.0,-1.0,7.0,2020-08-17
24760,Greene,1673.0,3.0,1670.0,0.0,0.0,-27.0,2020-08-17
24761,Houtzdale,2457.0,3.0,2454.0,-5.0,-5.0,-27.0,2020-08-17
24762,Huntingdon,1820.0,1.0,1819.0,-1.0,-1.0,-12.0,2020-08-17
24763,Laurel Highlands,1016.0,16.0,1000.0,-7.0,-7.0,-153.0,2020-08-17
24764,Mahanoy,2312.0,5.0,2307.0,-1.0,-1.0,-13.0,2020-08-17
24765,Mercer,1353.0,3.0,1350.0,-8.0,-8.0,-11.0,2020-08-17
24766,Muncy,1094.0,11.0,1083.0,-4.0,-4.0,-28.0,2020-08-17
24767,Phoenix,2831.0,8.0,2823.0,-6.0,-6.0,-2.0,2020-08-17
24768,Pine Grove,1049.0,4.0,1045.0,-1.0,-1.0,9.0,2020-08-17
24769,Quehanna,454.0,0.0,454.0,1.0,1.0,20.0,2020-08-17
24770,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-17
24771,Rockview,1914.0,6.0,1908.0,0.0,0.0,-32.0,2020-08-17
24772,Smithfield,1377.0,4.0,1373.0,-1.0,-1.0,-15.0,2020-08-17
24773,Somerset,2297.0,0.0,2297.0,-1.0,-1.0,-4.0,2020-08-17
24774,Waymart,1109.0,11.0,1098.0,0.0,0.0,-19.0,2020-08-17
24775,SCI TOTAL,40763.0,134.0,40629.0,-25.0,-25.0,-282.0,2020-08-17
24776,CCC/F East,702.0,0.0,702.0,0.0,0.0,-126.0,2020-08-17
24777,CCC/F Central,900.0,0.0,900.0,0.0,0.0,14.0,2020-08-17
24778,CCC/F West,658.0,0.0,658.0,0.0,0.0,37.0,2020-08-17
