,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
536,CCC/F East,637.0,0.0,637.0,8.0,-8.0,25.0,2020-10-30
537,CCC/F Central,828.0,0.0,828.0,15.0,10.0,-52.0,2020-10-30
538,CCC/F West,823.0,0.0,823.0,12.0,9.0,85.0,2020-10-30
539,CCC/F TOTAL,2288.0,0.0,2288.0,35.0,11.0,58.0,2020-10-30
540,Albion,2203.0,4.0,2199.0,0.0,-6.0,-4.0,2020-10-18
541,Benner,1974.0,3.0,1971.0,-1.0,-9.0,-17.0,2020-10-18
542,Camp Hill,1939.0,7.0,1932.0,-147.0,-268.0,-299.0,2020-10-18
543,Cambridge Springs,966.0,18.0,948.0,0.0,2.0,-16.0,2020-10-18
544,Chester,1056.0,2.0,1054.0,-2.0,96.0,86.0,2020-10-18
545,Coal Township,2234.0,4.0,2230.0,13.0,37.0,47.0,2020-10-18
546,Dallas,2101.0,2.0,2099.0,-1.0,0.0,-9.0,2020-10-18
547,Frackville,1026.0,3.0,1023.0,-2.0,-7.0,-12.0,2020-10-18
548,Forest,2325.0,4.0,2321.0,-2.0,-12.0,-21.0,2020-10-18
549,Fayette,1942.0,3.0,1939.0,1.0,-10.0,-35.0,2020-10-18
550,Greene,1694.0,3.0,1691.0,10.0,4.0,23.0,2020-10-18
551,Houtzdale,2434.0,2.0,2432.0,0.0,1.0,-5.0,2020-10-18
552,Huntingdon,1788.0,1.0,1787.0,-3.0,-25.0,49.0,2020-10-18
553,Laurel Highlands,876.0,13.0,863.0,-1.0,-3.0,-22.0,2020-10-18
554,Mahanoy,2287.0,5.0,2282.0,0.0,-14.0,-24.0,2020-10-18
555,Mercer,1243.0,3.0,1240.0,-3.0,-7.0,-29.0,2020-10-18
556,Muncy,1091.0,10.0,1081.0,12.0,3.0,24.0,2020-10-18
557,Phoenix,2943.0,9.0,2934.0,140.0,156.0,122.0,2020-10-18
558,Pine Grove,1005.0,3.0,1002.0,-3.0,-7.0,-19.0,2020-10-18
559,Quehanna,348.0,0.0,348.0,0.0,-5.0,-68.0,2020-10-18
560,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-18
561,Rockview,1602.0,5.0,1597.0,-1.0,-9.0,-37.0,2020-10-18
562,Smithfield,1356.0,4.0,1352.0,-1.0,-8.0,-21.0,2020-10-18
563,Somerset,2238.0,0.0,2238.0,0.0,-10.0,-21.0,2020-10-18
564,Waymart,1022.0,8.0,1014.0,-2.0,-13.0,-23.0,2020-10-18
565,SCI TOTAL,39693.0,116.0,39577.0,7.0,-114.0,-331.0,2020-10-18
566,CCC/F East,635.0,0.0,635.0,19.0,15.0,23.0,2020-10-18
567,CCC/F Central,843.0,0.0,843.0,5.0,-18.0,-37.0,2020-10-18
568,CCC/F West,812.0,0.0,812.0,11.0,2.0,74.0,2020-10-18
569,CCC/F TOTAL,2290.0,0.0,2290.0,35.0,-1.0,60.0,2020-10-18
570,Albion,2186.0,4.0,2182.0,-5.0,-5.0,-21.0,2020-10-26
571,Benner,1959.0,3.0,1956.0,-7.0,-7.0,-32.0,2020-10-26
572,Camp Hill,2168.0,7.0,2161.0,36.0,36.0,-70.0,2020-10-26
573,Cambridge Springs,964.0,18.0,946.0,-1.0,-1.0,-18.0,2020-10-26
574,Chester,1040.0,2.0,1038.0,0.0,0.0,70.0,2020-10-26
575,Coal Township,2293.0,4.0,2289.0,3.0,3.0,106.0,2020-10-26
576,Dallas,2041.0,2.0,2039.0,-39.0,-39.0,-69.0,2020-10-26
577,Frackville,1013.0,3.0,1010.0,-2.0,-2.0,-25.0,2020-10-26
578,Forest,2317.0,4.0,2313.0,-2.0,-2.0,-29.0,2020-10-26
579,Fayette,1936.0,3.0,1933.0,-2.0,-2.0,-41.0,2020-10-26
580,Greene,1702.0,3.0,1699.0,-2.0,-2.0,31.0,2020-10-26
581,Houtzdale,2425.0,2.0,2423.0,-2.0,-2.0,-14.0,2020-10-26
582,Huntingdon,1743.0,1.0,1742.0,0.0,0.0,4.0,2020-10-26
583,Laurel Highlands,867.0,13.0,854.0,0.0,0.0,-31.0,2020-10-26
584,Mahanoy,2274.0,5.0,2269.0,-2.0,-2.0,-37.0,2020-10-26
585,Mercer,1225.0,3.0,1222.0,0.0,0.0,-47.0,2020-10-26
586,Muncy,1072.0,10.0,1062.0,-7.0,-7.0,5.0,2020-10-26
587,Phoenix,2889.0,9.0,2880.0,-9.0,-9.0,68.0,2020-10-26
588,Pine Grove,998.0,3.0,995.0,-2.0,-2.0,-26.0,2020-10-26
589,Quehanna,338.0,0.0,338.0,-1.0,-1.0,-78.0,2020-10-26
590,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-26
591,Rockview,1589.0,5.0,1584.0,-5.0,-5.0,-50.0,2020-10-26
592,Smithfield,1347.0,4.0,1343.0,-3.0,-3.0,-30.0,2020-10-26
593,Somerset,2225.0,0.0,2225.0,-3.0,-3.0,-34.0,2020-10-26
594,Waymart,1012.0,8.0,1004.0,-1.0,-1.0,-33.0,2020-10-26
595,SCI TOTAL,39623.0,116.0,39507.0,-56.0,-56.0,-401.0,2020-10-26
596,CCC/F East,645.0,0.0,645.0,0.0,0.0,33.0,2020-10-26
597,CCC/F Central,818.0,0.0,818.0,0.0,0.0,-62.0,2020-10-26
598,CCC/F West,814.0,0.0,814.0,0.0,0.0,76.0,2020-10-26
599,CCC/F TOTAL,2277.0,0.0,2277.0,0.0,0.0,47.0,2020-10-26
600,Albion,2202.0,4.0,2198.0,-2.0,-2.0,18.0,2020-07-02
601,Benner,2047.0,3.0,2044.0,-1.0,-1.0,36.0,2020-07-02
602,Camp Hill,2103.0,10.0,2093.0,-18.0,-20.0,-624.0,2020-07-02
603,Cambridge Springs,1043.0,19.0,1024.0,-5.0,-5.0,-17.0,2020-07-02
604,Chester,942.0,3.0,939.0,36.0,36.0,10.0,2020-07-02
605,Coal Township,2118.0,4.0,2114.0,11.0,8.0,79.0,2020-07-02
606,Dallas,2141.0,3.0,2138.0,-1.0,-2.0,13.0,2020-07-02
607,Frackville,1220.0,4.0,1216.0,-1.0,-5.0,42.0,2020-07-02
608,Forest,2391.0,8.0,2383.0,-2.0,-2.0,66.0,2020-07-02
609,Fayette,2013.0,4.0,2009.0,0.0,-1.0,131.0,2020-07-02
610,Greene,1743.0,4.0,1739.0,4.0,3.0,12.0,2020-07-02
611,Houtzdale,2453.0,4.0,2449.0,-1.0,-4.0,29.0,2020-07-02
612,Huntingdon,1872.0,1.0,1871.0,0.0,-3.0,-15.0,2020-07-02
613,Laurel Highlands,1234.0,18.0,1216.0,-3.0,-5.0,-67.0,2020-07-02
614,Mahanoy,2356.0,5.0,2351.0,-7.0,-7.0,99.0,2020-07-02
615,Mercer,1348.0,3.0,1345.0,-4.0,-6.0,42.0,2020-07-02
616,Muncy,1132.0,11.0,1121.0,1.0,1.0,-106.0,2020-07-02
617,Phoenix,2881.0,9.0,2872.0,-3.0,-8.0,-58.0,2020-07-02
618,Pine Grove,1038.0,4.0,1034.0,-1.0,-2.0,32.0,2020-07-02
619,Quehanna,449.0,0.0,449.0,6.0,6.0,47.0,2020-07-02
620,Retreat,10.0,0.0,10.0,-2.0,-2.0,-576.0,2020-07-02
621,Rockview,1985.0,8.0,1977.0,-3.0,-4.0,-48.0,2020-07-02
622,Smithfield,1363.0,5.0,1358.0,1.0,1.0,103.0,2020-07-02
623,Somerset,2305.0,0.0,2305.0,0.0,-1.0,22.0,2020-07-02
624,Waymart,1183.0,11.0,1172.0,-4.0,-4.0,-51.0,2020-07-02
625,SCI TOTAL,41572.0,145.0,41427.0,1.0,-29.0,-781.0,2020-07-02
626,CCC/F East,888.0,0.0,888.0,-19.0,-19.0,-107.0,2020-07-02
627,CCC/F Central,962.0,0.0,962.0,-15.0,-15.0,-163.0,2020-07-02
628,CCC/F West,639.0,0.0,639.0,0.0,0.0,-84.0,2020-07-02
629,CCC/F TOTAL,2489.0,0.0,2489.0,-34.0,-34.0,-354.0,2020-07-02
630,Albion,2184.0,4.0,2180.0,-7.0,-8.0,-18.0,2020-07-16
631,Benner,2047.0,3.0,2044.0,-8.0,-9.0,0.0,2020-07-16
632,Camp Hill,1939.0,9.0,1930.0,-70.0,-117.0,-163.0,2020-07-16
633,Cambridge Springs,1043.0,19.0,1024.0,0.0,7.0,0.0,2020-07-16
634,Chester,985.0,3.0,982.0,4.0,-2.0,43.0,2020-07-16
635,Coal Township,2139.0,4.0,2135.0,7.0,10.0,21.0,2020-07-16
636,Dallas,2099.0,3.0,2096.0,-1.0,-2.0,-42.0,2020-07-16
637,Frackville,1205.0,4.0,1201.0,-5.0,-13.0,-15.0,2020-07-16
638,Forest,2395.0,8.0,2387.0,0.0,-5.0,4.0,2020-07-16
639,Fayette,2017.0,4.0,2013.0,11.0,7.0,4.0,2020-07-16
640,Greene,1752.0,3.0,1749.0,3.0,1.0,10.0,2020-07-16
641,Houtzdale,2450.0,3.0,2447.0,0.0,1.0,-2.0,2020-07-16
642,Huntingdon,1863.0,1.0,1862.0,-4.0,-6.0,-9.0,2020-07-16
643,Laurel Highlands,1226.0,18.0,1208.0,0.0,-5.0,-8.0,2020-07-16
644,Mahanoy,2334.0,5.0,2329.0,-6.0,-8.0,-22.0,2020-07-16
645,Mercer,1376.0,3.0,1373.0,23.0,16.0,28.0,2020-07-16
646,Muncy,1121.0,11.0,1110.0,0.0,-11.0,-11.0,2020-07-16
647,Phoenix,2851.0,9.0,2842.0,-6.0,-17.0,-30.0,2020-07-16
648,Pine Grove,1070.0,4.0,1066.0,20.0,16.0,32.0,2020-07-16
649,Quehanna,478.0,0.0,478.0,-2.0,18.0,29.0,2020-07-16
650,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-16
651,Rockview,1976.0,8.0,1968.0,-3.0,-5.0,-9.0,2020-07-16
652,Smithfield,1403.0,5.0,1398.0,-1.0,30.0,40.0,2020-07-16
653,Somerset,2302.0,0.0,2302.0,-1.0,-5.0,-3.0,2020-07-16
654,Waymart,1162.0,11.0,1151.0,-3.0,-7.0,-21.0,2020-07-16
655,SCI TOTAL,41417.0,142.0,41275.0,-49.0,-114.0,-152.0,2020-07-16
656,CCC/F East,864.0,0.0,864.0,0.0,-17.0,-24.0,2020-07-16
657,CCC/F Central,934.0,0.0,934.0,0.0,-18.0,-28.0,2020-07-16
658,CCC/F West,620.0,0.0,620.0,0.0,-3.0,-19.0,2020-07-16
659,CCC/F TOTAL,2418.0,0.0,2418.0,0.0,-38.0,-71.0,2020-07-16
660,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-13
661,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-13
662,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-13
663,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-13
664,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-13
665,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-13
666,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-13
667,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-13
668,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-13
669,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-13
670,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-13
671,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-13
672,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-13
673,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-13
674,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-13
675,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-13
676,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-13
677,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-13
678,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-13
679,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-13
680,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-13
681,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-13
682,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-13
683,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-13
684,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-13
685,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-13
686,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-13
687,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-13
688,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-13
689,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-13
690,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-07
691,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-07
692,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-07
693,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-07
694,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-07
695,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-07
696,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-07
697,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-07
698,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-07
699,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-07
700,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-07
701,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-07
702,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-07
703,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-07
704,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-07
705,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-07
706,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-07
707,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-07
708,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-07
709,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-07
710,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-07
711,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-07
712,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-07
713,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-07
714,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-07
715,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-07
716,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-07
717,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-07
718,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-07
719,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-07
720,Albion,2217.0,2.0,2215.0,-12.0,-17.0,-22.0,2020-05-07
721,Benner,2034.0,3.0,2031.0,-4.0,-7.0,-9.0,2020-05-07
722,Camp Hill,2987.0,9.0,2978.0,-8.0,-32.0,-7.0,2020-05-07
723,Cambridge Springs,1100.0,16.0,1084.0,-4.0,-20.0,-30.0,2020-05-07
724,Chester,991.0,2.0,989.0,-10.0,-14.0,-17.0,2020-05-07
725,Coal Township,2069.0,5.0,2064.0,-2.0,-11.0,-17.0,2020-05-07
726,Dallas,2136.0,3.0,2133.0,-3.0,-11.0,-17.0,2020-05-07
727,Frackville,1186.0,3.0,1183.0,-2.0,-7.0,16.0,2020-05-07
728,Forest,2324.0,7.0,2317.0,-2.0,-7.0,-6.0,2020-05-07
729,Fayette,1922.0,3.0,1919.0,-7.0,-16.0,-19.0,2020-05-07
730,Greene,1749.0,4.0,1745.0,-2.0,-9.0,-12.0,2020-05-07
731,Houtzdale,2436.0,4.0,2432.0,-7.0,-22.0,-22.0,2020-05-07
732,Huntingdon,1969.0,1.0,1968.0,-1.0,-13.0,-14.0,2020-05-07
733,Laurel Highlands,1351.0,12.0,1339.0,-7.0,-9.0,-14.0,2020-05-07
734,Mahanoy,2284.0,3.0,2281.0,-1.0,-9.0,-13.0,2020-05-07
735,Mercer,1321.0,3.0,1318.0,0.0,-1.0,-5.0,2020-05-07
736,Muncy,1277.0,9.0,1268.0,-6.0,-26.0,-28.0,2020-05-07
737,Phoenix,2974.0,8.0,2966.0,-9.0,-18.0,-57.0,2020-05-07
738,Pine Grove,1021.0,2.0,1019.0,1.0,0.0,-5.0,2020-05-07
739,Quehanna,291.0,0.0,291.0,-12.0,-12.0,-12.0,2020-05-07
740,Retreat,470.0,0.0,470.0,7.0,53.0,112.0,2020-05-07
741,Rockview,2060.0,4.0,2056.0,-4.0,-11.0,-80.0,2020-05-07
742,Smithfield,1260.0,3.0,1257.0,-3.0,-4.0,-8.0,2020-05-07
743,Somerset,2298.0,0.0,2298.0,-2.0,-5.0,-7.0,2020-05-07
744,Waymart,1297.0,10.0,1287.0,-4.0,-12.0,-19.0,2020-05-07
745,SCI TOTAL,43024.0,116.0,42908.0,-104.0,-240.0,-312.0,2020-05-07
746,CCC/F East,1056.0,0.0,1056.0,9.0,16.0,31.0,2020-05-07
747,CCC/F Central,1152.0,0.0,1152.0,9.0,-69.0,-41.0,2020-05-07
748,CCC/F West,749.0,0.0,749.0,-8.0,5.0,15.0,2020-05-07
749,CCC/F TOTAL,2957.0,0.0,2957.0,10.0,-48.0,5.0,2020-05-07
750,Albion,2204.0,4.0,2200.0,-6.0,-6.0,-37.0,2020-05-13
751,Benner,2028.0,4.0,2024.0,-3.0,-3.0,-16.0,2020-05-13
752,Camp Hill,2880.0,10.0,2870.0,-27.0,-71.0,-115.0,2020-05-13
753,Cambridge Springs,1095.0,18.0,1077.0,2.0,-4.0,-37.0,2020-05-13
754,Chester,982.0,3.0,979.0,-1.0,-6.0,-27.0,2020-05-13
755,Coal Township,2062.0,4.0,2058.0,0.0,-2.0,-23.0,2020-05-13
756,Dallas,2125.0,3.0,2122.0,0.0,-8.0,-28.0,2020-05-13
757,Frackville,1180.0,4.0,1176.0,-1.0,-4.0,9.0,2020-05-13
758,Forest,2321.0,7.0,2314.0,-1.0,-2.0,-9.0,2020-05-13
759,Fayette,1905.0,4.0,1901.0,-1.0,-10.0,-37.0,2020-05-13
760,Greene,1745.0,4.0,1741.0,0.0,-2.0,-16.0,2020-05-13
761,Houtzdale,2426.0,4.0,2422.0,-2.0,-5.0,-32.0,2020-05-13
762,Huntingdon,1942.0,1.0,1941.0,-1.0,-9.0,-41.0,2020-05-13
763,Laurel Highlands,1329.0,14.0,1315.0,-6.0,-17.0,-38.0,2020-05-13
764,Mahanoy,2269.0,5.0,2264.0,-1.0,-5.0,-30.0,2020-05-13
765,Mercer,1314.0,3.0,1311.0,-3.0,-4.0,-12.0,2020-05-13
766,Muncy,1277.0,10.0,1267.0,2.0,-2.0,-29.0,2020-05-13
767,Phoenix,2968.0,8.0,2960.0,-3.0,-9.0,-63.0,2020-05-13
768,Pine Grove,1020.0,2.0,1018.0,-1.0,-1.0,-6.0,2020-05-13
769,Quehanna,400.0,0.0,400.0,25.0,73.0,97.0,2020-05-13
770,Retreat,547.0,0.0,547.0,21.0,54.0,189.0,2020-05-13
771,Rockview,2049.0,4.0,2045.0,-1.0,-7.0,-91.0,2020-05-13
772,Smithfield,1258.0,4.0,1254.0,-1.0,-2.0,-11.0,2020-05-13
773,Somerset,2292.0,0.0,2292.0,-2.0,-3.0,-13.0,2020-05-13
774,Waymart,1275.0,10.0,1265.0,-1.0,-5.0,-41.0,2020-05-13
775,SCI TOTAL,42893.0,130.0,42763.0,-12.0,-60.0,-457.0,2020-05-13
776,CCC/F East,1038.0,0.0,1038.0,-10.0,-19.0,13.0,2020-05-13
777,CCC/F Central,1152.0,0.0,1152.0,-2.0,-15.0,-41.0,2020-05-13
