,Institution,Population,Capacity,Pct_Capacity,date
11,Forest,2311,2355,98.1,2020-10-01
12,Frackville,1043,1185,88.0,2020-10-01
13,Greene,1714,1880,91.2,2020-10-01
14,Houtzdale,2409,2387,100.9,2020-10-01
15,Huntingdon,1706,1895,90.0,2020-10-01
16,Laurel Highlands,846,1176,71.9,2020-10-01
17,Mahanoy,2264,2300,98.4,2020-10-01
18,Mercer,1203,1264,95.2,2020-10-01
19,Muncy,1060,1520,69.7,2020-10-01
20,Phoenix,2850,3581,79.6,2020-10-01
21,Pine Grove,985,1185,83.1,2020-10-01
22,Quehanna,Quehanna,Quehanna,Quehanna,Quehanna
23,Rockview,1574,2019,78.0,2020-10-01
24,Smithfield,1320,1392,94.8,2020-10-01
25,Somerset,2215,2232,99.2,2020-10-01
26,Waymart,984,970,101.4,2020-10-01
