County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Mercer,09/22/2020,0,0.9,24,109424,0,0.78,21.93,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Crawford,07/28/2020,0,0,1,84629,0,0,1.18,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lehigh,04/09/2020,5,2.4,22,369318,1.35,0.66,5.96,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Elk,08/10/2020,0,0,2,29910,0,0,6.69,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Washington,07/09/2020,0,0,6,206865,0,0,2.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Juniata,08/07/2020,0,0,6,24763,0,0,24.23,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Montour,04/20/2020,0,0,0,18230,0,0,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Lackawanna,03/30/2020,0,0,2,209674,0,0,0.95,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Mercer,11/01/2020,0,0,29,109424,0,0,26.5,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Clearfield,04/02/2020,0,0,0,79255,0,0,0,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Delaware,05/03/2020,12,15.4,407,566747,2.12,2.72,71.81,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Cumberland,07/11/2020,0,0.3,67,253370,0,0.11,26.44,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cameron,11/03/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Pike,07/16/2020,0,0,21,55809,0,0,37.63,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Bradford,09/13/2020,0,0,3,60323,0,0,4.97,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Westmoreland,08/11/2020,0,0.3,49,348899,0,0.08,14.04,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lebanon,06/13/2020,0,0.3,41,141793,0,0.2,28.92,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Susquehanna,04/29/2020,0,0.4,11,40328,0,1.06,27.28,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Columbia,11/01/2020,0,0,44,64964,0,0,67.73,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Juniata,09/09/2020,0,0,6,24763,0,0,24.23,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Forest,10/18/2020,0,0,1,7247,0,0,13.8,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
