County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Erie,12/23/2020,4,6.4,220,269728,1.48,2.38,81.56,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Adams,10/28/2020,0,0.3,30,103009,0,0.28,29.12,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northampton,01/19/2021,7,4.1,548,305285,2.29,1.36,179.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Susquehanna,03/08/2021,0,0,53,40328,0,0,131.42,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pennsylvania,01/26/2021,116,136.3,21978,12801989,0.91,1.06,171.68,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Jefferson,01/02/2021,0,0.7,62,43425,0,1.64,142.77,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lawrence,03/04/2021,0,0.4,188,85512,0,0.5,219.85,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Cambria,12/25/2020,4,5.9,276,130192,3.07,4.5,211.99,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Allegheny,01/07/2021,13,17.1,1334,1216045,1.07,1.41,109.7,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,02/28/2021,39,40.6,24280,12801989,0.3,0.32,189.66,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
McKean,03/04/2021,0,0.3,65,40625,0,0.7,160,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Allegheny,12/11/2020,21,19.9,798,1216045,1.73,1.63,65.62,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Jefferson,03/01/2021,0,0,90,43425,0,0,207.25,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Juniata,03/02/2021,0,0.1,81,24763,0,0.58,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Adams,03/07/2021,0,0.3,154,103009,0,0.28,149.5,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Pennsylvania,02/14/2021,62,71,23617,12801989,0.48,0.55,184.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lycoming,12/06/2020,2,3,66,113299,1.77,2.65,58.25,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Allegheny,01/21/2021,9,11,1502,1216045,0.74,0.9,123.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Washington,11/24/2020,0,1.1,69,206865,0,0.55,33.36,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Mifflin,12/16/2020,1,2.6,107,46138,2.17,5.57,231.91,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lackawanna,02/06/2021,0,2.9,399,209674,0,1.36,190.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Allegheny,12/13/2020,14,19,824,1216045,1.15,1.56,67.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,12/03/2020,193,148.6,11990,12801989,1.51,1.16,93.66,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cambria,12/22/2020,7,5.7,261,130192,5.38,4.39,200.47,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Monroe,03/08/2021,0,0.3,274,170271,0,0.17,160.92,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Allegheny,01/01/2021,18,17.6,1232,1216045,1.48,1.44,101.31,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,01/05/2021,193,196.4,18778,12801989,1.51,1.53,146.68,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,02/20/2021,63,55.3,23942,12801989,0.49,0.43,187.02,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,03/02/2021,27,36.9,24345,12801989,0.21,0.29,190.17,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
McKean,03/08/2021,0,0.1,65,40625,0,0.35,160,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Pennsylvania,02/04/2021,82,96.3,22888,12801989,0.64,0.75,178.78,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Erie,11/21/2020,2,1.3,56,269728,0.74,0.48,20.76,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,02/25/2021,1,0.1,42,26794,3.73,0.53,156.75,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,12/21/2020,1,2.7,108,84073,1.19,3.23,128.46,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Centre,01/19/2021,0,1.3,186,162385,0,0.79,114.54,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Bradford,01/15/2021,0,0.3,63,60323,0,0.47,104.44,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Perry,03/04/2021,0,0.1,86,46272,0,0.31,185.86,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Chester,02/17/2021,4,2.3,718,524989,0.76,0.44,136.76,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lehigh,09/21/2020,0,0.3,356,369318,0,0.08,96.39,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Pennsylvania,02/27/2021,36,42.7,24241,12801989,0.28,0.33,189.35,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Centre,11/28/2020,3,3.6,77,162385,1.85,2.2,47.42,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Pennsylvania,02/10/2021,82,79.4,23362,12801989,0.64,0.62,182.49,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Philadelphia,01/02/2021,9,16.1,2661,1584064,0.57,1.02,167.99,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Clearfield,12/19/2020,0,1.7,43,79255,0,2.16,54.26,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Lawrence,03/07/2021,0,0.4,188,85512,0,0.5,219.85,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Venango,03/08/2021,0,0.6,87,50668,0,1.13,171.71,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Pennsylvania,01/29/2021,99,124.1,22313,12801989,0.77,0.97,174.29,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Allegheny,11/29/2020,11,9,590,1216045,0.9,0.74,48.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,11/30/2020,146,134.1,11498,12801989,1.14,1.05,89.81,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Philadelphia,01/19/2021,6,11.4,2870,1584064,0.38,0.72,181.18,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Erie,08/21/2020,0,0.6,32,269728,0,0.21,11.86,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Allegheny,01/27/2021,12,9.7,1561,1216045,0.99,0.8,128.37,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lebanon,03/08/2021,0,0.3,261,141793,0,0.2,184.07,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Pennsylvania,01/07/2021,167,182.6,19126,12801989,1.3,1.43,149.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wyoming,01/09/2021,0,0.1,33,26794,0,0.53,123.16,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Jefferson,12/17/2020,3,1.4,36,43425,6.91,3.29,82.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Pennsylvania,01/23/2021,122,144.1,21566,12801989,0.95,1.13,168.46,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Mifflin,12/15/2020,3,2.7,106,46138,6.5,5.88,229.75,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Northumberland,11/13/2020,0,0.6,118,90843,0,0.63,129.89,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lackawanna,02/14/2021,2,1.3,411,209674,0.95,0.61,196.02,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Allegheny,03/08/2021,0,1.4,1762,1216045,0,0.12,144.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Erie,08/10/2020,0,0.9,26,269728,0,0.32,9.64,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Union,03/02/2021,0,0.1,82,44923,0,0.32,182.53,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Allegheny,11/14/2020,6,3.6,476,1216045,0.49,0.29,39.14,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,12/02/2020,151,140.4,11797,12801989,1.18,1.1,92.15,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,11/09/2020,49,47.6,9407,12801989,0.38,0.37,73.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Philadelphia,02/25/2021,6,4.9,3160,1584064,0.38,0.31,199.49,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lackawanna,02/05/2021,2,3.1,399,209674,0.95,1.5,190.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Greene,03/08/2021,0,0,33,36233,0,0,91.08,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Allegheny,03/05/2021,0,2.4,1759,1216045,0,0.2,144.65,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Mifflin,11/17/2020,3,2.3,26,46138,6.5,4.95,56.35,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Elk,01/23/2021,0,0.4,32,29910,0,1.43,106.99,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Clearfield,12/05/2020,0,1,26,79255,0,1.26,32.81,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Erie,09/11/2020,0,0.1,36,269728,0,0.05,13.35,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,02/25/2021,0,0.1,248,113299,0,0.13,218.89,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Clearfield,02/20/2021,0,0.3,116,79255,0,0.36,146.36,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
McKean,01/27/2021,0,0.6,59,40625,0,1.41,145.23,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Clearfield,02/27/2021,0,0.1,117,79255,0,0.18,147.62,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Allegheny,02/09/2021,11,6.9,1653,1216045,0.9,0.56,135.93,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Erie,11/30/2020,4,4.4,93,269728,1.48,1.64,34.48,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Adams,11/08/2020,2,0.9,37,103009,1.94,0.83,35.92,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northumberland,10/21/2020,1,1.6,112,90843,1.1,1.73,123.29,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Crawford,01/03/2021,0,1.7,107,84629,0,2.03,126.43,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cambria,12/20/2020,3,4.9,241,130192,2.3,3.73,185.11,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Indiana,10/13/2020,0,0,13,84073,0,0,15.46,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Dauphin,03/07/2021,0,0.3,502,278299,0,0.1,180.38,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Allegheny,12/15/2020,22,19.9,869,1216045,1.81,1.63,71.46,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Bucks,08/04/2020,0,0.4,593,628270,0,0.07,94.39,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Bucks,10/28/2020,1,0.1,628,628270,0.16,0.02,99.96,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Cumberland,02/28/2021,0,1.3,486,253370,0,0.51,191.81,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Clinton,03/02/2021,0,0.1,57,38632,0,0.37,147.55,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Mifflin,11/29/2020,1,2.7,57,46138,2.17,5.88,123.54,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cumberland,03/01/2021,0,1,486,253370,0,0.39,191.81,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cambria,03/07/2021,0,0.3,398,130192,0,0.22,305.7,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Centre,12/23/2020,0,1.6,138,162385,0,0.97,84.98,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Carbon,03/07/2021,0,0,152,64182,0,0,236.83,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Westmoreland,03/08/2021,0,0.9,686,348899,0,0.25,196.62,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Pennsylvania,11/23/2020,106,93.9,10559,12801989,0.83,0.73,82.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Erie,08/16/2020,1,0.4,29,269728,0.37,0.16,10.75,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Northumberland,03/08/2021,0,0.1,326,90843,0,0.16,358.86,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,06/24/2020,0,0.1,6,90843,0,0.16,6.6,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Berks,03/05/2021,0,0.9,910,421164,0,0.2,216.07,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Clearfield,03/08/2021,0,0.1,119,79255,0,0.18,150.15,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Indiana,10/01/2020,0,0,11,84073,0,0,13.08,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Bucks,03/07/2021,0,1.1,1149,628270,0,0.18,182.88,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Northumberland,11/02/2020,0,0.1,114,90843,0,0.16,125.49,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northampton,03/04/2021,3,1.1,655,305285,0.98,0.37,214.55,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Allegheny,01/05/2021,31,18,1306,1216045,2.55,1.48,107.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Mifflin,12/03/2020,4,3.7,71,46138,8.67,8.05,153.89,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Centre,01/11/2021,3,1.9,176,162385,1.85,1.14,108.38,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Cameron,03/02/2021,0,0,7,4447,0,0,157.41,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Clearfield,12/28/2020,2,1.3,56,79255,2.52,1.62,70.66,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Tioga,03/02/2021,0,0,94,40591,0,0,231.58,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Lehigh,11/20/2020,1,0.7,382,369318,0.27,0.19,103.43,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Blair,03/03/2021,1,0.7,305,121829,0.82,0.59,250.35,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Blair,03/01/2021,1,0.7,303,121829,0.82,0.59,248.71,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Wyoming,01/06/2021,0,0.3,33,26794,0,1.07,123.16,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Wyoming,01/10/2021,0,0.1,33,26794,0,0.53,123.16,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Cambria,03/04/2021,1,0.1,397,130192,0.77,0.11,304.93,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Jefferson,01/05/2021,0,0.6,65,43425,0,1.32,149.68,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Centre,12/28/2020,0,1.6,146,162385,0,0.97,89.91,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Indiana,12/06/2020,2,2,67,84073,2.38,2.38,79.69,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Indiana,12/26/2020,3,2.7,123,84073,3.57,3.23,146.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Greene,03/07/2021,0,0,33,36233,0,0,91.08,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Erie,08/25/2020,2,0.7,35,269728,0.74,0.26,12.98,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,01/03/2021,175,203.3,18398,12801989,1.37,1.59,143.71,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Allegheny,01/10/2021,13,17,1381,1216045,1.07,1.4,113.56,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Warren,03/07/2021,0,0,98,39191,0,0,250.06,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Indiana,12/25/2020,3,2.7,120,84073,3.57,3.23,142.73,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Northumberland,11/03/2020,0,0.1,114,90843,0,0.16,125.49,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Philadelphia,01/16/2021,9,10,2830,1584064,0.57,0.63,178.65,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Beaver,12/31/2020,5,3.4,274,163929,3.05,2.09,167.15,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,11/19/2020,104,84.7,10173,12801989,0.81,0.66,79.46,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clearfield,12/07/2020,1,0.7,27,79255,1.26,0.9,34.07,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Lackawanna,02/12/2021,2,1.4,409,209674,0.95,0.68,195.06,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Mifflin,11/21/2020,3,2.4,36,46138,6.5,5.26,78.03,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Pennsylvania,02/05/2021,82,93.9,22970,12801989,0.64,0.73,179.43,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Bedford,03/07/2021,0,0,129,47888,0,0,269.38,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Philadelphia,03/04/2021,2,3,3181,1584064,0.13,0.19,200.81,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Erie,09/07/2020,0,0.1,36,269728,0,0.05,13.35,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Adams,11/04/2020,1,0.4,33,103009,0.97,0.42,32.04,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Berks,03/08/2021,0,0.4,911,421164,0,0.1,216.31,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Carbon,01/01/2021,1,0.7,94,64182,1.56,1.11,146.46,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Erie,01/04/2021,1,4.7,285,269728,0.37,1.75,105.66,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Erie,10/26/2020,0,0,39,269728,0,0,14.46,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Tioga,03/01/2021,0,0,94,40591,0,0,231.58,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Mercer,12/15/2020,4,4.1,114,109424,3.66,3.79,104.18,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Bucks,07/15/2020,1,0.4,584,628270,0.16,0.07,92.95,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Carbon,01/10/2021,1,1.6,106,64182,1.56,2.45,165.16,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Indiana,11/25/2020,2,2,47,84073,2.38,2.38,55.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Philadelphia,01/12/2021,9,11.6,2790,1584064,0.57,0.73,176.13,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lawrence,01/10/2021,0,0.4,152,85512,0,0.5,177.75,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Chester,01/20/2021,2,1.9,653,524989,0.38,0.35,124.38,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lycoming,01/23/2021,0,1.4,209,113299,0,1.26,184.47,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Philadelphia,03/02/2021,2,3.9,3178,1584064,0.13,0.24,200.62,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Northumberland,09/02/2020,1,0.7,43,90843,1.1,0.79,47.33,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Allegheny,12/31/2020,14,17.7,1214,1216045,1.15,1.46,99.83,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,11/22/2020,8,6.6,527,1216045,0.66,0.54,43.34,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Mifflin,11/14/2020,3,2.1,19,46138,6.5,4.64,41.18,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Northumberland,08/23/2020,0,1.1,34,90843,0,1.26,37.43,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Greene,01/13/2021,0,0.3,26,36233,0,0.79,71.76,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Allegheny,03/01/2021,5,4,1752,1216045,0.41,0.33,144.07,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Philadelphia,01/14/2021,14,11.6,2815,1584064,0.88,0.73,177.71,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Montour,03/02/2021,0,0,60,18230,0,0,329.13,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cameron,03/08/2021,0,0,7,4447,0,0,157.41,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Carbon,02/28/2021,0,0.1,152,64182,0,0.22,236.83,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Philadelphia,01/18/2021,19,11.9,2864,1584064,1.2,0.75,180.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Erie,08/12/2020,1,1.1,28,269728,0.37,0.42,10.38,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Pennsylvania,02/15/2021,64,68.1,23681,12801989,0.5,0.53,184.98,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,02/22/2021,40,50.7,24036,12801989,0.31,0.4,187.75,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Potter,03/07/2021,0,0,21,16526,0,0,127.07,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Bucks,09/25/2020,0,0.3,611,628270,0,0.05,97.25,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Pennsylvania,11/18/2020,80,80.1,10069,12801989,0.62,0.63,78.65,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Bucks,08/29/2020,0,0.1,599,628270,0,0.02,95.34,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Allegheny,02/11/2021,3,7.3,1665,1216045,0.25,0.6,136.92,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,02/16/2021,59,65.7,23740,12801989,0.46,0.51,185.44,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clarion,12/12/2020,1,1,24,38438,2.6,2.6,62.44,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Indiana,09/09/2020,0,0.1,10,84073,0,0.17,11.89,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Bucks,08/08/2020,0,0.6,594,628270,0,0.09,94.55,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Pennsylvania,12/21/2020,229,215.6,15673,12801989,1.79,1.68,122.43,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cumberland,03/05/2021,0,0.3,486,253370,0,0.11,191.81,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Clearfield,03/07/2021,0,0.3,119,79255,0,0.36,150.15,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Cumberland,03/02/2021,0,0.6,486,253370,0,0.23,191.81,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Jefferson,12/29/2020,0,1.1,61,43425,0,2.63,140.47,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Northumberland,11/29/2020,3,2,139,90843,3.3,2.2,153.01,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,07/13/2020,0,0.1,10,90843,0,0.16,11.01,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Allegheny,02/04/2021,3,5.9,1614,1216045,0.25,0.48,132.73,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Bucks,09/11/2020,1,0.7,606,628270,0.16,0.11,96.46,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Philadelphia,01/13/2021,11,11,2801,1584064,0.69,0.69,176.82,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lancaster,02/07/2021,3,4.9,980,545724,0.55,0.89,179.58,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
McKean,02/11/2021,0,0.3,61,40625,0,0.7,150.15,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Dauphin,03/04/2021,0,0.1,500,278299,0,0.05,179.66,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Allegheny,11/16/2020,2,4,483,1216045,0.16,0.33,39.72,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Erie,12/10/2020,4,4.6,140,269728,1.48,1.69,51.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,03/08/2021,0,0,42,26794,0,0,156.75,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Allegheny,11/21/2020,7,6.1,519,1216045,0.58,0.51,42.68,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Juniata,03/08/2021,0,0,81,24763,0,0,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Somerset,03/01/2021,0,0.1,186,73447,0,0.19,253.24,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Allegheny,11/20/2020,8,6,512,1216045,0.66,0.49,42.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,03/05/2021,16,29.7,24413,12801989,0.12,0.23,190.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Northumberland,11/05/2020,0,0.1,114,90843,0,0.16,125.49,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Fayette,03/07/2021,0,0.4,271,129274,0,0.33,209.63,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Union,03/01/2021,1,0.1,82,44923,2.23,0.32,182.53,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Philadelphia,12/28/2020,11,16.1,2584,1584064,0.69,1.02,163.12,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
